BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_66,eth2_10,eth2_30,eth2_35,eth2_34,eth2_23,eth2_21,eth2_14,eth2_unk
440010304003,1027,437,436,154,0,0,810,23,0,27,18,149,810,18,0,5,6,15,1,1,12,2,6,149
440010305001,524,198,284,42,0,0,358,76,2,6,5,77,358,51,2,25,2,1,1,0,2,2,0,77
440010305002,694,264,336,94,0,0,473,115,4,1,9,92,473,60,4,55,1,7,0,1,0,0,0,92
440010305003,1045,481,452,112,0,0,759,117,3,13,16,137,759,78,3,39,6,3,0,2,1,1,4,137
440010306011,705,224,364,117,0,0,485,121,0,1,7,91,485,66,0,55,1,6,0,0,0,0,0,91
440010306012,1073,429,493,151,0,0,743,180,0,7,16,127,743,100,0,80,3,8,4,0,3,0,1,127
440010306013,1015,387,491,137,0,0,748,99,1,17,11,139,748,48,1,51,9,8,0,1,2,2,1,139
440010306021,908,375,424,109,0,0,625,149,1,7,14,112,625,92,1,57,5,7,0,1,2,0,0,112
440010306022,717,292,348,77,0,0,517,100,0,1,8,91,517,54,0,46,0,4,1,1,0,0,1,91
440010306023,1044,394,512,138,0,0,773,139,1,6,10,115,773,75,1,64,0,3,0,3,3,0,2,115
440010306024,556,233,232,91,0,0,435,34,4,4,12,67,435,14,4,20,1,2,2,4,1,1,0,67
440010307001,578,251,272,55,0,0,324,146,0,4,15,89,324,100,0,46,3,3,1,1,0,0,0,89
440010307002,588,263,256,69,0,0,373,104,2,1,7,101,373,61,2,43,1,2,0,3,0,0,0,101
440010307003,478,204,218,56,0,0,321,70,1,3,10,73,321,48,1,22,1,6,2,0,2,0,0,73
440010307004,824,350,350,124,0,0,615,85,3,12,19,90,615,58,3,27,7,10,2,0,0,2,0,90
