BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_10,eth2_30,eth2_23,eth2_14,eth2_21,eth2_34,eth2_12,eth2_33,eth2_32,eth2_unk
010730129212,784,563,176,45,0,0,637,7,32,45,8,55,637,19,7,13,0,26,7,11,4,0,1,3,0,0,55
010730129213,908,660,214,34,0,0,782,19,24,14,15,54,782,10,19,14,1,4,5,4,2,2,8,1,0,0,54
010730130021,806,6,800,0,0,0,9,6,789,0,2,0,9,776,6,13,0,0,2,0,0,0,0,0,0,0,0
010730130022,518,2,515,1,0,0,0,1,514,0,1,2,0,497,1,17,1,0,0,0,0,0,0,0,0,0,2
010730131001,1218,9,1206,3,0,0,12,5,1199,0,1,1,12,1171,5,28,0,0,0,0,0,0,0,0,0,0,1
010730131002,855,13,840,2,0,0,15,4,834,0,1,1,15,810,4,24,1,0,0,0,0,0,0,0,0,0,1
010730131003,369,2,367,0,0,0,3,0,366,0,0,0,3,357,0,9,0,0,0,0,0,0,0,0,0,0,0
010730131004,625,2,623,0,0,0,2,2,621,0,0,0,2,612,2,9,0,0,0,0,0,0,0,0,0,0,0
010730132001,449,22,424,3,0,0,31,1,414,3,0,0,31,408,1,6,0,1,0,0,0,2,0,0,0,0,0
010730132002,406,26,380,0,0,0,26,1,378,0,0,1,26,374,1,4,0,0,0,0,0,0,0,0,0,0,1
010730132003,570,33,537,0,0,0,42,4,524,0,0,0,42,518,0,6,0,0,0,0,0,0,0,0,0,0,0
010730133001,486,70,403,13,0,0,78,38,356,1,3,10,78,353,38,3,3,0,0,0,0,1,0,0,0,0,10
010730133002,1110,25,1084,1,0,0,20,3,1082,1,0,4,20,1050,3,32,0,0,0,1,0,0,0,0,0,0,4
010730133003,519,22,496,1,0,0,16,2,500,0,0,1,16,493,2,7,0,0,0,0,0,0,0,0,0,0,1
010730134001,716,55,658,3,0,0,62,5,645,0,1,3,62,639,5,6,1,0,0,0,0,0,0,0,0,0,3
010730134002,1188,51,1136,1,0,0,45,4,1133,3,1,2,45,1124,4,9,1,1,0,0,0,1,0,0,0,0,2
010730134003,896,57,837,2,0,0,60,0,830,0,1,5,60,819,0,11,1,0,0,0,0,0,0,0,0,0,5
010730134004,339,49,287,3,0,0,55,6,275,2,0,1,55,270,6,5,0,0,0,1,0,0,0,0,0,0,1
010730136011,471,49,417,5,0,0,51,6,409,0,0,5,51,400,6,9,0,0,0,0,0,0,0,0,0,0,5
010730136012,324,2,322,0,0,0,3,3,318,0,0,0,3,313,3,5,0,0,0,0,0,0,0,0,0,0,0
010730136013,286,8,277,1,0,0,11,3,272,0,0,0,11,268,3,4,0,0,0,0,0,0,0,0,0,0,0
010730136014,549,23,526,0,0,0,19,4,524,0,1,1,19,505,4,19,0,0,0,0,0,0,0,0,0,1,1
010730136015,584,9,575,0,0,0,3,0,577,0,0,4,3,566,0,11,0,0,0,0,0,0,0,0,0,0,4
010730138011,276,71,200,5,0,0,79,15,176,0,1,5,79,171,15,5,0,0,1,0,0,0,0,0,0,0,5
010730138012,599,15,581,3,0,0,18,2,579,0,0,0,18,576,2,3,0,0,0,0,0,0,0,0,0,0,0
010730138013,687,11,674,2,0,0,13,2,670,0,2,0,13,654,2,16,2,0,0,0,0,0,0,0,0,0,0
010730139011,1102,196,895,11,0,0,233,10,848,1,2,8,233,831,10,17,0,0,2,1,0,0,0,0,0,0,8
010730139021,845,367,444,34,0,0,410,15,388,0,2,30,410,384,15,4,1,0,1,0,0,0,0,0,0,0,30
010730139022,638,336,290,12,0,0,370,6,242,3,3,14,370,239,6,3,1,2,1,0,1,0,0,0,0,0,14
010730140011,859,735,71,53,0,0,786,11,25,2,1,34,786,24,11,1,0,2,1,0,0,0,0,0,0,0,34
010730140012,770,637,67,66,0,0,687,5,24,2,1,51,687,24,5,0,1,1,0,0,1,0,0,0,0,0,51
010730140013,822,675,78,69,0,0,752,9,16,2,7,36,752,15,9,1,3,0,2,0,2,0,0,0,2,0,36
010730140014,413,354,35,24,0,0,374,1,17,2,6,13,374,17,1,0,1,1,0,1,0,0,0,0,5,0,13
010730140021,1684,1095,556,33,0,0,1151,21,438,5,7,62,1151,434,21,4,2,0,1,0,1,3,2,1,0,0,62
010730140022,1057,747,285,25,0,0,775,8,231,3,1,39,775,229,8,2,0,0,1,0,3,0,0,0,0,0,39
010730141041,1569,853,652,64,0,0,916,25,550,3,12,63,916,547,25,3,3,1,1,0,0,0,2,0,1,0,63
010730141042,904,78,819,7,0,0,89,9,791,4,1,10,89,775,9,16,1,0,0,4,0,0,0,0,0,0,10
010730141043,345,128,216,1,0,0,133,13,193,0,2,4,133,187,13,6,0,0,1,0,0,0,1,0,0,0,4
010730141051,1003,442,533,28,0,0,481,9,467,0,10,36,481,461,9,6,4,0,3,0,0,0,1,0,0,1,36
010730141052,322,26,292,4,0,0,31,2,287,1,0,1,31,280,2,7,0,0,0,0,0,1,0,0,0,0,1
010730141053,385,112,271,2,0,0,119,13,240,2,2,9,119,236,13,4,0,0,2,0,1,1,0,0,0,0,9
010730141054,1468,149,1305,14,0,0,155,9,1285,0,1,18,155,1273,9,12,0,0,0,0,0,0,1,0,0,0,18
010730141061,1151,880,208,63,0,0,962,12,131,0,12,34,962,128,12,3,9,0,1,0,0,0,0,0,2,0,34
010730141062,1034,787,222,25,0,0,829,15,143,3,2,42,829,142,15,1,0,2,0,0,0,0,0,0,0,0,42
010730141071,727,628,65,34,0,0,670,12,2,0,12,31,670,2,12,0,8,0,0,0,0,0,2,0,2,0,31
010730141072,736,657,54,25,0,0,689,7,2,3,5,30,689,1,7,1,5,2,0,1,0,0,0,0,0,0,30
