BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_34,eth2_21,eth2_23,eth2_14,eth2_12,eth2_38,eth2_unk
311859697004,702,428,139,127,8,0,0,601,16,4,1,8,72,601,16,4,1,1,4,0,0,0,0,1,72
311859698001,772,437,163,164,8,0,0,653,35,2,2,10,70,653,35,2,2,2,2,0,0,0,0,0,70
311859698002,945,570,180,183,12,0,0,748,39,2,8,5,143,748,39,2,2,1,3,1,5,1,0,0,143
311859698003,1256,867,194,187,8,0,0,1035,48,4,11,3,155,1035,48,4,0,10,1,0,0,0,0,2,155
311859699001,952,691,132,124,5,0,0,793,10,0,5,11,133,793,9,0,1,1,5,0,2,0,0,0,133
311859699002,838,623,109,97,9,0,0,700,15,0,1,8,114,700,15,0,0,0,0,0,0,1,0,0,114
310039796001,367,267,53,46,1,0,0,319,0,0,2,0,46,319,0,0,0,0,0,0,0,2,0,0,46
310039796002,354,267,41,43,3,0,0,279,3,0,3,3,66,279,3,0,0,2,2,0,0,0,0,0,66
310039796003,536,403,62,67,4,0,0,470,9,0,4,2,51,470,9,0,1,0,0,0,0,0,4,0,51
310039797001,483,358,67,54,4,0,0,399,11,0,7,1,65,399,11,0,0,0,1,0,0,0,7,0,65
310039797002,588,394,103,84,6,1,0,516,15,0,2,0,55,516,15,0,0,1,0,0,0,1,0,0,55
310039798001,453,370,44,37,2,0,0,394,5,0,1,0,53,394,5,0,0,0,0,0,1,0,0,0,53
310039798002,783,558,132,91,2,0,0,619,8,0,1,0,155,619,8,0,0,0,0,0,0,0,1,0,155
310039798003,636,422,105,104,4,1,0,536,25,0,0,2,73,536,25,0,0,0,1,0,0,0,0,1,73
310819691001,689,520,71,87,11,0,0,587,4,1,1,8,88,587,4,1,0,0,1,0,1,0,0,0,88
310819691002,720,545,94,80,1,0,0,625,12,0,4,5,74,625,12,0,0,0,3,4,0,0,0,0,74
310819692001,635,466,76,88,5,0,0,550,7,0,2,0,76,550,7,0,0,1,0,0,0,1,0,0,76
310819692002,601,417,77,98,9,0,0,489,12,0,4,4,92,489,12,0,2,1,2,2,1,0,0,0,92
310819692003,624,414,104,98,8,0,0,531,7,0,1,3,82,531,7,0,0,0,1,1,0,0,0,1,82
310819693001,1098,774,181,131,12,0,0,948,10,1,6,12,121,948,10,1,4,4,2,0,0,1,0,3,121
310819693002,718,479,122,107,10,0,0,616,10,0,0,9,83,616,10,0,0,0,1,0,0,0,0,2,83
310819693003,712,438,136,128,8,2,0,612,22,0,3,0,75,612,22,0,0,0,0,0,3,0,0,0,75
310819693004,674,384,140,135,14,1,0,573,19,1,3,6,72,573,19,1,1,0,3,0,0,2,1,2,72
311759713001,599,428,102,66,3,0,0,447,7,0,0,6,139,447,7,0,0,0,2,0,0,0,0,0,139
311759713002,678,510,93,73,2,0,0,565,4,1,2,11,95,565,4,1,0,1,5,0,0,0,1,2,95
311759714001,610,418,130,60,2,0,0,503,13,2,2,9,81,503,12,2,0,1,7,1,0,0,0,1,81
311759714002,532,378,90,62,2,0,0,435,10,0,2,7,78,435,10,0,0,0,5,0,1,0,1,1,78
311759714003,452,292,86,72,2,0,0,364,4,0,0,10,74,364,3,0,2,0,1,0,0,0,0,2,74
311399791001,587,447,51,87,2,0,0,479,5,0,1,1,101,479,5,0,1,1,0,0,0,0,0,0,101
311399791002,1284,913,167,192,11,1,0,1079,19,0,3,8,175,1079,19,0,0,1,1,0,1,1,0,0,175
311399791003,632,482,57,89,4,0,0,523,3,2,1,0,103,523,3,2,0,1,0,0,0,0,0,0,103
311399792001,657,458,77,115,7,0,0,566,10,0,4,0,77,566,10,0,0,2,0,1,1,0,0,0,77
311399792002,699,561,64,72,2,0,0,559,5,0,4,2,129,559,5,0,0,1,0,1,0,0,0,0,129
311399792003,830,561,120,144,5,0,0,704,2,0,4,6,114,704,2,0,0,2,3,0,0,0,1,0,114
310319558001,598,468,58,65,7,0,0,542,3,3,2,4,44,542,3,3,2,0,0,2,0,0,0,0,44
310319558002,648,503,73,67,5,0,0,564,5,0,2,8,69,564,5,0,0,1,3,0,0,1,0,0,69
310319558003,745,564,97,79,5,0,0,655,6,0,4,2,78,655,6,0,0,1,1,2,1,0,0,0,78
310319558004,438,334,64,37,3,0,0,381,6,0,2,5,44,381,6,0,2,0,0,1,1,0,0,0,44
310319558005,495,422,40,31,2,0,0,450,3,0,0,5,37,450,3,0,0,0,5,0,0,0,0,0,37
310319559001,238,208,12,18,0,0,0,184,4,0,0,2,48,184,4,0,0,0,0,0,0,0,0,0,48
310319559002,137,128,4,5,0,0,0,128,2,0,0,0,7,128,2,0,0,0,0,0,0,0,0,0,7
311439600001,265,162,53,47,3,0,0,215,1,0,0,7,42,215,1,0,2,0,2,0,0,0,0,1,42
311439600002,876,600,154,118,4,0,0,760,8,0,3,3,102,760,8,0,1,1,1,0,1,1,0,0,102
311439601001,660,438,129,86,7,0,0,534,36,0,4,3,83,534,36,0,0,0,1,0,0,4,0,0,83
311439601002,350,225,63,58,4,0,0,314,2,0,5,0,29,314,2,0,0,5,0,0,0,0,0,0,29
311439601003,1032,782,119,122,9,0,0,890,8,0,3,9,122,890,8,0,0,1,2,1,1,0,0,1,122
311119597001,865,580,135,138,12,0,0,751,14,0,3,7,90,751,12,0,3,0,0,0,2,0,1,2,90
311119597002,555,385,85,83,2,0,0,484,16,0,0,0,55,484,16,0,0,0,0,0,0,0,0,0,55
311119597003,463,317,74,69,3,0,0,390,6,0,2,6,59,390,6,0,2,1,0,0,0,1,0,4,59
311119597004,575,426,66,77,6,0,0,491,8,0,1,4,71,491,8,0,3,1,0,0,0,0,0,1,71
311119598001,664,463,104,93,4,0,0,545,30,1,1,5,82,545,30,1,1,0,0,0,0,0,0,3,82
311119598002,454,328,71,55,0,0,0,386,18,0,1,2,47,386,18,0,0,0,1,0,0,1,0,0,47
311119598003,1051,749,167,120,14,1,0,888,50,0,8,2,103,888,49,0,1,1,0,0,0,1,4,0,103
311119599001,549,288,109,142,10,0,0,452,43,0,1,2,51,452,43,0,1,0,1,0,0,1,0,0,51
311119599002,634,381,128,121,4,0,0,539,26,0,3,2,64,539,26,0,0,1,0,0,0,0,2,0,64
311119599003,400,192,110,95,3,0,0,312,52,0,0,1,35,312,50,0,1,0,0,0,0,0,0,0,35
311119599004,289,143,89,53,4,0,0,222,33,0,3,3,28,222,31,0,2,0,0,0,0,3,0,0,28
311119599005,622,302,142,172,6,0,0,482,71,3,0,1,65,482,71,3,0,0,1,0,0,0,0,0,65
311119599006,311,147,77,81,6,0,0,227,33,1,9,8,33,227,33,1,3,1,2,6,0,2,0,0,33
311119602001,620,337,141,130,12,0,0,494,51,2,7,1,65,494,51,2,0,1,1,1,1,0,4,0,65
311119602002,547,264,145,130,7,1,0,440,46,5,3,5,48,440,45,5,2,2,1,0,1,0,0,0,48
311119602003,378,195,109,71,3,0,0,301,34,0,2,2,39,301,34,0,0,0,1,0,0,0,1,0,39
311119602004,633,315,155,144,19,0,0,501,54,0,2,4,72,501,54,0,2,0,2,0,0,2,0,0,72
311119603001,487,249,118,114,6,0,0,399,34,1,0,1,52,399,34,1,0,0,0,0,0,0,0,1,52
311119603002,378,212,81,75,10,0,0,316,29,1,2,0,30,316,29,1,0,0,0,0,0,1,1,0,30
311119603003,363,166,97,96,4,0,0,294,29,1,1,6,32,294,29,1,4,0,0,0,0,0,1,2,32
311119603004,450,235,109,94,12,0,0,380,21,2,4,1,42,380,21,2,1,0,0,0,0,2,2,0,42
311119603005,462,243,111,101,7,0,0,390,20,0,3,3,46,390,20,0,2,1,0,0,0,0,2,0,46
311119603006,575,345,134,89,7,0,0,472,39,0,6,4,54,472,39,0,0,1,2,0,2,0,2,1,54
311119604001,344,184,85,67,7,1,0,268,34,0,3,3,36,268,34,0,1,1,1,0,0,1,1,1,36
311119604002,888,498,222,154,13,1,0,750,54,1,3,9,71,750,54,1,3,1,3,1,1,0,0,1,71
311119604003,496,320,103,67,5,1,0,423,15,0,2,6,50,423,15,0,2,1,0,0,0,1,0,3,50
311119604004,406,212,98,87,9,0,0,337,23,3,1,1,41,337,23,3,0,1,1,0,0,0,0,0,41
311119604005,696,405,174,108,9,0,0,605,22,2,1,6,60,605,22,2,2,0,2,0,1,0,0,2,60
311119604006,757,473,169,108,7,0,0,640,28,0,5,1,83,640,28,0,0,3,0,2,0,0,0,1,83
311119605001,671,460,121,82,8,0,0,583,12,0,6,2,68,583,12,0,0,3,0,1,1,0,1,2,68
