BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_con,party_grn,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_66,eth2_85,eth2_21,eth2_35,eth2_12,eth2_61,eth2_29,eth2_55,eth2_33,eth2_32,eth2_26,eth2_38,eth2_59,eth2_57,eth2_19,eth2_99,eth2_28,eth2_unk
340258097044,1438,428,652,344,2,3,4,0,0,5,0,745,53,17,194,166,263,745,51,17,112,45,51,96,10,2,4,13,0,3,2,0,4,2,2,3,7,1,1,1,0,0,263
340258099011,1934,334,715,867,10,1,2,3,1,1,0,1494,74,3,66,84,213,1494,73,3,27,27,26,14,5,1,5,4,8,1,11,0,8,3,3,1,2,0,0,0,0,0,213
340258099012,1429,225,496,697,3,6,2,0,0,0,0,1085,85,2,55,36,166,1085,78,2,23,14,22,12,4,7,0,4,4,1,1,2,2,0,0,0,0,1,0,1,0,0,166
340258099013,972,194,314,456,4,0,3,1,0,0,0,728,25,1,42,42,134,728,24,1,22,16,10,10,6,1,1,2,3,2,0,7,3,0,0,0,0,0,1,0,0,0,134
340258099021,1195,211,445,531,1,0,1,2,2,2,0,902,57,0,44,51,141,902,55,0,20,10,16,17,4,2,0,4,9,0,1,0,10,0,2,0,0,2,0,0,0,0,141
340258099022,1812,305,700,788,9,4,2,2,1,1,0,1329,93,0,106,74,210,1329,90,0,42,39,50,20,6,3,0,3,1,5,1,3,1,0,3,0,4,1,0,0,0,0,210
340258099023,856,139,306,408,1,0,0,2,0,0,0,672,46,0,11,26,101,672,44,0,6,6,4,9,0,2,1,0,2,0,0,5,0,2,0,0,1,0,0,0,0,0,101
340258099031,38,13,13,12,0,0,0,0,0,0,0,15,12,5,0,1,5,15,12,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
340258100011,993,215,442,332,2,0,0,1,1,0,0,578,76,3,44,94,198,578,72,3,35,20,8,45,0,4,2,0,1,0,8,4,7,1,1,0,0,1,3,0,0,0,198
340258100012,1380,404,575,376,8,2,7,2,1,5,0,769,137,28,91,138,217,769,133,28,47,37,26,82,9,4,2,1,2,3,1,2,8,0,0,3,4,0,0,1,0,0,217
340258100013,963,256,418,283,2,1,2,1,0,0,0,644,37,0,62,56,164,644,37,0,17,12,42,29,3,0,0,0,3,0,1,0,5,2,1,0,0,0,3,0,0,0,164
340258100014,1042,273,439,326,2,1,1,0,0,0,0,653,87,5,38,57,202,653,75,5,28,10,5,37,1,12,3,1,1,1,0,0,3,1,2,0,0,0,0,0,0,0,202
340258100021,1614,478,615,501,3,4,7,1,2,3,0,1116,92,0,45,76,285,1116,91,0,17,20,22,38,5,1,2,1,2,0,4,2,1,1,4,0,1,0,0,0,0,0,285
340258100022,1468,492,472,490,4,1,2,3,3,1,0,956,81,6,59,121,245,956,77,6,13,26,32,70,11,4,0,2,3,1,8,1,8,0,2,0,3,0,0,0,0,0,245
340258100031,784,185,332,257,4,2,3,0,0,1,0,562,45,3,23,36,115,562,44,3,15,9,8,18,0,1,2,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,115
340258100032,1488,437,596,436,7,4,4,2,1,1,0,922,93,11,40,120,302,922,90,11,16,20,13,65,4,3,1,1,7,3,1,1,7,2,8,0,5,1,0,2,0,0,302
340258100033,1720,391,742,566,6,4,4,4,2,1,0,1172,107,3,65,94,279,1172,106,3,34,24,24,51,2,1,0,2,0,3,2,3,1,4,1,0,5,0,2,0,0,0,279
340258100041,880,197,386,285,3,3,4,0,0,2,0,599,69,1,26,45,140,599,67,1,13,12,11,18,0,2,0,0,1,0,1,3,2,2,6,0,0,0,0,0,0,0,140
340258100042,1276,375,518,375,2,0,4,0,0,2,0,883,88,2,34,84,185,883,81,2,15,27,10,39,1,7,3,3,1,2,2,0,1,1,6,0,0,0,0,0,0,0,185
340258100043,1047,234,490,317,3,2,1,0,0,0,0,725,46,1,61,43,171,725,43,1,25,14,29,18,2,3,2,3,0,0,3,2,1,0,0,0,3,0,0,1,0,0,171
340258101011,1077,269,484,319,3,1,1,0,0,0,0,749,69,2,56,46,155,749,68,2,30,12,23,24,1,1,3,2,0,0,0,1,2,0,1,0,1,2,0,0,0,0,155
340258101012,992,289,385,308,2,0,4,1,2,1,0,604,72,0,47,84,185,604,68,0,34,25,11,35,0,4,6,1,1,0,2,0,7,2,1,0,0,4,0,0,0,0,185
340258101013,1136,336,464,326,2,3,1,2,1,1,0,731,89,3,26,40,247,731,88,3,4,7,17,19,3,1,4,0,3,0,0,0,5,1,0,2,0,0,1,0,0,0,247
340258101021,2078,603,912,546,6,3,3,3,0,2,0,1267,122,10,156,127,396,1267,120,10,70,24,69,59,6,2,6,6,7,4,2,0,16,3,5,0,3,0,1,1,0,0,396
340258101022,1331,386,548,383,4,1,7,2,0,0,0,758,94,1,96,98,284,758,89,1,31,21,53,60,3,5,3,7,0,2,1,0,3,3,4,0,2,0,0,0,0,0,284
340258102011,1380,325,595,449,3,3,3,0,0,2,0,827,59,14,131,111,238,827,59,14,81,38,34,39,12,0,4,4,3,0,4,10,7,0,2,0,2,0,0,0,0,0,238
340258102012,1625,407,670,527,5,7,5,0,1,3,0,986,120,27,105,87,300,986,113,27,56,22,33,42,4,7,1,7,2,4,4,2,2,2,0,1,3,0,5,0,0,0,300
340258102013,1671,364,768,525,5,0,5,0,0,4,0,934,73,33,149,175,307,934,69,33,81,54,59,68,6,4,0,2,4,1,14,12,9,3,1,0,0,0,6,0,0,0,307
340258102021,710,216,318,163,4,4,2,3,0,0,0,394,65,6,55,102,88,394,62,6,25,47,16,25,6,3,3,5,1,3,1,11,4,2,2,0,3,2,0,0,0,0,88
340258102022,652,245,185,220,0,2,0,0,0,0,0,396,43,10,9,30,164,396,43,10,3,8,5,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,164
340258102023,1981,661,785,525,3,5,1,0,0,1,0,1021,64,23,267,118,488,1021,59,23,174,24,67,56,12,5,6,3,1,5,6,6,8,6,0,5,4,0,0,0,0,0,488
