BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_rin,party_lib,party_wfp,party_grn,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_93,eth2_21,eth2_34,eth2_30,eth2_23,eth2_12,eth2_14,eth2_85,eth2_66,eth2_55,eth2_35,eth2_61,eth2_15,eth2_32,eth2_83,eth2_38,eth2_33,eth2_59,eth2_81,eth2_19,eth2_29,eth2_unk
410359715003,499,78,246,140,27,3,0,1,1,3,0,390,56,3,4,4,42,390,56,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,42
410359715004,594,110,287,162,24,5,1,1,2,2,0,469,53,2,7,2,61,469,51,4,2,0,0,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,61
410359715005,854,158,313,332,37,2,4,3,0,5,0,687,83,1,10,5,68,687,82,4,1,3,1,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,68
410359716001,413,92,208,92,13,2,3,0,0,3,0,273,96,0,5,1,38,273,95,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,38
410359716002,612,155,264,145,37,4,1,0,2,4,0,455,106,2,3,5,41,455,105,0,2,0,1,1,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,41
410359716003,684,118,353,157,35,4,9,1,4,3,0,519,94,2,11,4,54,519,93,5,2,1,1,1,3,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,54
410359716004,473,94,253,93,25,1,2,0,4,1,0,331,86,1,4,7,44,331,85,0,1,0,1,2,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,44
410359717001,561,130,249,143,25,6,3,3,0,2,0,441,63,0,2,4,51,441,62,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,51
410359717002,666,196,216,203,41,8,0,0,1,1,0,540,54,2,7,5,58,540,54,2,2,0,2,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,58
410359717003,430,85,223,92,21,2,3,0,3,1,0,299,83,0,4,1,43,299,83,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43
