BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_34,eth2_12,eth2_30,eth2_23,eth2_14,eth2_21,eth2_unk
160270209062,681,409,199,62,7,4,0,0,582,44,2,1,7,45,582,44,0,0,1,1,0,0,0,45
160270209063,1012,540,337,118,16,1,0,0,771,132,0,9,7,93,771,129,4,3,4,1,0,0,1,93
160270209064,521,316,155,44,5,1,0,0,428,39,0,8,0,46,428,39,4,0,0,0,1,1,0,46
160270209071,1147,707,294,135,10,1,0,0,914,115,0,18,14,86,914,113,5,3,7,5,4,1,0,86
160270209072,1003,640,253,101,7,2,0,0,812,69,2,11,14,95,812,69,5,4,0,1,2,2,2,95
160270209081,1141,631,348,144,17,1,0,0,883,121,0,12,19,106,883,120,6,6,4,1,1,0,0,106
160270209082,1134,672,318,129,8,7,0,0,857,143,7,6,20,101,857,141,4,6,1,1,0,0,0,101
160270209091,852,499,238,110,4,1,0,0,654,105,0,9,7,77,654,103,2,0,6,3,0,0,1,77
160270209092,870,497,244,119,5,5,0,0,641,122,3,11,13,80,641,122,4,3,2,4,2,2,1,80
160270209101,1608,1074,361,156,16,1,0,0,1314,94,3,19,19,159,1314,93,4,7,6,6,4,1,2,159
160270210031,705,349,217,121,13,5,0,0,505,137,0,9,6,48,505,137,3,3,1,0,3,0,1,48
160270210032,809,367,290,129,16,7,0,0,533,200,0,10,4,62,533,197,2,0,3,2,0,3,2,62
160270210041,546,266,163,108,6,3,0,0,359,143,1,6,1,36,359,143,2,0,1,1,1,2,0,36
160270210042,602,257,207,126,9,3,0,0,365,173,0,8,3,53,365,170,1,1,4,0,1,2,0,53
160270210043,1214,579,435,176,18,6,0,0,807,264,0,7,15,121,807,260,1,4,0,5,2,0,2,121
160270210051,1138,591,385,143,11,8,0,0,813,173,0,14,20,118,813,170,0,8,10,4,4,0,0,118
160270210052,461,196,165,88,7,5,0,0,267,138,1,9,8,38,267,137,1,3,4,3,1,1,2,38
160270210053,700,307,262,120,7,4,0,0,473,143,1,4,8,71,473,143,0,4,2,3,0,0,2,71
160270210061,567,360,143,61,2,1,0,0,489,29,0,5,6,38,489,29,0,5,3,0,0,0,2,38
160270210062,769,418,224,116,8,3,0,0,631,64,0,8,7,59,631,64,2,1,2,1,2,0,2,59
160270210063,690,365,204,108,8,5,0,0,499,133,3,5,3,47,499,132,1,0,1,1,0,1,2,47
160270210071,374,224,99,42,4,5,0,0,289,39,0,5,5,36,289,39,2,4,2,0,0,0,1,36
160270210072,354,149,121,71,13,0,0,0,250,58,0,5,1,40,250,58,2,0,1,0,2,0,0,40
160270210073,542,268,176,87,6,5,0,0,400,79,0,4,10,49,400,78,1,4,1,4,1,0,1,49
160270210081,295,140,104,48,3,0,0,0,224,53,0,4,1,13,224,53,1,0,0,0,1,0,2,13
160270210082,1012,584,289,119,12,8,0,0,803,105,3,6,12,83,803,100,2,5,0,1,0,1,3,83
160270210083,213,81,80,48,4,0,0,0,162,36,1,0,1,13,162,36,0,1,0,0,0,0,0,13
160270211011,500,269,149,72,6,4,0,0,404,62,0,4,4,26,404,62,2,1,1,0,0,0,0,26
160270211012,836,390,282,144,16,4,0,0,587,161,2,4,9,73,587,161,0,2,1,1,2,1,0,73
160270211013,1294,663,422,189,15,5,0,0,946,210,0,8,10,120,946,210,2,6,1,1,2,1,2,120
160270211021,960,493,337,113,13,4,0,0,759,93,0,7,22,79,759,91,1,9,2,0,1,3,0,79
160270211022,397,203,135,50,7,2,0,0,317,47,0,2,3,28,317,47,1,1,0,0,0,1,0,28
160270211031,779,394,271,100,11,3,0,0,618,64,1,8,14,74,618,63,3,6,4,4,0,0,0,74
160270211032,1833,931,600,260,35,7,0,0,1433,193,1,18,25,163,1433,191,3,16,3,4,3,6,2,163
160270211041,521,338,147,30,2,4,0,0,441,24,0,4,6,46,441,24,0,0,4,0,0,0,0,46
160270211042,1040,566,318,127,22,7,0,0,782,96,0,13,26,123,782,94,2,15,1,2,1,2,4,123
160270211043,255,145,76,32,2,0,0,0,208,22,1,4,9,11,208,22,1,4,2,3,0,1,0,11
160270211051,755,447,222,71,11,4,0,0,566,71,0,7,17,94,566,71,1,10,4,1,1,0,1,94
160270211052,756,420,214,104,12,6,0,0,541,103,2,9,21,80,541,99,0,7,6,1,2,1,0,80
160270211053,1161,758,284,97,16,6,0,0,959,67,0,24,13,98,959,65,5,9,13,0,1,2,1,98
160270212011,633,309,224,93,4,3,0,0,449,105,1,8,2,68,449,105,3,1,2,1,0,1,2,68
160270212012,641,290,227,119,4,1,0,0,424,154,0,9,5,49,424,153,5,1,2,0,1,0,0,49
160270212021,446,238,150,51,6,1,0,0,279,124,0,1,1,41,279,124,0,1,0,0,0,0,1,41
160270212022,1280,692,416,154,11,7,0,0,982,199,2,11,6,80,982,197,4,2,2,1,3,2,0,80
160270213001,383,113,156,102,8,4,0,0,186,166,1,4,3,23,186,165,2,2,1,0,0,1,0,23
160270213002,611,295,206,103,7,0,0,0,426,109,0,6,11,59,426,109,2,3,2,0,0,0,1,59
