BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_rin,party_grn,party_cnt,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_12,eth2_14,eth2_unk
350010007122,1027,479,294,236,7,4,2,0,0,5,0,561,301,11,50,27,77,561,298,2,11,20,10,3,0,6,25,1,2,77
350010007131,379,187,59,116,7,2,3,0,0,5,0,191,124,6,7,8,43,191,123,4,6,4,1,1,1,0,2,0,0,43
350010007132,632,286,171,159,6,3,1,0,0,6,0,343,214,7,7,12,49,343,212,5,7,2,3,2,0,3,1,2,2,49
350010007133,425,176,148,92,5,2,1,0,0,1,0,259,121,3,0,6,36,259,120,5,3,0,0,1,0,1,0,0,0,36
350010007134,953,485,249,197,6,6,4,1,0,5,0,517,294,18,19,26,79,517,291,8,18,6,9,3,1,5,4,2,4,79
350010007141,292,146,61,81,3,1,0,0,0,0,0,144,99,6,16,6,21,144,99,1,6,5,2,0,4,0,3,0,2,21
350010007142,938,364,335,214,11,7,2,1,0,4,0,409,296,5,146,14,68,409,292,3,5,35,6,4,1,0,93,1,11,68
350010007143,342,179,76,74,5,3,4,0,0,1,0,171,140,1,3,5,22,171,139,3,1,1,1,1,1,1,1,0,0,22
350010007144,774,314,278,176,2,1,1,0,0,2,0,435,182,3,101,11,42,435,179,5,3,20,2,3,1,2,69,1,5,42
350010007151,524,248,127,130,7,3,5,0,0,4,0,225,243,1,12,9,34,225,243,6,1,0,1,0,2,0,10,0,0,34
350010007161,695,351,154,170,8,1,4,1,0,6,0,316,277,10,12,13,67,316,271,2,10,4,5,6,1,0,4,0,1,67
350010007162,577,273,161,136,5,0,2,0,0,0,0,247,262,10,8,10,40,247,262,0,10,4,4,0,0,2,2,0,0,40
350010007163,292,146,41,99,3,1,0,1,0,1,0,105,145,3,5,8,26,105,145,0,3,1,4,0,0,3,3,0,0,26
350010007164,415,230,71,110,3,0,1,0,0,0,0,124,237,4,11,8,31,124,233,3,4,1,2,4,2,1,5,0,3,31
350010007171,753,348,166,219,6,3,3,1,0,7,0,389,244,16,15,18,71,389,242,8,16,1,5,2,5,1,2,1,5,71
350010007181,672,304,191,159,10,5,0,1,0,2,0,352,224,1,32,8,55,352,222,3,1,6,1,2,9,0,12,1,2,55
350010007182,801,360,265,163,9,0,1,1,0,2,0,535,165,2,17,21,61,535,163,0,2,7,6,2,3,5,0,4,2,61
350010007183,690,305,154,211,7,5,5,0,0,3,0,312,264,5,36,11,62,312,262,4,5,8,3,2,1,0,21,1,1,62
350010007191,1941,698,691,517,26,3,1,1,0,4,0,1106,395,7,204,66,163,1106,394,3,7,48,26,1,26,13,106,5,9,163
350010007201,702,288,225,171,12,3,1,1,0,1,0,422,171,1,16,18,74,422,170,0,1,7,6,1,2,2,3,2,1,74
350010007202,2064,744,927,356,24,4,5,1,0,3,0,1485,330,7,56,29,157,1485,323,2,6,18,17,7,13,5,13,6,4,157
350010007203,878,269,421,173,7,4,1,2,0,1,0,659,102,0,15,18,84,659,95,1,0,6,7,7,1,0,1,4,3,84
350010009041,822,444,158,196,9,4,2,1,0,8,0,354,350,12,28,7,71,354,348,1,12,3,3,2,4,0,18,1,0,71
350010009042,1177,605,286,261,5,5,11,1,0,3,0,668,313,17,55,20,104,668,311,8,17,14,5,2,7,2,19,3,7,104
350010009051,1034,591,149,263,14,6,4,1,0,6,0,512,386,21,22,19,74,512,384,11,21,3,2,2,3,1,12,1,1,74
350010009061,502,249,84,153,10,1,2,1,0,2,0,240,169,27,2,14,50,240,168,9,27,0,3,1,1,0,0,1,0,50
350010009062,558,323,89,124,9,2,6,0,0,5,0,286,165,40,11,13,43,286,158,4,40,3,5,7,1,1,3,1,2,43
350010009063,210,116,35,53,2,1,1,0,0,2,0,112,68,4,6,7,13,112,68,3,4,1,0,0,3,1,0,0,2,13
350010009071,223,101,50,62,2,3,1,0,0,4,0,103,100,0,1,8,11,103,100,4,0,0,0,0,0,1,1,0,0,11
350010009072,390,221,76,83,5,0,2,0,0,3,0,127,223,2,8,1,29,127,222,0,2,1,1,1,0,0,5,1,0,29
350010009073,177,85,31,54,3,0,0,0,0,4,0,71,90,1,1,3,11,71,90,0,1,0,2,0,1,1,0,0,0,11
350010009081,237,115,26,89,1,3,1,0,0,2,0,65,145,0,4,6,17,65,143,3,0,2,1,2,0,2,1,1,0,17
350010009082,230,94,50,82,2,1,0,0,0,1,0,73,120,4,14,4,15,73,120,2,4,8,0,0,0,2,5,1,0,15
350010009083,252,113,32,98,5,1,1,0,0,2,0,78,130,3,14,4,23,78,130,3,3,2,0,0,0,0,8,1,3,23
350010009084,206,101,39,60,3,1,1,0,0,1,0,87,87,6,2,3,21,87,87,1,6,0,1,0,1,0,1,0,0,21
350010011011,1269,832,174,238,15,2,5,1,0,2,0,878,221,7,25,16,122,878,212,2,6,8,6,9,6,2,1,4,5,122
350010011012,508,355,78,70,2,1,1,0,0,1,0,361,74,0,12,11,50,361,74,0,0,3,9,0,3,0,0,3,1,50
350010011013,1570,1079,201,264,10,0,14,0,2,0,0,1051,287,12,37,35,148,1051,285,13,12,11,11,2,15,4,2,3,6,148
350010011021,529,364,74,82,5,1,3,0,0,0,0,390,76,1,9,8,45,390,74,0,1,4,1,2,1,3,1,1,1,45
350010011022,526,350,67,105,2,0,2,0,0,0,0,365,65,11,19,10,56,365,65,4,11,2,1,0,9,3,2,6,0,56
350010011023,582,360,64,143,7,1,4,1,0,2,0,315,180,4,5,9,69,315,180,4,4,0,2,0,1,0,3,0,0,69
350010012011,557,372,71,100,2,1,8,1,0,2,0,360,131,12,7,12,35,360,128,1,12,2,4,3,1,4,2,1,0,35
350010012012,334,175,34,116,4,3,1,0,0,1,0,125,157,6,11,18,17,125,155,3,6,0,12,2,1,1,7,0,3,17
350010012013,662,421,63,160,8,0,7,0,0,3,0,406,163,14,5,11,63,406,162,3,14,1,5,1,2,1,0,0,0,63
350010012014,387,226,54,98,4,0,3,0,0,2,0,186,143,8,8,10,32,186,142,2,8,2,7,1,2,0,1,0,3,32
350010012021,700,424,78,185,5,0,2,0,0,6,0,174,317,167,10,6,26,174,316,2,167,2,3,1,1,0,6,1,0,26
350010012022,735,425,104,181,10,5,5,1,0,4,0,314,317,11,18,21,54,314,315,10,11,5,5,2,3,2,7,3,0,54
350010013001,362,222,39,95,2,2,0,0,0,2,0,50,297,1,0,1,13,50,293,1,1,0,0,4,0,0,0,0,0,13
350010013002,432,262,55,108,3,2,1,0,0,1,0,78,330,8,0,1,15,78,327,0,8,0,1,3,0,0,0,0,0,15
350010013003,428,265,49,107,1,2,2,0,0,2,0,68,324,20,1,3,12,68,324,2,20,1,0,0,0,1,0,0,0,12
350010013004,671,417,92,154,4,3,0,0,0,1,0,104,522,3,5,3,34,104,517,1,3,1,0,5,0,2,2,1,1,34
350010014001,615,428,56,125,3,0,1,0,0,2,0,167,407,1,2,5,33,167,404,0,1,0,1,3,0,0,0,1,1,33
