BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_23,eth2_34,eth2_14,eth2_12,eth2_38,eth2_unk
201770034021,1518,731,448,330,9,0,0,1292,54,6,11,13,142,1292,53,6,4,3,3,2,2,3,0,0,142
201770034022,2024,953,527,530,14,0,0,1737,55,2,15,13,202,1737,54,2,0,9,0,1,5,5,0,0,202
201770035001,1684,853,432,385,14,0,0,1485,30,3,8,8,150,1485,29,3,3,5,0,1,1,0,1,0,150
201770035002,496,279,130,83,4,0,0,423,28,0,3,1,41,423,28,0,0,1,0,1,0,0,1,0,41
201770035003,928,458,240,225,5,0,0,824,16,1,6,1,80,824,16,1,1,1,0,0,0,2,3,0,80
201770035004,1071,585,256,221,9,0,0,965,17,0,4,4,81,965,16,0,1,1,0,0,3,1,2,0,81
201770036011,986,552,232,190,12,0,0,850,21,3,3,8,101,850,21,3,2,1,1,1,2,0,0,3,101
201770036012,1533,891,351,269,22,0,0,1312,41,3,7,22,148,1312,41,3,1,5,1,0,3,1,0,1,148
201770036013,901,432,282,182,5,0,0,792,24,0,6,6,73,792,23,0,0,3,1,0,3,0,2,1,73
201770036041,824,475,192,150,7,0,0,685,36,0,5,5,93,685,36,0,0,2,0,1,0,1,0,0,93
201770036042,2168,1225,432,501,10,0,0,1819,48,4,35,28,234,1819,48,4,9,7,6,13,7,2,5,6,234
201770036051,2139,1134,444,549,12,0,0,1748,92,15,53,18,213,1748,92,14,6,21,1,22,4,4,3,0,213
201770036052,1579,886,353,325,15,0,0,1315,61,6,50,15,132,1315,61,6,7,15,1,16,0,8,10,0,132
201770036061,1283,682,236,359,6,0,0,1084,48,2,22,4,123,1084,47,2,0,6,4,7,3,3,0,0,123
201770036062,515,231,130,150,4,0,0,416,18,1,11,13,56,416,17,1,8,5,1,3,2,0,1,0,56
201770036063,483,115,189,171,8,0,0,353,32,21,5,16,56,353,32,20,9,0,3,1,2,0,0,0,56
201770036064,498,204,147,144,3,0,0,388,26,9,6,11,58,388,26,9,6,1,1,3,0,0,0,0,58
201770036071,1788,775,504,489,20,0,0,1408,104,30,30,24,192,1408,103,30,6,10,3,11,5,3,2,2,192
201770036072,1316,638,337,329,12,0,0,1111,60,8,18,9,110,1111,60,6,1,7,1,6,0,3,1,2,110
201770036073,1478,757,383,326,12,0,0,1197,77,9,33,26,136,1197,73,9,6,8,0,22,7,1,1,2,136
201770037011,1952,851,525,555,21,0,0,1534,109,74,17,18,200,1534,109,74,11,5,4,6,2,0,1,0,200
201770037012,992,410,262,312,8,0,0,831,57,8,12,14,70,831,57,8,2,5,2,2,2,3,0,0,70
201770037013,431,165,150,114,2,0,0,369,12,0,4,5,41,369,12,0,1,1,0,2,1,1,0,0,41
201770037021,509,227,149,125,8,0,0,437,22,1,5,1,43,437,22,1,1,2,0,0,0,2,0,0,43
201770037022,1256,392,489,339,36,0,0,1010,71,56,12,5,102,1010,71,56,4,4,2,2,0,2,1,0,102
201770039011,664,255,192,212,5,0,0,570,37,4,1,3,49,570,37,4,2,1,0,0,0,0,0,0,49
201770039012,1875,799,516,550,10,0,0,1588,102,12,8,13,152,1588,101,12,8,0,1,1,4,0,3,0,152
201770039013,1261,661,308,281,11,0,0,1082,39,4,8,18,110,1082,39,4,8,5,0,1,5,1,1,1,110
201770039014,1523,621,369,517,16,0,0,1257,120,22,9,11,104,1257,118,22,1,2,0,2,6,5,0,0,104
201770039021,2143,1109,522,497,15,0,0,1843,80,1,12,16,191,1843,79,1,6,1,0,3,6,5,2,0,191
201770039022,1332,697,339,280,16,0,0,1125,16,1,15,4,171,1125,16,1,2,6,1,2,0,2,4,1,171
201770040001,264,60,89,112,3,0,0,155,69,11,3,2,24,155,69,11,2,0,0,2,0,1,0,0,24
201770040002,206,61,55,90,0,0,0,153,11,19,1,4,18,153,10,19,3,0,0,1,0,0,0,0,18
201770040003,340,52,139,147,2,0,0,181,57,84,2,4,12,181,57,84,3,1,0,1,0,0,0,0,12
201770040004,160,35,54,69,2,0,0,105,9,31,1,1,13,105,9,31,1,1,0,0,0,0,0,0,13
201770041001,669,223,219,217,10,0,0,563,32,7,7,4,56,563,31,7,1,3,3,0,2,1,0,0,56
201770041002,591,183,173,225,10,0,0,485,41,2,5,2,56,485,41,2,0,2,0,1,2,0,2,0,56
201770041003,472,169,143,154,6,0,0,388,21,3,5,2,53,388,21,3,0,3,0,1,1,1,0,0,53
201770041004,563,194,163,197,9,0,0,462,28,13,3,3,54,462,28,13,1,1,0,2,0,0,0,0,54
201050861001,547,401,90,52,4,0,0,464,10,0,1,2,70,464,10,0,0,0,1,0,1,0,0,0,70
201050861002,520,380,72,61,7,0,0,425,17,0,2,7,69,425,17,0,0,1,0,0,0,0,0,0,69
201050861003,416,285,77,51,3,0,0,315,19,0,1,15,66,315,19,0,0,0,0,1,0,0,0,0,66
201050861004,389,270,76,36,7,0,0,340,18,0,0,3,28,340,18,0,0,0,0,0,0,0,0,0,28
200079681001,584,449,67,64,4,0,0,517,12,1,3,5,46,517,12,1,0,1,0,1,2,1,0,0,46
200079681002,596,455,81,56,4,0,0,537,9,0,1,8,41,537,8,0,0,0,0,0,7,0,1,0,41
200079681003,570,465,50,53,2,0,0,506,2,0,0,2,60,506,2,0,2,0,0,0,0,0,0,0,60
200079682001,508,397,47,60,4,0,0,441,9,0,1,1,56,441,9,0,1,1,0,0,0,0,0,0,56
200079682002,486,360,49,74,3,0,0,418,11,1,4,3,49,418,11,1,0,1,1,0,0,1,0,0,49
201539506001,1107,805,167,126,9,0,0,901,38,0,5,4,159,901,38,0,2,0,0,2,2,1,0,0,159
201539506002,642,517,72,48,5,0,0,506,12,2,3,2,117,506,12,2,1,2,0,0,1,0,0,0,117
201719571001,585,447,97,36,5,0,0,490,32,2,3,0,58,490,32,2,0,0,0,1,0,2,0,0,58
201719571002,764,519,170,68,7,0,0,615,82,0,4,0,63,615,82,0,0,1,2,1,0,0,0,0,63
