BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk
290879601001,352,193,40,119,0,0,326,2,0,1,0,23,326,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
290879601002,464,317,27,120,0,0,431,4,0,1,3,25,431,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,25
290879602001,258,166,23,69,0,0,232,2,0,0,1,23,232,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
290879602002,721,445,67,209,0,0,670,9,1,3,0,38,670,1,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,38
290879603001,588,375,52,161,0,0,550,7,0,3,1,27,550,0,7,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27
290879603002,637,404,63,170,0,0,579,10,0,5,1,42,579,0,9,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,42
290910901011,866,467,103,296,0,0,738,14,0,1,43,70,738,0,13,1,0,1,32,0,0,1,0,1,4,3,0,0,1,1,0,0,70
290910901012,812,301,105,406,0,0,731,13,0,2,6,60,731,0,13,0,2,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,60
290910901021,886,501,107,278,0,0,786,19,3,6,7,65,786,3,18,2,1,0,1,1,1,0,0,0,0,1,0,0,2,1,0,0,65
290910901022,779,389,98,292,0,0,694,14,0,5,3,63,694,0,14,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,63
290910902001,814,444,85,285,0,0,741,8,0,3,5,57,741,0,8,2,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,57
290910902002,1078,488,159,431,0,0,954,20,1,2,5,96,954,1,20,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,96
290910902003,873,275,148,450,0,0,765,19,0,5,1,83,765,0,18,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,83
290910903001,989,566,100,323,0,0,886,15,0,2,11,75,886,0,15,1,1,0,2,0,0,0,1,4,0,0,0,2,0,0,0,0,75
