BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_61,eth2_12,eth2_38,eth2_35,eth2_15,eth2_55,eth2_59,eth2_unk
191130030062,813,191,352,261,5,4,0,0,687,18,12,0,12,84,687,18,12,0,7,0,0,2,0,0,0,1,0,0,0,0,84
191130030063,1129,236,484,396,10,3,0,0,904,51,12,13,14,135,904,51,12,1,1,2,5,4,3,1,0,0,3,1,2,1,135
191130101001,775,247,235,290,2,1,0,0,698,3,1,3,6,64,698,3,1,1,2,2,0,2,0,0,0,0,0,0,0,0,64
191130101002,707,221,191,291,4,0,0,0,612,0,0,5,18,72,612,0,0,2,2,0,0,11,3,0,0,0,0,0,4,0,72
191130101003,523,161,175,178,9,0,0,0,455,8,0,1,3,56,455,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,56
191130102001,889,265,241,378,4,1,0,0,762,0,1,6,10,110,762,0,1,1,2,2,0,1,0,0,3,0,0,0,4,2,110
191130102002,1650,516,473,644,13,4,0,0,1400,12,1,4,11,222,1400,12,1,0,5,2,0,1,1,0,0,1,0,0,1,2,222
191130102003,769,229,249,288,2,1,0,0,655,3,0,2,14,95,655,3,0,1,4,0,0,1,1,1,0,2,0,0,5,1,95
191130103001,1116,433,283,393,6,1,0,0,948,18,0,8,14,128,948,18,0,6,4,0,0,5,2,0,0,1,0,0,0,0,128
191130103002,733,308,199,224,1,1,0,0,637,7,0,6,12,71,637,7,0,5,2,1,0,2,0,0,0,0,4,0,0,2,71
191130103003,851,229,262,353,5,2,0,0,742,8,0,3,1,97,742,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,97
191130104001,1417,508,363,537,9,0,0,0,1209,19,1,9,14,165,1209,19,1,6,3,0,0,3,1,1,2,0,3,0,2,0,165
191130104002,711,237,186,277,10,1,0,0,618,1,0,5,6,81,618,1,0,1,0,2,0,0,1,0,1,0,0,0,1,0,81
191130105001,1629,503,479,626,19,2,0,0,1361,23,3,7,17,218,1361,23,3,1,4,3,0,5,2,3,1,0,0,0,0,0,218
191130105002,1112,418,372,315,6,1,0,0,948,22,1,7,16,118,948,22,1,1,2,0,1,8,2,0,0,0,0,1,1,2,118
191130106001,1538,597,418,513,10,0,0,0,1288,27,0,9,22,192,1288,26,0,1,2,2,4,10,1,0,1,4,0,0,0,0,192
191130106002,2134,601,805,708,14,6,0,0,1751,48,2,41,39,253,1751,48,2,18,22,1,3,12,9,0,2,0,0,4,1,2,253
191130106003,1419,424,466,517,12,0,0,0,1214,18,1,14,9,163,1214,18,1,2,3,0,3,1,4,0,2,2,0,3,0,2,163
191130107001,1706,545,595,553,9,4,0,0,1410,31,3,9,26,227,1410,30,2,2,6,3,2,8,2,0,0,0,0,0,2,0,227
191130107002,1063,332,372,350,8,1,0,0,888,34,4,2,29,106,888,31,4,2,10,0,0,12,0,0,0,1,0,0,5,0,106
191130107003,819,212,297,301,7,2,0,0,675,13,1,4,17,109,675,13,1,1,1,0,2,11,0,0,1,0,1,0,3,0,109
191130107004,1272,350,424,487,11,0,0,0,1052,16,0,7,9,188,1052,16,0,2,4,1,0,3,2,0,1,1,0,1,0,0,188
191130108011,534,160,186,188,0,0,0,0,450,12,0,4,3,65,450,12,0,2,0,2,0,1,0,0,0,0,0,0,2,0,65
191130108012,423,133,145,145,0,0,0,0,351,6,0,4,3,59,351,6,0,1,1,2,0,0,1,0,0,2,0,0,0,0,59
191130108021,901,200,408,284,8,1,0,0,762,12,8,17,10,92,762,11,8,3,5,4,3,5,2,0,5,0,0,0,0,0,92
191130108022,1699,294,826,563,13,3,0,0,1360,70,4,25,35,205,1360,70,4,11,9,8,1,9,0,4,4,4,0,1,1,0,205
191130108023,1180,282,449,444,3,2,0,0,1002,15,1,2,22,138,1002,15,1,1,11,0,1,0,0,1,0,7,0,0,0,3,138
191130108024,696,130,367,191,7,1,0,0,586,22,0,11,5,72,586,22,0,6,1,3,0,2,1,0,1,0,0,0,0,0,72
191070801001,576,235,125,214,1,1,0,0,497,10,1,0,5,63,497,10,1,0,3,0,0,1,0,0,0,1,0,0,0,0,63
191070801002,457,193,102,159,3,0,0,0,410,7,0,1,5,34,410,7,0,1,0,0,0,0,0,0,0,5,0,0,0,0,34
191070801003,433,232,92,107,2,0,0,0,338,2,0,1,2,90,338,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,90
191070802001,378,132,97,147,2,0,0,0,321,6,1,1,0,49,321,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,49
191070802002,438,177,131,128,2,0,0,0,394,2,0,1,2,39,394,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,39
191070802003,378,156,87,133,2,0,0,0,352,1,0,0,1,24,352,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24
191070802004,393,107,146,137,3,0,0,0,361,6,0,0,0,26,361,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
191070803001,308,120,87,100,1,0,0,0,265,2,0,0,0,41,265,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
191070803002,663,267,190,200,3,3,0,0,574,4,1,4,1,79,574,4,1,4,0,0,0,1,0,0,0,0,0,0,0,0,79
191070803003,756,335,181,238,1,1,0,0,647,3,0,8,7,91,647,1,0,5,1,0,0,5,1,0,0,0,0,0,0,1,91
191070804001,457,204,101,149,2,1,0,0,405,1,0,0,0,51,405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
191070804002,875,427,172,273,1,2,0,0,772,15,1,3,2,82,772,15,1,1,0,1,0,2,1,0,0,0,0,0,0,0,82
191070804003,477,184,113,179,0,1,0,0,401,11,1,3,5,56,401,11,1,1,0,0,0,0,2,0,0,0,0,0,0,5,56
191479601001,525,272,81,169,3,0,0,0,443,6,0,3,1,72,443,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,72
191479601002,798,342,197,257,1,1,0,0,677,6,0,5,10,100,677,6,0,4,0,0,0,0,0,0,1,0,0,0,1,0,100
191479602001,593,176,166,246,3,2,0,0,496,12,0,7,7,71,496,12,0,3,2,1,1,1,2,1,0,0,0,0,0,0,71
191479602002,603,286,132,180,3,2,0,0,522,4,0,4,3,70,522,4,0,3,1,0,0,0,1,0,0,2,0,0,0,0,70
191479603001,723,263,258,200,1,1,0,0,615,16,0,6,6,80,615,16,0,1,0,3,2,0,0,0,0,0,1,0,0,1,80
191479603002,454,161,173,115,5,0,0,0,393,8,0,2,4,47,393,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47
191479603003,599,160,239,193,4,3,0,0,531,8,1,0,7,52,531,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,52
191479603004,770,229,297,241,3,0,0,0,634,23,5,3,8,97,634,23,5,2,1,0,0,2,1,0,0,0,0,0,0,0,97
191479604001,471,155,138,177,0,1,0,0,418,5,0,2,0,46,418,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46
191479604002,530,229,125,175,1,0,0,0,476,2,0,4,2,46,476,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,46
191179501001,524,233,107,182,1,1,0,0,487,1,0,0,8,28,487,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,28
191179501002,921,426,213,279,2,1,0,0,783,17,0,5,22,94,783,17,0,2,2,1,0,9,0,4,0,1,0,2,6,0,94
191179502001,495,248,96,150,0,1,0,0,444,6,0,3,2,40,444,5,0,1,0,0,0,2,0,0,2,0,0,0,0,0,40
191179502002,487,224,100,161,2,0,0,0,451,4,1,0,7,24,451,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,24
191179502003,513,257,88,165,3,0,0,0,468,0,0,1,8,36,468,0,0,0,1,0,0,3,0,2,0,0,0,1,2,0,36
191179503001,591,281,125,179,5,1,0,0,525,9,0,1,10,46,525,9,0,0,2,0,0,7,1,0,0,0,0,0,1,0,46
191179503002,672,278,161,228,5,0,0,0,585,15,0,2,18,52,585,15,0,1,3,0,0,13,1,1,0,0,0,0,1,0,52
191179504001,583,238,133,209,2,1,0,0,506,17,0,9,8,43,506,17,0,4,0,4,0,5,1,1,0,0,0,0,2,0,43
191179504002,362,143,83,130,5,1,0,0,314,6,0,1,11,30,314,6,0,0,1,1,0,5,0,0,0,0,0,0,1,0,30
191179504003,550,226,128,194,2,0,0,0,483,9,0,1,11,46,483,9,0,1,1,0,0,4,0,0,0,3,0,0,3,0,46
191414901001,556,256,104,189,7,0,0,0,451,22,0,2,4,77,451,22,0,0,0,1,0,0,1,0,0,3,1,0,0,0,77
191414901002,562,250,128,178,6,0,0,0,454,24,1,4,3,76,454,24,1,3,0,0,1,2,0,1,0,0,0,0,0,0,76
191414901003,706,470,73,160,3,0,0,0,598,5,1,9,3,90,598,3,1,9,0,0,0,0,0,0,0,0,0,0,3,0,90
191414902001,574,390,75,105,4,0,0,0,490,3,0,1,0,80,490,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80
191414902002,473,338,41,92,2,0,0,0,384,7,0,7,0,75,384,6,0,3,0,1,0,0,0,0,3,0,0,0,0,0,75
191414902003,536,375,49,110,2,0,0,0,432,11,0,3,0,90,432,11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,90
191414902004,386,273,40,72,0,1,0,0,311,13,0,3,0,59,311,13,0,2,0,0,1,0,0,0,0,0,0,0,0,0,59
191414902005,589,373,89,125,2,0,0,0,508,13,2,6,0,60,508,12,2,3,0,0,1,0,0,0,0,0,0,0,0,0,60
191414903001,1344,943,152,246,3,0,0,0,1069,26,3,12,11,223,1069,26,3,2,6,1,1,0,1,0,5,5,0,0,0,0,223
191414903002,394,229,55,105,2,3,0,0,311,25,0,7,2,49,311,25,0,3,0,3,0,0,0,0,0,0,0,0,0,0,49
191414903003,683,404,93,182,4,0,0,0,534,27,0,7,3,112,534,27,0,4,1,0,3,0,0,0,0,0,0,0,0,0,112
191414903004,781,462,110,201,7,1,0,0,631,28,1,4,0,117,631,28,1,3,0,0,1,0,0,0,0,0,0,0,0,0,117
191414904001,536,336,67,130,2,1,0,0,466,4,0,1,2,63,466,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63
191414904002,437,238,83,113,3,0,0,0,372,7,0,1,6,51,372,7,0,0,2,1,0,0,0,0,0,0,0,0,3,0,51
191414904003,675,428,107,135,2,3,0,0,592,6,0,5,2,70,592,6,0,2,1,0,0,0,3,0,0,0,0,0,0,0,70
190834801001,371,191,70,108,1,1,0,0,278,9,0,6,6,72,278,9,0,0,4,0,2,0,4,0,0,0,0,0,0,0,72
190834801002,497,251,106,137,2,1,0,0,429,4,0,3,6,55,429,4,0,2,4,0,0,1,0,0,1,1,0,0,0,0,55
190834801003,792,369,183,237,3,0,0,0,595,40,0,5,4,148,595,39,0,2,3,3,0,0,0,0,0,0,1,0,0,0,148
