BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_21,eth2_23,eth2_81,eth2_14,eth2_34,eth2_12,eth2_32,eth2_unk
400272023022,527,324,99,101,3,0,0,473,18,1,3,3,29,473,18,1,3,1,0,0,0,0,0,0,0,29
400272023023,1019,566,212,229,12,0,0,873,32,10,3,18,83,873,32,10,0,7,1,0,8,2,2,0,0,83
400272023024,478,281,102,91,4,0,0,405,20,1,3,5,44,405,20,1,2,2,0,0,1,1,1,0,0,44
400272023025,837,549,137,146,5,0,0,723,34,3,2,3,72,723,33,3,2,0,0,0,0,0,1,0,0,72
400272024031,631,389,135,99,8,0,0,554,19,2,2,9,45,554,19,2,0,0,0,0,2,2,3,0,0,45
400272024032,600,307,175,115,3,0,0,522,19,3,4,2,50,522,19,3,0,0,1,3,2,0,0,0,0,50
400272024033,989,557,289,138,5,0,0,857,24,2,4,12,90,857,24,2,1,4,0,0,3,1,0,2,2,90
400272024034,739,402,233,96,8,0,0,666,15,4,8,8,38,666,15,4,1,2,0,6,0,1,4,0,0,38
400272024035,647,281,252,106,8,0,0,572,20,0,6,7,42,572,20,0,3,2,0,0,1,1,1,2,0,42
400272024036,312,153,104,53,2,0,0,276,3,0,1,4,28,276,3,0,0,2,0,1,2,0,0,0,0,28
400272024041,816,489,219,102,6,0,0,714,30,1,2,5,64,714,30,1,1,1,1,0,0,0,2,0,1,64
400272024042,822,515,154,146,7,0,0,720,29,0,5,4,64,720,29,0,2,1,0,1,0,2,0,0,0,64
400272024043,258,149,52,56,1,0,0,219,10,1,3,1,24,219,10,1,0,0,0,0,0,3,0,0,0,24
400272024044,406,227,115,64,0,0,0,369,8,3,1,3,22,369,8,3,0,0,0,0,0,0,0,1,0,22
400272024045,448,279,95,69,5,0,0,405,20,2,1,3,17,405,20,2,0,1,0,0,0,1,2,0,0,17
400272024051,671,432,126,112,1,0,0,570,25,0,0,2,74,570,25,0,0,1,0,0,0,0,1,0,0,74
400272024052,258,152,58,46,2,0,0,239,9,0,4,0,6,239,8,0,0,0,0,3,0,1,0,0,0,6
400272024053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400272024054,636,321,160,149,6,0,0,572,17,1,1,3,42,572,15,1,0,0,0,1,0,0,3,0,0,42
