BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_21,eth2_30,eth2_10,eth2_23,eth2_34,eth2_14,eth2_85,eth2_66,eth2_199,eth2_12,eth2_61,eth2_unk
220790104002,780,165,429,182,4,0,0,0,637,23,51,6,6,57,637,51,23,0,2,1,0,3,2,0,0,3,0,0,0,0,57
220790105011,674,462,67,144,1,0,0,0,136,7,518,1,3,9,136,510,7,8,3,0,0,0,1,0,0,0,0,0,0,0,9
220790105012,720,190,375,153,1,1,0,0,560,9,94,0,7,50,560,94,9,0,6,0,1,0,0,0,0,0,0,0,0,0,50
220790105021,323,175,30,115,2,1,0,0,63,6,244,1,1,8,63,238,6,6,1,0,0,0,0,0,0,0,0,0,1,0,8
220790105022,950,584,99,261,6,0,0,0,202,8,706,1,7,26,202,678,8,28,3,0,2,1,0,1,0,0,0,0,0,1,26
220790105023,788,439,104,240,5,0,0,0,177,12,550,10,9,30,177,535,11,15,9,1,0,2,7,0,0,0,1,0,0,0,30
220790106001,902,355,283,261,3,0,0,0,621,23,137,3,42,76,621,135,23,2,33,2,0,1,0,0,0,7,0,0,0,0,76
220790106002,903,196,435,269,3,0,0,0,752,27,12,6,17,89,752,12,27,0,16,0,0,3,1,0,0,0,0,0,2,0,89
220790106003,1338,264,700,363,10,1,0,0,1172,25,11,7,15,108,1172,11,25,0,11,0,2,4,0,0,1,0,0,0,2,0,108
220790107011,557,108,289,156,4,0,0,0,458,6,21,2,2,68,458,21,6,0,2,1,0,1,0,0,0,0,0,0,0,0,68
220790107012,1089,306,501,275,7,0,0,0,753,33,180,19,20,84,753,176,33,4,3,4,9,8,5,1,1,4,0,1,1,0,84
220790107013,439,96,208,131,3,1,0,0,348,14,19,4,7,47,348,19,14,0,3,2,2,2,0,0,0,0,0,0,0,0,47
220790107021,788,208,356,221,3,0,0,0,598,11,121,4,14,40,598,121,11,0,12,2,0,1,0,0,1,1,0,0,0,0,40
220790107022,707,202,352,150,3,0,0,0,468,15,136,5,18,65,468,135,15,1,3,1,14,2,2,0,0,0,0,0,0,0,65
220790110001,498,308,42,145,1,2,0,0,74,7,400,3,7,7,74,384,7,16,7,1,0,1,1,0,0,0,0,0,0,0,7
220790110002,383,229,20,134,0,0,0,0,27,3,345,2,2,4,27,338,3,7,2,1,0,1,0,0,0,0,0,0,0,0,4
220790110003,420,227,46,145,2,0,0,0,76,6,325,1,3,9,76,317,6,8,2,0,0,0,0,0,1,0,0,0,0,0,9
220790113001,521,134,242,139,4,2,0,0,436,13,31,4,0,37,436,31,13,0,0,1,0,2,1,0,0,0,0,0,0,0,37
220790113002,974,288,447,235,3,1,0,0,679,26,187,6,10,66,679,183,26,4,3,0,3,4,1,0,0,0,0,0,1,0,66
220790115011,465,107,254,102,2,0,0,0,375,9,50,1,2,28,375,50,9,0,0,0,2,1,0,0,0,0,0,0,0,0,28
220790115012,2151,485,1122,533,10,1,0,0,1638,60,236,18,31,168,1638,234,58,2,12,5,13,7,2,2,3,0,2,0,1,0,168
220790115021,513,266,90,153,3,1,0,0,185,13,294,1,3,17,185,289,13,5,3,0,0,0,0,0,0,0,0,0,0,0,17
220790115022,477,236,121,117,3,0,0,0,221,16,211,0,1,28,221,207,16,4,0,0,0,0,0,1,0,0,0,0,0,0,28
220790115023,755,185,382,182,6,0,0,0,583,17,95,3,11,46,583,95,15,0,3,0,4,2,1,1,0,2,2,0,0,1,46
220790115024,670,228,251,186,5,0,0,0,408,14,180,6,17,45,408,176,14,4,3,2,11,0,0,0,3,2,0,0,0,0,45
220790116001,394,107,168,118,1,0,0,0,280,8,67,3,7,29,280,66,8,1,2,0,3,1,0,0,2,0,0,0,0,0,29
220790116002,540,173,206,159,2,0,0,0,356,8,103,8,8,57,356,101,8,2,5,7,0,1,0,0,0,3,0,0,0,0,57
220790116003,363,108,135,117,3,0,0,0,259,3,67,3,5,26,259,67,3,0,1,1,2,0,0,0,2,2,0,0,0,0,26
220790117001,297,132,56,107,1,1,0,0,119,7,143,3,7,18,119,143,7,0,3,3,1,0,0,0,0,3,0,0,0,0,18
220790117002,538,261,101,175,1,0,0,0,201,14,285,12,3,23,201,278,14,7,3,9,0,2,0,0,1,0,0,0,0,0,23
220790117003,179,54,66,54,3,2,0,0,111,8,47,4,3,6,111,47,8,0,2,1,1,1,2,0,0,0,0,0,0,0,6
220790120001,311,236,11,64,0,0,0,0,9,0,298,3,0,1,9,294,0,4,0,2,0,1,0,0,0,0,0,0,0,0,1
220790120002,682,531,13,137,0,1,0,0,12,2,666,0,1,1,12,654,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1
220790121001,766,428,106,229,3,0,0,0,172,21,548,3,4,18,172,535,21,13,1,1,2,1,0,0,0,1,0,0,0,0,18
220790121002,985,474,205,295,11,0,0,0,429,21,479,2,9,45,429,463,21,16,7,1,1,1,0,0,0,0,0,0,0,0,45
220790122001,904,465,179,255,4,1,0,0,311,18,505,7,11,52,311,496,18,9,5,2,1,2,2,3,1,0,0,0,0,0,52
220790122002,711,403,110,192,5,1,0,0,202,12,460,4,5,28,202,449,12,11,1,1,2,2,0,2,0,0,0,0,1,0,28
220790122003,529,168,234,121,5,1,0,0,362,16,83,17,3,48,362,82,16,1,2,3,0,1,12,1,1,0,0,0,0,0,48
220790123011,653,208,248,196,1,0,0,0,340,16,214,8,23,52,340,212,16,2,5,0,16,1,7,0,0,0,0,2,0,0,52
220790123012,695,196,327,169,3,0,0,0,491,21,111,13,18,41,491,110,20,1,2,7,11,2,2,1,1,0,1,0,0,0,41
220790123013,565,145,294,125,1,0,0,0,442,16,56,3,7,41,442,54,16,2,0,1,2,0,2,1,0,3,0,0,0,0,41
220790123014,711,181,343,182,5,0,0,0,497,20,82,26,20,66,497,81,20,1,0,11,16,3,11,0,1,0,0,0,0,0,66
220790123015,1272,388,569,310,5,0,0,0,813,51,271,25,21,91,813,268,51,3,2,16,12,4,3,0,0,2,0,0,0,1,91
220790123021,1265,368,566,321,7,3,0,0,906,34,177,14,36,98,906,176,33,1,6,2,19,4,6,5,1,1,1,0,0,1,98
220790123022,527,196,197,132,2,0,0,0,346,21,110,11,15,24,346,109,21,1,4,4,6,3,3,1,0,2,0,0,0,0,24
220790123023,977,268,474,232,3,0,0,0,725,28,109,15,15,85,725,107,25,2,1,0,9,4,10,0,0,1,3,0,1,2,85
220790124001,816,311,259,236,10,0,0,0,483,21,230,9,20,53,483,224,21,6,6,3,8,0,5,1,0,0,0,0,1,0,53
