BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk
240338004122,1396,1081,87,197,21,2,1,1,0,6,0,162,151,922,44,60,57,162,918,151,6,45,13,3,1,9,0,9,3,4,0,0,0,5,2,4,0,0,1,0,1,57
240338004131,916,764,29,111,1,0,1,0,1,9,0,358,38,162,12,50,296,358,162,38,4,39,3,2,2,1,0,2,0,0,0,0,0,8,1,0,0,0,0,0,0,296
240338004132,1444,1152,79,193,11,0,1,0,1,7,0,116,81,1109,45,36,57,116,1105,78,16,22,17,4,5,2,2,3,3,1,1,0,3,1,1,4,0,0,0,0,0,57
240338005041,1501,818,342,297,28,5,3,0,2,6,0,913,122,269,36,30,131,913,269,119,12,12,10,7,7,5,0,1,0,0,2,2,3,3,1,0,1,0,1,0,0,131
240338005042,1033,614,203,189,14,1,2,0,0,10,0,539,74,305,23,30,62,539,304,74,10,13,6,2,2,4,4,1,2,2,2,0,0,4,0,1,0,0,0,0,0,62
240338005043,1008,523,271,188,12,6,1,0,1,6,0,624,102,159,20,25,78,624,159,102,4,18,8,4,1,2,2,1,2,0,0,1,0,0,0,0,1,0,1,0,0,78
240338005051,862,479,187,171,8,3,4,1,0,9,0,564,57,155,11,16,59,564,155,57,2,5,4,1,5,4,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,59
240338005052,1073,618,248,176,21,4,0,1,1,4,0,621,94,234,13,21,90,621,234,94,5,11,3,2,0,2,1,1,1,0,3,1,0,0,3,0,0,0,0,0,0,90
240338005071,1550,1130,131,262,15,5,0,0,0,7,0,311,72,990,54,42,81,311,988,72,18,28,13,5,2,10,0,7,4,2,4,1,0,0,1,2,0,0,1,0,0,81
240338005072,1080,687,183,186,13,2,1,1,1,6,0,364,49,585,13,14,55,364,583,49,2,7,2,4,3,1,1,0,0,2,0,0,0,0,0,2,0,1,1,0,0,55
240338005111,1131,814,123,173,12,2,1,1,0,5,0,253,76,715,20,23,44,253,714,76,10,10,9,0,0,1,0,0,5,6,1,0,0,0,0,1,0,0,0,0,0,44
240338005112,826,580,110,122,10,3,0,0,0,1,0,239,71,444,9,16,47,239,443,71,2,3,4,1,3,1,1,0,4,2,0,2,0,0,0,1,0,0,1,0,0,47
240338005113,907,721,60,107,9,3,1,0,0,6,0,96,40,714,19,18,20,96,712,40,5,13,5,1,2,4,0,4,0,2,0,0,0,1,0,2,0,0,0,0,0,20
240338005114,918,610,116,169,12,4,1,0,0,6,0,306,86,436,17,11,62,306,436,86,3,5,6,4,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,62
240338005131,652,346,151,138,8,1,0,0,0,8,0,408,63,105,15,15,46,408,104,63,5,11,5,0,1,3,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,46
240338005132,987,544,233,183,12,3,1,2,0,9,0,574,74,220,17,23,79,574,219,73,3,6,4,1,3,0,0,5,2,0,3,0,1,0,6,1,2,4,0,0,0,79
240338005133,870,630,119,105,8,3,0,0,0,5,0,281,50,462,23,16,38,281,461,50,3,8,14,2,0,0,0,3,1,0,0,0,0,1,1,1,5,0,1,0,0,38
240338005134,2273,1605,233,392,23,6,1,1,1,11,0,503,118,1391,90,60,111,503,1384,118,26,42,37,15,3,5,0,2,4,4,0,2,0,0,0,7,0,0,2,0,0,111
240338005141,1767,1384,97,260,15,4,1,1,0,5,0,166,51,1368,69,48,65,166,1362,51,20,28,25,4,6,12,0,5,4,3,2,0,0,2,0,6,0,2,0,0,0,65
240338005142,1724,1352,93,256,9,4,1,1,1,7,0,119,70,1350,104,53,28,119,1348,69,22,40,54,3,2,14,1,4,2,7,0,0,1,0,1,2,0,5,1,0,0,28
240338005143,1219,956,72,172,1,2,2,0,1,13,0,84,45,910,55,78,47,84,910,43,14,55,26,2,3,8,4,3,5,5,1,1,2,0,4,0,0,0,0,0,0,47
240338005151,1110,827,100,165,5,0,3,0,1,9,0,196,65,741,19,31,58,196,740,65,5,22,7,2,0,1,0,3,0,3,0,0,0,3,1,1,0,0,0,0,0,58
240338005152,1824,1302,207,279,11,6,2,2,1,14,0,483,129,1050,51,32,79,483,1044,125,12,14,13,4,5,9,1,7,5,0,3,0,4,1,1,6,0,4,0,0,0,79
240338005161,641,364,149,112,12,0,1,0,0,3,0,337,51,170,17,14,52,337,170,50,2,8,10,1,2,2,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,52
240338005162,492,404,24,53,3,1,1,0,0,6,0,90,24,331,13,11,23,90,328,24,4,6,6,1,0,2,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,23
240338005163,1513,1202,102,193,10,1,1,0,0,4,0,196,62,1149,21,41,44,196,1145,62,6,19,8,4,3,1,0,2,11,0,0,0,0,1,2,4,1,0,0,0,0,44
240338005171,2586,2169,97,267,32,4,3,4,0,10,0,167,118,2147,39,56,59,167,2142,117,12,44,10,4,1,3,1,6,1,1,1,0,1,3,2,5,2,3,1,0,0,59
240338005172,2308,1925,115,226,23,1,1,0,0,17,0,217,64,1892,52,31,52,217,1887,63,34,27,2,4,2,8,0,2,0,0,0,0,1,1,1,5,0,0,0,0,0,52
240338005181,1372,1081,94,175,14,3,0,0,0,5,0,174,44,1043,39,37,35,174,1043,42,9,25,23,0,0,0,8,5,0,2,0,0,2,1,0,0,0,0,2,0,0,35
