BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_12,eth2_64,eth2_10,eth2_85,eth2_83,eth2_14,eth2_66,eth2_26,eth2_21,eth2_30,eth2_23,eth2_93,eth2_34,eth2_unk
150030053001,814,419,366,29,0,0,199,87,0,359,36,133,199,48,84,184,18,10,62,3,6,55,2,0,0,1,133
150030053002,593,263,264,66,0,0,104,71,0,293,55,70,104,61,60,160,25,28,37,11,12,15,0,6,0,0,70
150030054001,397,35,351,11,0,0,55,42,0,161,32,107,55,5,41,52,9,18,10,1,6,80,2,1,0,1,107
150030055001,798,394,355,49,0,0,119,165,1,237,129,147,119,33,163,134,96,22,28,2,8,30,5,2,1,1,147
150030056011,369,135,182,52,0,0,49,63,2,198,23,34,49,23,62,94,14,5,58,1,2,19,0,1,2,2,34
150030056012,384,143,172,69,0,0,46,78,4,140,48,68,46,42,76,53,26,12,12,2,11,17,1,1,4,0,68
150030056021,510,216,197,97,0,0,88,114,0,181,68,59,88,87,113,58,56,5,4,1,6,18,2,4,0,2,59
150030056022,538,213,262,63,0,0,69,159,3,151,75,81,69,54,159,66,56,11,3,0,19,6,6,2,3,1,81
150030056023,849,399,402,48,0,0,113,229,1,220,162,124,113,76,222,72,138,19,14,7,27,27,1,2,1,1,124
150030057001,1040,669,322,49,0,0,404,96,6,297,66,171,404,103,94,101,20,33,50,2,9,25,8,4,6,1,171
150030057002,403,220,171,12,0,0,136,91,2,42,47,85,136,18,91,12,30,9,4,0,3,4,4,1,2,0,85
150030058001,558,40,488,30,0,0,105,96,3,182,49,123,105,29,93,54,20,22,12,3,8,70,3,3,3,0,123
150030058002,977,345,569,63,0,0,126,385,0,124,200,142,126,41,379,32,182,11,9,6,24,14,2,4,0,3,142
150030059001,798,422,325,51,0,0,217,181,2,131,84,183,217,58,176,30,53,18,11,5,17,8,11,2,2,0,183
150030059002,41,28,12,1,0,0,21,4,0,5,2,9,21,3,4,2,0,2,0,0,0,0,0,0,0,0,9
150030060001,919,362,484,73,0,0,98,350,0,84,192,195,98,31,344,15,165,18,7,6,19,5,6,4,0,0,195
150030060002,917,387,458,72,0,0,108,353,2,74,200,180,108,19,352,21,187,4,3,1,24,6,5,0,2,0,180
150030060003,480,209,244,27,0,0,69,163,0,52,88,108,69,20,162,12,67,12,4,1,7,4,3,1,0,1,108
150030061001,926,405,425,96,0,0,103,331,0,134,200,158,103,63,327,26,181,14,4,4,21,10,1,9,0,2,158
150030061002,949,381,453,115,0,0,146,320,1,153,174,155,146,62,314,64,154,12,3,6,14,3,5,6,1,3,155
150030062021,516,175,315,26,0,0,95,115,3,58,87,158,95,21,113,15,39,31,5,2,3,10,4,4,3,0,158
150030062022,195,21,173,1,0,0,46,17,1,28,31,72,46,5,16,11,8,22,1,1,4,1,1,5,1,0,72
150030062031,1248,532,586,130,0,0,183,319,2,264,209,271,183,107,314,73,161,33,9,5,35,29,1,7,2,4,271
150030062032,836,345,408,83,0,0,133,275,3,144,157,124,133,55,271,31,133,17,4,4,16,20,5,12,3,0,124
150030063011,659,227,305,127,0,0,94,143,2,234,97,89,94,173,141,33,75,18,2,2,15,6,0,3,2,0,89
150030063012,723,265,345,113,0,0,118,173,3,174,127,128,118,102,166,30,84,22,8,7,10,17,14,7,3,2,128
150030063013,524,222,251,51,0,0,64,151,0,146,78,85,64,75,149,39,62,11,5,2,10,4,3,8,0,2,85
150030063021,247,54,150,43,0,0,42,49,0,69,34,53,42,45,48,12,24,8,2,1,2,5,1,2,0,0,53
150030063022,446,31,360,55,0,0,84,69,0,112,42,139,84,48,68,17,15,17,2,1,10,27,3,1,0,0,139
150030064011,893,335,445,113,0,0,115,270,2,135,220,151,115,75,270,20,189,26,7,0,18,12,2,2,2,0,151
150030064021,557,202,265,90,0,0,97,195,0,98,85,82,97,49,191,18,74,7,2,4,16,6,3,5,0,0,82
150030064022,580,245,261,74,0,0,95,183,1,100,77,124,95,49,175,18,67,9,4,8,14,9,0,5,1,1,124
150030064023,831,302,379,150,0,0,191,228,0,136,117,159,191,77,218,30,96,14,5,10,16,2,0,5,0,4,159
150030064024,790,328,383,79,0,0,108,249,1,166,114,152,108,92,246,37,98,10,3,3,27,6,3,0,1,0,152
150030065001,1884,823,720,341,0,0,452,415,6,463,247,301,452,293,399,84,182,49,23,16,24,27,7,9,6,3,301
150030065002,561,234,265,62,0,0,101,157,2,137,84,80,101,90,151,21,68,7,7,6,13,1,1,2,2,2,80
150030067031,844,337,311,196,0,0,185,52,2,481,41,83,185,357,45,102,25,10,13,7,3,1,1,3,2,0,83
150030067041,33,8,25,0,0,0,16,10,5,0,0,2,16,0,10,0,0,0,0,0,0,0,0,0,5,0,2
150030067042,753,385,297,71,0,0,259,76,18,208,68,124,259,128,72,44,28,33,19,4,4,3,5,7,18,0,124
150030067043,763,247,271,245,0,0,122,58,1,469,45,68,122,351,55,85,24,9,5,3,4,13,9,7,1,0,68
150030067044,737,251,240,246,0,0,117,53,1,485,27,54,117,390,52,69,15,7,10,1,9,2,3,0,1,0,54
150030067045,1460,501,508,451,0,0,215,110,0,970,87,78,215,718,95,195,44,22,25,15,12,3,11,9,0,4,78
150030068061,583,194,199,190,0,0,79,52,0,381,28,43,79,241,50,113,24,2,8,2,1,17,2,0,0,0,43
150030068062,647,255,216,176,0,0,119,45,2,405,33,43,119,273,43,87,17,3,28,2,6,5,13,1,1,0,43
150030068101,113,31,71,11,0,0,54,34,12,3,1,9,54,0,34,0,1,0,1,0,0,0,0,1,9,0,9
150030068102,43,22,19,2,0,0,22,8,6,3,0,4,22,1,8,1,0,0,0,0,0,0,0,0,6,0,4
150030068111,115,40,61,14,0,0,64,20,10,1,4,16,64,1,20,0,3,0,0,0,0,0,0,0,10,0,16
150030068121,887,321,303,263,0,0,169,65,1,534,45,73,169,372,58,113,33,6,31,7,5,11,1,1,1,0,73
150030068131,957,543,323,91,0,0,210,89,3,514,55,86,210,289,85,132,36,5,62,4,7,18,7,4,2,1,86
150030068132,185,47,70,68,0,0,18,18,0,134,7,8,18,106,18,17,5,1,7,0,1,3,0,0,0,0,8
150030068133,516,216,221,79,0,0,114,54,0,252,36,60,114,136,54,72,27,5,21,0,4,18,4,0,0,0,60
150030068134,1154,463,375,316,0,0,224,110,1,692,43,84,224,401,104,190,19,12,66,6,11,14,2,4,1,0,84
150030068141,671,322,260,89,0,0,137,117,2,266,53,96,137,86,116,114,43,4,44,1,5,13,4,1,2,0,96
150030068142,608,331,215,62,0,0,150,82,6,246,57,67,150,83,78,92,40,11,37,4,5,22,0,4,6,0,67
150030068151,503,242,219,42,0,0,133,61,1,172,54,82,133,81,60,59,29,17,26,1,2,2,4,1,1,1,82
150030068152,559,278,208,73,0,0,158,68,2,236,42,53,158,121,68,75,23,12,19,0,2,15,3,3,2,1,53
150030068161,1089,438,496,155,0,0,210,341,2,198,173,165,210,84,334,59,147,19,10,7,29,8,1,5,2,2,165
150030068171,895,352,384,159,0,0,216,251,3,150,136,139,216,51,243,51,96,28,9,8,17,16,3,0,3,4,139
150030068172,745,301,300,144,0,0,126,238,0,110,142,129,126,41,228,24,125,11,4,10,25,10,1,4,0,4,129
150030068173,703,260,269,174,0,0,164,198,1,125,118,97,164,62,194,37,105,12,5,4,6,7,1,4,1,0,97
150030068181,883,455,316,112,0,0,199,91,4,456,47,86,199,240,88,119,30,8,64,3,6,21,5,3,4,0,86
150030068191,479,224,195,60,0,0,126,85,6,166,43,53,126,86,83,54,24,10,21,2,1,2,4,2,6,0,53
150030068192,798,370,325,103,0,0,146,101,10,423,44,74,146,168,99,148,26,12,54,2,13,33,2,0,10,0,74
150030069001,118,43,58,17,0,0,50,20,7,11,7,23,50,4,20,6,1,5,1,0,0,0,0,0,7,1,23
150030069002,164,67,61,36,0,0,114,18,9,9,5,9,114,4,18,0,4,0,2,0,0,1,1,2,8,0,9
150030069003,145,57,59,29,0,0,89,22,6,7,2,19,89,2,22,2,1,0,0,0,2,0,1,1,6,0,19
150030070011,91,29,55,7,0,0,49,20,4,5,2,11,49,1,19,2,2,0,1,1,0,0,0,1,4,0,11
150030070012,62,17,30,15,0,0,25,13,3,5,4,12,25,1,13,0,4,0,1,0,3,0,0,0,3,0,12
150030070021,42,13,22,7,0,0,24,7,1,0,2,8,24,0,7,0,0,0,0,0,0,0,2,0,1,0,8
150030070022,135,47,69,19,0,0,68,29,4,3,7,24,68,0,29,2,3,2,0,0,1,0,0,0,4,2,24
150030071001,222,85,75,62,0,0,125,38,10,9,10,30,125,2,38,0,6,1,2,0,1,2,0,2,10,3,30
150030071002,84,29,35,20,0,0,53,11,5,3,2,10,53,0,11,1,1,0,0,0,2,0,0,0,5,1,10
150030073021,174,33,50,91,0,0,129,15,2,12,3,13,129,6,14,2,0,3,1,1,3,0,0,0,2,0,13
150030073022,81,27,21,33,0,0,57,10,0,4,2,8,57,2,10,0,0,1,1,0,0,0,1,1,0,0,8
150030073023,73,10,32,31,0,0,48,12,1,4,3,5,48,1,12,0,0,0,2,0,0,1,0,0,1,0,5
150030073024,207,50,65,92,0,0,139,20,8,16,3,21,139,6,20,5,1,1,2,0,2,0,1,1,8,0,21
150030074001,284,123,113,48,0,0,126,67,9,39,21,22,126,15,66,7,15,1,2,1,3,9,5,3,9,0,22
150030074002,67,25,35,7,0,0,38,11,2,0,1,15,38,0,11,0,0,0,0,0,0,0,0,0,2,1,15
150030075041,655,302,286,67,0,0,122,118,4,187,104,120,122,131,110,29,62,29,7,8,12,3,5,3,4,0,120
150030075042,587,289,274,24,0,0,132,127,0,131,76,121,132,62,124,31,34,40,7,3,4,20,1,6,0,0,121
150030075071,995,366,502,127,0,0,149,135,3,519,80,109,149,412,128,66,46,27,16,7,8,17,3,0,3,0,109
150030075072,6,1,2,3,0,0,0,0,1,5,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0
150030075073,1222,610,442,170,0,0,326,142,4,597,51,102,326,402,133,138,35,10,21,9,7,21,2,3,4,1,102
150030075074,1049,489,390,170,0,0,213,115,1,521,77,122,213,397,104,94,48,22,14,11,6,5,3,0,1,1,122
150030075081,96,41,47,8,0,0,53,14,12,5,1,11,53,1,13,2,1,0,1,1,0,1,0,0,12,0,11
150030075082,965,390,328,247,0,0,255,203,0,282,111,114,255,104,198,101,99,8,26,5,8,31,2,7,0,1,114
150030075083,731,311,234,186,0,0,165,144,3,236,80,103,165,89,136,61,68,8,24,8,17,41,1,0,2,1,103
150030075084,1209,448,453,308,0,0,263,262,5,367,157,155,263,178,256,109,129,22,23,6,12,34,1,10,5,3,155
150030075085,564,274,223,67,0,0,189,53,5,228,33,56,189,164,53,50,20,7,2,0,3,6,0,2,5,1,56
150030077011,867,377,374,116,0,0,156,150,1,409,62,89,156,338,148,39,43,13,12,2,5,14,4,1,1,1,89
150030077012,874,393,393,88,0,0,169,188,6,240,131,140,169,163,184,47,96,25,13,4,10,3,2,3,6,3,140
150030077013,359,178,145,36,0,0,85,54,0,126,39,55,85,82,53,29,28,8,1,1,6,4,2,0,0,0,55
150030077021,676,299,269,108,0,0,124,84,0,336,44,88,124,261,76,46,31,12,9,8,10,9,1,0,0,0,88
