BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_21,eth2_99,eth2_34,eth2_14,eth2_unk
281310202062,1180,509,181,490,0,0,0,343,21,775,5,1,35,343,775,20,3,0,1,0,0,0,1,35
281059501011,721,264,137,320,0,0,0,212,11,465,2,0,31,212,464,11,0,0,1,0,1,0,1,31
281059501012,775,582,91,102,0,0,0,471,20,209,11,3,61,471,209,20,3,1,2,2,0,1,3,61
281059501013,1034,500,259,275,0,0,0,560,13,378,11,7,65,560,377,13,4,3,4,1,1,0,2,65
281059501021,983,526,152,305,0,0,0,523,28,371,7,8,46,523,371,28,2,4,1,2,0,2,1,46
281059501022,650,278,115,257,0,0,0,210,3,406,5,0,26,210,406,3,2,0,1,0,0,0,2,26
281059502011,1019,584,202,233,0,0,0,700,22,188,24,9,76,700,186,22,4,6,12,4,2,1,1,76
281059502012,677,393,154,130,0,0,0,470,9,134,11,8,45,470,133,9,4,2,4,0,1,1,2,45
281059502021,743,267,172,304,0,0,0,455,6,245,6,1,30,455,245,6,1,1,5,0,0,0,0,30
281059502022,1122,410,394,317,0,1,0,625,4,456,3,3,31,625,456,4,0,1,1,0,0,0,2,31
281059502023,397,149,178,69,0,1,0,278,7,90,0,4,18,278,90,7,0,1,0,0,0,0,0,18
281059503001,1468,738,96,634,0,0,0,76,17,1348,6,3,18,76,1348,17,2,1,1,0,0,1,0,18
281059503002,1030,468,206,356,0,0,0,548,17,411,8,9,37,548,410,17,5,3,2,0,1,3,1,37
281059504011,964,650,123,191,0,0,0,718,13,135,10,8,80,718,135,12,3,5,4,1,0,1,1,80
281059504012,832,571,124,137,0,0,0,616,16,89,7,11,93,616,89,16,3,6,1,1,0,4,1,93
281059504021,589,293,83,213,0,0,0,189,5,359,9,5,22,189,358,5,4,4,3,0,1,0,1,22
281059504022,918,419,201,298,0,0,0,514,16,336,6,4,42,514,335,16,2,2,4,0,1,1,0,42
281059505001,541,229,98,214,0,0,0,257,4,245,3,6,26,257,245,3,1,1,2,0,0,1,0,26
281059505002,1094,416,381,297,0,0,0,885,16,110,5,5,73,885,109,16,3,3,1,1,1,0,0,73
281059505003,505,318,61,126,0,0,0,315,12,140,2,4,32,315,137,11,1,0,1,0,3,2,0,32
281059505004,512,297,57,157,0,1,0,337,10,135,1,2,27,337,134,10,0,1,1,0,1,0,0,27
281059506011,1870,1046,511,313,0,0,0,1283,33,361,64,18,111,1283,361,32,16,7,35,10,0,4,1,111
281059506012,1114,547,403,164,0,0,0,841,18,140,29,14,72,841,140,18,4,8,16,6,0,0,3,72
281059506031,1274,459,559,256,0,0,0,1045,28,85,25,18,73,1045,83,27,8,8,13,1,2,1,2,73
281059506032,807,491,77,239,0,0,0,210,17,527,9,5,39,210,526,16,3,4,1,4,1,1,1,39
281059506041,610,358,64,188,0,0,0,146,14,424,2,3,21,146,423,14,1,0,1,0,1,2,0,21
281059506042,885,436,188,261,0,0,0,528,23,264,8,10,52,528,262,23,3,4,5,0,2,2,0,52
281059506043,2121,1391,305,425,0,0,0,959,45,962,30,15,110,959,961,44,12,8,6,2,1,2,6,110
281059507011,646,292,204,150,0,0,0,376,14,206,5,5,40,376,205,13,1,2,4,0,1,2,0,40
281059507012,543,204,136,203,0,0,0,157,5,366,1,6,8,157,366,5,0,1,1,0,0,2,0,8
281059507013,1182,444,253,485,0,0,0,505,7,602,7,2,59,505,600,7,2,0,3,0,2,2,2,59
281059507021,955,397,230,328,0,0,0,450,14,449,6,8,28,450,449,12,0,4,2,1,0,0,3,28
281059507022,586,179,260,147,0,0,0,403,5,154,1,3,20,403,153,5,0,1,0,0,1,0,1,20
281059507023,1201,387,475,339,0,0,0,890,11,224,4,2,70,890,224,10,0,1,2,1,0,0,0,70
281539501011,719,196,226,295,0,2,0,296,5,395,5,3,15,296,394,5,4,1,1,0,1,0,0,15
281539501012,1040,323,264,452,0,1,0,410,6,595,2,3,24,410,593,6,1,0,0,1,2,0,0,24
281539501021,1233,400,341,492,0,0,0,585,11,593,7,0,37,585,591,11,3,0,4,0,2,0,0,37
281539501022,635,187,175,273,0,0,0,267,8,347,2,0,11,267,347,8,1,0,1,0,0,0,0,11
281539502001,452,179,150,121,0,2,0,263,3,169,8,0,9,263,169,3,4,0,2,1,0,0,1,9
281539502002,367,147,74,144,0,2,0,119,2,232,3,3,8,119,232,2,2,0,1,0,0,1,0,8
281539502003,1009,425,91,490,0,3,0,241,11,730,4,3,20,241,730,11,2,3,1,0,0,0,1,20
281539502004,429,161,61,206,0,1,0,84,2,332,3,0,8,84,332,2,2,0,0,1,0,0,0,8
281539502005,926,334,270,322,0,0,0,445,12,428,5,2,34,445,428,12,5,0,0,0,0,1,0,34
281539503011,757,213,302,241,0,1,0,348,3,390,6,0,10,348,390,3,5,0,1,0,0,0,0,10
281539503012,580,171,224,185,0,0,0,346,3,205,1,3,22,346,205,3,0,2,0,0,0,1,1,22
281539503021,1165,371,556,235,0,3,0,922,9,191,5,2,36,922,189,9,3,2,0,2,2,0,0,36
281539503022,857,232,474,150,0,1,0,778,8,34,3,1,33,778,34,8,0,0,1,0,0,0,1,33
281539504011,1096,293,586,216,0,1,0,939,11,103,4,1,38,939,103,11,2,1,2,0,0,0,0,38
281539504012,800,228,432,138,0,2,0,726,3,25,5,0,41,726,25,3,4,0,0,0,0,0,0,41
281539504021,704,245,179,278,0,2,0,329,5,358,1,0,11,329,358,5,1,0,0,0,0,0,0,11
281539504022,765,288,179,297,0,1,0,344,5,397,1,0,18,344,397,5,0,0,0,0,0,0,1,18
281299501001,352,112,179,61,0,0,0,260,9,64,0,1,18,260,64,9,0,0,0,0,0,0,0,18
281299501002,558,191,262,105,0,0,0,372,1,171,2,1,11,372,171,1,0,1,1,0,0,0,1,11
281299501003,198,92,92,14,0,0,0,142,1,44,1,0,10,142,44,1,0,0,0,1,0,0,0,10
281299501004,1022,333,293,396,0,0,0,363,8,628,1,1,21,363,627,8,1,0,0,0,1,0,0,21
281299502011,1064,388,546,130,0,0,0,925,19,72,5,3,40,925,72,19,0,1,3,1,0,0,1,40
281299502012,346,145,165,36,0,0,0,261,3,62,0,0,20,261,62,3,0,0,0,0,0,0,0,20
281299502013,377,144,190,43,0,0,0,322,6,25,0,1,23,322,25,6,0,0,0,0,0,0,0,23
281299502021,1116,401,449,265,0,1,0,906,7,133,1,5,64,906,133,7,0,3,1,0,0,0,0,64
281299502022,128,56,56,16,0,0,0,97,0,22,0,2,7,97,22,0,0,0,0,0,0,0,0,7
281299502023,201,68,104,29,0,0,0,162,1,33,0,0,5,162,33,1,0,0,0,0,0,0,0,5
281299503011,1259,468,320,470,0,1,0,586,13,590,9,2,59,586,588,13,5,1,1,1,2,1,2,59
281299503012,446,149,195,102,0,0,0,295,10,123,1,2,15,295,122,10,0,0,1,0,1,1,0,15
281299503013,785,245,323,217,0,0,0,540,4,208,2,2,29,540,208,4,0,1,0,1,0,0,1,29
281299503021,291,96,149,46,0,0,0,170,1,102,1,1,16,170,102,1,0,0,1,0,0,0,0,16
281299503022,280,95,126,59,0,0,0,198,1,63,1,0,17,198,63,1,1,0,0,0,0,0,0,17
281099501011,1237,424,720,91,0,2,0,1081,30,29,1,6,90,1081,28,30,0,1,1,0,1,0,0,90
281099501012,833,341,426,64,0,2,0,710,27,14,7,2,73,710,14,27,0,0,2,4,0,0,1,73
281099501021,904,377,453,73,0,1,0,766,29,28,1,3,77,766,28,29,0,0,1,0,0,0,0,77
281099501022,801,309,429,62,0,1,0,694,14,24,4,1,64,694,24,14,0,0,0,1,0,1,1,64
281099502011,526,213,250,62,0,1,0,404,29,44,0,1,48,404,44,29,0,0,0,0,0,0,0,48
281099502012,950,379,494,76,0,1,0,841,23,19,7,2,58,841,19,23,3,2,2,0,0,0,2,58
281099502013,322,97,199,25,0,1,0,265,8,11,0,2,36,265,10,8,0,0,0,0,1,0,0,36
281099502021,1123,459,423,240,0,1,0,721,28,302,3,7,62,721,302,27,2,2,0,1,0,2,0,62
281099502022,921,341,448,130,0,2,0,720,13,115,1,8,64,720,115,13,0,0,0,0,0,2,0,64
281099503001,1086,443,449,193,0,1,0,756,21,228,14,10,57,756,228,21,2,4,7,1,0,1,1,57
281099503002,652,249,275,126,0,2,0,508,15,82,2,3,42,508,82,15,0,0,2,0,0,0,0,42
281099504031,1026,493,401,131,0,1,0,761,25,133,4,6,97,761,130,25,0,3,1,3,3,0,0,97
281099504032,636,273,266,96,0,1,0,451,18,113,1,3,50,451,112,17,0,1,0,0,1,0,1,50
281099504033,765,359,351,55,0,0,0,652,28,3,0,8,74,652,3,28,0,3,0,0,0,0,0,74
281099504041,662,295,318,47,0,2,0,565,24,9,1,3,60,565,9,21,0,0,1,0,0,2,0,60
281099504042,463,206,227,28,0,2,0,403,10,4,1,2,43,403,4,10,0,0,0,1,0,0,0,43
281099504043,1211,585,552,71,0,3,0,989,58,29,7,9,119,989,29,56,2,0,3,2,0,2,0,119
281099504051,1229,602,488,135,0,4,0,964,27,131,4,4,99,964,131,25,0,0,1,0,0,3,0,99
281099504052,1197,563,548,84,0,2,0,1002,51,26,3,2,113,1002,26,51,0,2,1,1,0,0,1,113
281099504061,976,483,433,60,0,0,0,818,36,28,4,2,88,818,28,36,2,1,1,1,0,1,0,88
281099504062,508,220,266,22,0,0,0,433,19,5,2,0,49,433,5,19,2,0,0,0,0,0,0,49
281099505031,1020,530,431,57,0,2,0,854,50,30,2,2,82,854,30,50,1,1,1,0,0,0,0,82
281099505032,739,286,412,41,0,0,0,656,12,13,0,4,54,656,13,12,0,1,0,0,0,2,0,54
281099505033,818,435,330,52,0,1,0,665,46,8,6,7,86,665,6,41,1,3,1,2,2,0,0,86
281099505041,511,251,233,27,0,0,0,427,20,19,1,4,40,427,18,20,0,2,1,0,1,0,0,40
