BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_con,party_ain,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_35,eth2_14,eth2_12,eth2_55,eth2_13,eth2_32,eth2_61,eth2_85,eth2_29,eth2_33,eth2_38,eth2_15,eth2_57,eth2_19,eth2_26,eth2_59,eth2_unk
250235117014,1158,579,468,94,2,0,0,2,0,13,0,677,143,179,30,22,107,677,120,178,14,9,23,0,7,11,3,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,107
250235117021,1779,894,688,163,8,0,3,1,0,22,0,1025,213,234,57,29,221,1025,172,234,23,11,41,3,4,17,3,6,3,1,0,0,1,1,0,4,0,4,4,0,0,0,221
250235201001,1353,919,304,116,5,0,1,1,1,6,0,1123,46,3,14,31,136,1123,41,3,5,15,5,6,5,2,6,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,136
250235201002,694,451,159,73,8,1,0,1,0,1,0,572,28,7,12,12,63,572,26,7,3,7,2,0,2,8,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,63
250235201003,1434,897,338,182,8,1,1,0,3,4,0,1192,52,9,18,24,139,1192,42,8,11,8,10,2,5,4,3,1,0,0,0,1,0,3,1,1,0,0,0,0,0,0,139
250235201004,1082,728,249,93,3,1,1,1,0,6,0,865,42,21,21,21,112,865,37,21,5,17,5,0,1,12,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,112
250235202011,537,336,133,60,2,3,1,0,0,2,0,426,33,2,11,18,47,426,31,2,2,6,2,1,5,8,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,47
250235202012,930,634,190,88,8,0,1,0,1,8,0,777,32,4,11,24,82,777,27,4,2,7,5,2,1,7,3,0,0,1,0,2,1,6,3,0,0,0,0,0,0,0,82
250235202013,1293,864,290,134,3,1,1,0,0,0,0,1131,32,1,21,27,81,1131,26,1,6,13,6,3,5,5,1,2,1,4,4,0,0,4,0,0,0,0,0,0,0,0,81
250235202021,882,562,214,97,2,2,1,0,0,4,0,726,37,23,25,12,59,726,30,23,7,7,7,1,4,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59
