BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_21,eth2_14,eth2_81,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk
132130107002,911,71,467,373,0,0,801,74,8,1,2,25,801,6,74,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
132130107003,442,36,219,187,0,0,388,16,6,1,1,30,388,1,16,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
132130107004,708,42,351,315,0,0,643,18,3,1,2,41,643,2,18,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
131018801001,931,170,268,493,0,0,690,79,77,4,15,66,690,74,79,3,2,1,1,0,1,9,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,66
131018802001,466,87,138,241,0,0,374,28,32,1,10,21,374,29,28,3,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,21
131018802002,679,61,261,357,0,0,538,99,8,0,3,31,538,8,99,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
132419701011,826,130,282,414,0,0,735,25,4,1,9,52,735,4,25,0,0,0,1,1,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52
132419701012,728,121,231,376,0,0,648,20,12,4,4,40,648,9,20,3,1,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40
132419701021,603,104,186,313,0,0,535,21,0,3,3,41,535,0,21,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
132419701022,287,41,98,148,0,0,239,21,4,2,0,21,239,3,21,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
132419701031,766,92,251,423,0,0,693,20,4,7,3,39,693,2,20,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,39
