BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_34,eth2_30,eth2_23,eth2_10,eth2_unk
500279667003,569,277,151,141,0,0,480,10,1,5,7,66,480,10,1,3,0,4,66
500279667004,1105,629,260,216,0,0,965,20,0,8,16,96,965,19,11,2,0,0,96
500279668001,684,390,133,161,0,0,606,20,0,5,3,50,606,20,1,0,5,0,50
500279668002,882,512,183,187,0,0,756,18,0,5,12,91,756,15,3,5,0,1,91
500279668003,774,408,190,176,0,0,695,9,0,4,9,57,695,9,2,0,1,0,57
500059570001,1055,523,229,303,0,0,954,8,1,2,11,79,954,8,8,1,1,1,79
500059570002,242,142,30,70,0,0,207,2,0,1,2,30,207,2,0,1,0,0,30
500059570003,1004,488,250,266,0,0,890,6,0,3,11,94,890,6,2,0,0,2,94
500059571001,1118,555,241,322,0,0,1008,16,0,1,8,85,1008,14,4,3,0,0,85
500059571002,347,183,85,79,0,0,308,5,2,0,1,31,308,4,0,1,0,0,31
500059572001,169,100,38,31,0,0,145,1,0,2,5,16,145,1,3,0,0,1,16
500059572002,401,197,116,88,0,0,366,5,0,1,6,23,366,5,2,1,0,0,23
500059573001,115,56,35,24,0,0,110,0,0,0,0,5,110,0,0,0,0,0,5
500059573002,394,194,109,91,0,0,354,4,0,4,5,27,354,4,3,1,2,1,27
500059573003,2430,1071,708,651,0,0,2177,35,4,24,17,173,2177,35,10,2,8,10,173
500059574001,807,417,156,234,0,0,709,17,1,0,11,69,709,17,2,2,0,0,69
500059574002,609,404,107,98,0,0,524,14,1,8,8,54,524,13,1,2,0,1,54
500059574003,655,376,141,138,0,0,595,14,0,6,9,31,595,14,3,3,4,0,31
500059575001,962,475,188,299,0,0,848,10,0,14,11,79,848,9,4,2,0,2,79
500059575002,484,266,94,124,0,0,420,4,4,0,8,48,420,4,4,2,0,0,48
500059575003,842,454,181,207,0,0,738,18,1,4,12,69,738,18,5,4,0,3,69
500059576001,1617,761,394,462,0,0,1426,14,1,10,16,150,1426,11,9,1,5,2,150
500059576002,592,302,112,178,0,0,512,13,0,3,6,58,512,11,3,1,0,0,58
500059577001,1269,704,315,250,0,0,1120,23,3,4,9,110,1120,23,2,3,0,4,110
500059577002,847,476,192,179,0,0,764,9,0,6,1,67,764,9,0,0,0,2,67
500059578001,631,327,150,154,0,0,536,13,2,1,7,72,536,11,2,1,0,1,72
500059578002,707,337,130,240,0,0,662,9,0,1,5,30,662,8,0,1,0,0,30
500059578003,860,421,215,224,0,0,774,13,2,2,8,61,774,12,6,2,0,1,61
500059579001,969,413,211,345,0,0,843,15,0,6,11,94,843,13,6,3,1,2,94
500059579002,986,505,220,261,0,0,878,15,4,4,5,80,878,15,1,4,2,0,80
500059579003,392,165,84,143,0,0,347,10,2,1,1,31,347,10,1,0,1,0,31
500239540001,1076,595,217,264,0,0,952,5,0,6,13,100,952,5,5,3,1,1,100
500239540002,1140,611,258,271,0,0,997,23,1,2,5,112,997,23,1,3,1,1,112
500239540003,1026,580,245,201,0,0,869,5,2,8,28,114,869,4,8,4,3,3,114
500239541001,715,363,185,167,0,0,623,9,1,3,9,70,623,9,2,5,0,1,70
500239541002,99,60,26,13,0,0,75,4,0,0,3,17,75,4,1,2,0,0,17
500239541003,1264,764,291,209,0,0,1120,17,0,3,9,115,1120,17,3,1,2,0,115
500239542001,742,455,152,135,0,0,633,14,0,5,8,82,633,13,3,5,4,1,82
500239542002,1286,743,268,275,0,0,1128,15,1,5,15,122,1128,14,5,6,2,2,122
500239543001,1083,583,325,175,0,0,929,18,0,10,11,115,929,18,4,4,2,1,115
500239543002,1054,529,348,177,0,0,920,19,0,6,17,92,920,17,2,4,1,0,92
500239543003,470,255,138,77,0,0,385,17,0,3,8,57,385,17,1,4,0,1,57
500239543004,626,431,144,51,0,0,551,10,1,5,6,53,551,10,1,3,0,2,53
