BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_30,eth2_34,eth2_81,eth2_10,eth2_21,eth2_14,eth2_55,eth2_12,eth2_85,eth2_35,eth2_61,eth2_66,eth2_unk
450910606001,21,10,4,7,0,0,17,1,2,0,0,1,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
450910607001,1024,435,503,86,0,0,815,20,111,10,12,56,815,107,20,4,2,2,3,1,5,0,2,0,1,3,1,0,0,56
450910607002,621,325,201,95,0,0,433,18,129,4,5,32,433,125,18,4,0,1,1,3,3,1,0,0,0,0,0,0,0,32
450910607003,601,307,238,56,0,0,383,25,150,3,3,37,383,148,25,2,3,0,1,2,0,0,0,0,0,0,0,0,0,37
450910607004,1612,656,820,136,0,0,1211,50,227,14,16,94,1211,227,47,0,4,6,0,3,1,9,0,0,0,1,2,0,3,94
450910608021,1139,564,442,133,0,0,770,70,207,27,10,55,770,205,70,2,5,1,0,5,2,14,2,0,2,2,0,0,0,55
450910608031,749,503,149,97,0,0,321,69,310,5,11,33,321,304,69,6,0,2,2,2,3,0,2,1,0,3,0,0,0,33
450910608032,546,316,141,89,0,0,280,62,162,10,3,29,280,157,62,5,0,0,1,1,4,3,1,0,0,1,0,0,0,29
450910608033,915,434,385,96,0,0,635,45,162,13,10,50,635,161,45,1,1,1,4,3,2,9,0,0,0,1,0,0,0,50
450910608034,734,389,286,59,0,0,458,42,186,8,2,38,458,185,42,1,3,0,1,1,3,2,0,0,0,0,0,0,0,38
450910608041,1038,647,251,140,0,0,503,105,350,18,9,53,503,340,105,10,9,2,2,2,4,2,2,0,0,3,0,0,0,53
450910608042,998,366,532,100,0,0,748,47,109,23,12,59,748,109,47,0,12,6,0,5,1,9,0,0,0,0,0,0,0,59
450910608043,798,458,224,116,0,0,479,62,205,9,5,38,479,202,60,3,4,1,1,3,0,4,0,0,0,0,0,0,2,38
450910609011,1166,779,229,158,0,0,543,91,456,14,16,46,543,452,91,4,6,3,5,4,3,3,1,0,1,0,0,0,0,46
450910609012,710,568,58,84,0,0,165,62,435,14,10,24,165,429,61,6,12,3,0,1,1,0,0,2,1,0,0,0,1,24
450910609013,911,338,437,136,0,0,689,28,76,27,15,76,689,73,28,3,8,1,3,5,10,6,1,4,2,0,0,1,0,76
450910609041,1653,684,829,140,0,0,1144,70,293,25,21,100,1144,289,67,4,5,5,6,8,7,9,0,0,2,0,1,1,3,100
450910609042,1289,414,756,119,0,0,1033,26,121,16,11,82,1033,115,24,6,0,4,3,3,10,2,0,0,4,0,0,0,2,82
450910609043,751,374,321,56,0,0,466,28,219,3,15,20,466,219,27,0,0,6,1,6,3,0,0,0,0,0,0,2,1,20
450910609044,1550,823,604,123,0,0,918,72,463,13,9,75,918,459,71,4,3,2,0,3,3,5,1,1,1,0,0,3,1,75
450910609081,1168,595,477,96,0,0,706,38,324,5,13,82,706,322,37,2,3,10,1,2,0,1,0,0,1,0,0,0,1,82
450910609082,982,712,166,104,0,0,377,46,517,8,2,32,377,505,46,12,2,0,1,1,1,0,3,0,2,0,0,0,0,32
450910609091,1651,575,973,103,0,0,1302,47,167,12,19,104,1302,166,47,1,2,9,2,2,1,4,5,0,0,1,0,0,0,104
450910609092,1033,493,419,121,0,0,651,60,221,13,23,65,651,220,60,1,1,2,5,4,1,9,1,0,0,9,2,0,0,65
450910609093,1101,534,414,153,0,0,714,53,252,5,8,69,714,250,53,2,3,3,0,3,2,0,0,2,0,0,0,0,0,69
450910609101,927,318,531,78,0,0,724,40,69,22,18,54,724,68,38,1,14,6,7,1,4,2,1,1,0,0,0,0,2,54
450910609102,2477,746,1502,229,0,0,1960,56,211,25,15,210,1960,210,56,1,5,6,1,1,8,9,1,1,1,0,3,1,0,210
450910609111,1308,508,649,151,0,0,982,40,190,4,11,81,982,188,40,2,0,1,2,3,0,4,0,0,0,0,4,0,0,81
450910609112,2009,851,999,159,0,0,1397,85,339,33,24,131,1397,335,85,4,2,6,6,4,11,13,5,3,1,4,0,0,0,131
450910609121,1516,593,789,134,0,0,1107,53,223,23,20,90,1107,220,53,3,3,8,4,3,4,7,4,0,3,2,0,2,0,90
450910609131,951,475,355,121,0,0,618,44,213,14,13,49,618,212,43,1,0,4,2,3,6,4,3,0,0,3,0,0,1,49
450910609132,1026,652,256,118,0,0,502,55,408,9,3,49,502,400,55,8,2,3,0,0,3,4,0,0,0,0,0,0,0,49
450910609133,980,571,245,164,0,0,533,56,307,20,6,58,533,297,56,10,13,2,1,1,1,1,3,1,1,0,0,0,0,58
450910609134,1455,396,980,79,0,0,1196,18,48,55,25,113,1196,48,18,0,17,12,6,5,8,27,0,0,1,0,0,0,0,113
450910610041,2964,1010,1721,233,0,0,2405,116,82,62,36,263,2405,82,116,0,32,12,10,4,14,9,5,3,0,2,2,3,0,263
450910610042,2124,826,1024,274,0,0,1598,107,134,70,43,172,1598,133,105,1,41,8,11,2,16,6,2,9,2,0,4,2,2,172
450910610043,1129,710,233,186,0,0,550,93,420,11,10,45,550,413,92,7,6,4,1,0,2,1,2,1,0,0,0,0,1,45
450910610061,1435,504,819,112,0,0,1089,51,113,62,28,92,1089,113,48,0,23,6,7,2,9,17,2,3,1,0,2,3,3,92
450910610062,1001,377,508,116,0,0,684,38,110,56,27,86,684,107,38,3,38,8,11,4,10,4,1,3,1,0,0,0,0,86
450910610071,914,353,457,104,0,0,643,59,107,24,18,63,643,107,57,0,11,7,4,3,2,8,0,2,0,0,0,0,2,63
450910610072,2053,859,902,292,0,0,1405,127,279,38,33,171,1405,277,126,2,19,14,8,2,7,10,1,0,1,1,2,1,1,171
450910610073,1546,665,662,219,0,0,928,152,185,102,36,143,928,178,152,7,48,15,11,3,13,27,6,1,5,1,0,2,0,143
450910610074,560,256,229,75,0,0,359,82,44,10,16,49,359,44,82,0,1,4,2,2,1,7,0,0,1,1,0,0,0,49
450910610081,1104,332,634,138,0,0,885,37,32,30,16,104,885,32,36,0,22,6,6,2,6,0,1,1,0,0,0,0,1,104
450910610082,2232,848,1056,328,0,0,1415,133,321,108,64,191,1415,311,129,10,60,35,9,6,26,14,1,1,3,0,1,1,4,191
450910610083,2020,634,1230,156,0,0,1591,102,110,33,42,142,1591,107,101,3,20,16,16,4,6,1,0,2,0,0,0,1,1,142
450910610091,2246,829,1202,215,0,0,1847,75,79,41,35,169,1847,77,74,2,20,4,9,1,6,8,5,2,0,1,7,4,1,169
450910610092,1456,571,752,133,0,0,1023,84,129,40,24,156,1023,127,83,2,22,10,3,2,7,3,4,1,0,0,0,0,1,156
450910610093,3003,1032,1640,331,0,0,2231,148,160,121,59,284,2231,160,145,0,70,25,7,2,25,14,8,4,2,3,2,9,3,284
450910610101,833,337,406,90,0,0,671,41,30,8,10,73,671,30,41,0,2,3,4,1,2,1,0,0,3,0,0,0,0,73
450910610102,2046,732,1080,234,0,0,1543,95,117,66,42,183,1543,115,94,2,30,15,12,5,20,11,2,0,2,2,0,3,1,183
450910610111,1343,671,443,229,0,0,837,85,251,31,27,112,837,245,85,6,12,9,7,2,8,2,3,0,3,0,1,1,0,112
450910610112,2785,1235,1127,423,0,0,1791,224,400,100,43,227,1791,392,220,8,58,16,10,3,17,12,3,0,3,0,1,4,4,227
450910610113,1722,636,808,278,0,0,1251,82,164,54,25,146,1251,162,82,2,28,6,6,6,7,7,5,0,2,0,1,2,0,146
450910610121,1861,783,879,199,0,0,1303,117,190,48,38,165,1303,186,115,4,24,12,5,0,13,6,1,2,2,5,4,1,2,165
450910610122,1175,412,667,96,0,0,917,40,65,21,19,113,917,65,37,0,12,4,4,2,2,4,1,0,2,1,1,0,3,113
450910611011,2673,1400,885,388,0,0,1619,132,736,16,31,139,1619,723,131,13,6,11,7,5,3,2,2,0,2,6,0,0,1,139
450910611012,655,249,309,97,0,0,545,26,26,7,11,40,545,24,26,2,1,5,2,4,2,2,0,0,0,0,0,0,0,40
450910611013,520,144,295,81,0,0,445,3,16,3,2,51,445,16,3,0,2,0,2,0,1,0,0,0,0,0,0,0,0,51
450910611031,4401,1646,2378,377,0,0,3126,252,447,88,89,399,3126,438,247,9,43,35,18,12,23,6,8,6,1,2,0,3,5,399
450910611032,1887,808,902,177,0,0,1401,53,236,20,25,152,1401,234,53,2,3,7,9,3,6,6,2,0,3,0,0,1,0,152
450910611041,2017,749,1143,125,0,0,1573,104,115,33,33,159,1573,114,102,1,19,12,4,1,5,5,3,0,0,0,2,6,2,159
450910611042,2730,1001,1425,304,0,0,1961,151,275,69,39,235,1961,272,149,3,44,10,7,10,12,7,0,2,1,0,0,3,2,235
450910612021,1670,523,968,179,0,0,1315,47,144,2,75,87,1315,143,47,1,1,1,5,61,1,0,0,1,0,4,0,2,0,87
450910612022,1052,383,508,161,0,0,808,26,74,2,88,54,808,74,26,0,1,3,0,81,1,0,0,1,0,0,0,0,0,54
450910612031,1295,459,657,179,0,0,1079,35,109,1,9,62,1079,108,35,1,0,2,0,5,1,0,0,2,0,0,0,0,0,62
450910612032,848,277,460,111,0,0,661,10,119,2,13,43,661,117,9,2,1,3,0,6,0,1,0,0,0,0,4,0,1,43
450910612033,948,384,465,99,0,0,693,26,182,1,5,41,693,179,21,3,0,1,0,3,1,0,0,0,0,0,0,0,5,41
450910612034,1094,411,574,109,0,0,788,23,193,17,14,59,788,192,23,1,0,0,2,8,3,7,2,3,0,0,0,0,0,59
450910612041,1328,813,352,163,0,0,640,68,525,18,12,65,640,519,68,6,7,5,0,6,0,7,2,0,0,0,0,0,0,65
450910612042,1542,793,567,182,0,0,927,57,432,29,23,74,927,428,57,4,10,9,4,4,5,10,2,0,1,3,0,3,0,74
450910612051,1177,417,620,140,0,0,895,43,159,10,13,57,895,154,41,5,1,1,4,6,2,6,1,1,0,0,0,0,2,57
450910612052,1446,535,752,159,0,0,1086,47,207,23,23,60,1086,203,47,4,11,9,4,7,3,5,2,0,1,0,0,0,0,60
450910613011,1339,1092,136,111,0,0,356,23,905,5,12,38,356,892,23,13,1,0,2,10,1,0,3,0,0,0,0,0,0,38
450910613012,1445,825,489,131,0,0,774,45,558,5,8,55,774,546,45,12,3,2,0,2,0,1,1,0,0,0,2,0,0,55
450910613013,951,765,130,56,0,0,235,19,676,2,7,12,235,670,19,6,0,4,1,1,1,1,0,0,0,0,1,0,0,12
450910613021,791,285,384,122,0,0,602,18,103,3,9,56,602,103,18,0,0,2,1,6,0,0,3,0,0,0,0,0,0,56
450910613022,1399,603,670,126,0,0,935,46,328,3,14,73,935,323,46,5,0,2,1,11,1,1,0,0,1,0,0,0,0,73
450910613023,1276,710,460,106,0,0,692,25,511,0,11,37,692,502,25,9,0,1,1,7,0,0,0,0,0,1,0,0,0,37
450910614011,922,366,457,99,0,0,685,16,162,1,10,48,685,162,14,0,0,0,0,4,0,0,0,0,1,0,4,0,2,48
450910614012,751,288,326,137,0,0,592,26,90,2,7,34,592,90,26,0,0,1,0,5,0,0,2,0,0,1,0,0,0,34
450910614013,938,318,494,126,0,0,807,22,46,0,14,49,807,45,22,1,0,0,3,7,0,0,0,4,0,0,0,0,0,49
450910614031,2373,967,1204,202,0,0,1665,63,464,21,25,135,1665,456,63,8,5,5,5,7,2,4,3,1,5,2,2,3,0,135
