BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_unk
050574804003,402,108,201,93,0,0,0,0,0,362,5,9,4,1,21,362,9,5,2,0,1,1,0,0,21
050574804004,518,136,292,90,0,0,0,0,0,447,5,13,2,3,48,447,13,5,0,1,0,0,0,1,48
050574805001,279,140,36,103,0,0,0,0,0,110,34,119,2,0,14,110,119,34,0,0,2,0,0,0,14
050574805002,141,65,8,68,0,0,0,0,0,38,8,93,0,0,2,38,93,8,0,0,0,0,0,0,2
050574805003,693,205,256,232,0,0,0,0,0,493,31,116,5,4,44,493,116,31,3,0,0,0,0,1,44
050930101001,135,55,5,75,0,0,0,0,0,14,1,119,0,0,1,14,119,1,0,0,0,0,0,0,1
050930101002,94,40,6,48,0,0,0,0,0,13,4,75,0,0,2,13,75,4,0,0,0,0,0,0,2
050930101003,462,200,105,157,0,0,0,0,0,222,10,209,3,4,14,222,209,10,0,4,3,0,0,0,14
050930102001,335,143,92,100,0,0,0,0,0,253,2,65,1,0,14,253,65,2,1,0,0,0,0,0,14
050930102002,962,383,202,377,0,0,0,0,0,446,16,443,12,6,39,446,442,16,3,5,3,5,0,0,39
050930102003,347,148,37,162,0,0,0,0,0,53,8,281,0,2,3,53,281,8,0,0,0,0,0,0,3
050930102004,245,116,18,111,0,0,0,0,0,24,4,211,0,1,5,24,211,4,0,0,0,0,1,0,5
050930102005,152,51,13,88,0,0,0,0,0,11,0,133,1,0,7,11,133,0,0,0,1,0,0,0,7
050930103001,253,110,25,118,0,0,0,0,0,28,6,212,0,0,7,28,212,6,0,0,0,0,0,0,7
050930103002,472,216,68,188,0,0,0,0,0,164,4,293,2,2,7,164,293,4,0,1,2,0,1,0,7
050930103003,293,141,27,125,0,0,0,0,0,52,4,224,3,3,7,52,224,4,0,3,3,0,0,0,7
050930106011,315,133,64,118,0,0,0,0,0,148,6,147,0,1,13,148,147,6,0,1,0,0,0,0,13
050930106012,439,108,213,118,0,0,0,0,0,415,2,11,3,1,7,415,11,2,1,0,1,0,0,0,7
050930106013,517,170,221,126,0,0,0,0,0,367,7,101,13,2,27,367,101,7,2,2,7,2,0,1,27
050930106014,321,132,82,107,0,0,0,0,0,223,6,71,1,1,19,223,71,6,1,1,0,0,0,0,19
050930106015,270,123,50,97,0,0,0,0,0,97,2,165,0,0,6,97,165,2,0,0,0,0,0,0,6
050930106021,553,295,127,131,0,0,0,0,0,419,12,97,1,3,21,419,97,12,0,3,0,1,0,0,21
050930107001,355,164,124,66,1,0,0,0,0,334,4,2,0,0,15,334,2,4,0,0,0,0,0,0,15
050930107002,368,103,166,99,0,0,0,0,0,328,3,10,3,0,24,328,10,3,3,0,0,0,0,0,24
050930107003,248,106,79,63,0,0,0,0,0,211,6,11,1,3,16,211,11,6,0,0,0,0,0,0,16
050930107004,696,319,267,108,1,1,0,0,0,613,9,18,5,5,46,613,18,9,1,2,2,2,0,0,46
050930108011,339,162,127,50,0,0,0,0,0,292,20,7,1,5,14,292,7,20,1,1,0,0,0,0,14
050930108012,521,255,204,62,0,0,0,0,0,462,31,2,0,0,26,462,2,31,0,0,0,0,0,0,26
050930108013,336,133,148,55,0,0,0,0,0,308,5,1,1,0,21,308,1,5,0,0,0,1,0,0,21
050930108014,296,117,140,38,1,0,0,0,0,251,16,5,1,1,22,251,5,16,0,0,0,1,1,0,22
050930108021,723,332,263,128,0,0,0,0,0,660,26,2,2,3,30,660,2,26,0,1,0,1,2,0,30
050930108022,516,212,231,72,0,1,0,0,0,464,16,6,4,0,26,464,6,16,2,0,1,1,0,0,26
050930108023,392,169,165,58,0,0,0,0,0,351,4,1,3,1,32,351,1,4,1,0,0,0,0,2,32
050930109001,265,106,104,55,0,0,0,0,0,238,13,1,3,0,10,238,1,13,2,0,0,0,0,1,10
050930109002,358,157,40,161,0,0,0,0,0,89,19,237,2,0,11,89,236,19,0,0,1,1,0,0,11
050930109003,221,100,58,63,0,0,0,0,0,167,7,35,3,0,9,167,35,7,2,0,1,0,0,0,9
