BlockGroupID,total_reg,party_dem,party_rep,party_rin,party_lib,party_grn,party_cnt,party_slb,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_21,eth2_14,eth2_34,eth2_61,eth2_12,eth2_32,eth2_38,eth2_unk
210930016024,674,284,333,19,4,0,1,0,0,33,0,620,5,2,7,2,38,620,2,5,0,3,0,1,1,1,0,2,0,0,38
210930016031,1364,559,710,29,4,1,0,0,0,61,0,1201,17,16,21,19,90,1201,15,17,5,7,2,3,5,4,6,2,1,2,90
210930016032,819,278,451,28,1,1,0,0,0,60,0,746,9,3,7,3,51,746,3,9,0,2,0,3,2,0,0,0,0,0,51
210930017011,869,362,430,30,2,2,0,1,0,42,0,765,14,2,10,8,70,765,2,14,2,2,2,4,2,2,0,0,0,0,70
210930017012,1784,723,905,60,3,0,0,0,0,93,0,1577,36,11,20,13,127,1577,11,36,2,9,1,5,3,2,0,1,0,2,127
210930017013,1141,442,591,40,4,0,1,0,0,63,0,1039,14,2,8,8,70,1039,2,14,1,2,0,3,3,3,0,0,0,0,70
210930017021,1356,514,710,35,8,0,1,0,0,88,0,1231,14,4,18,7,82,1231,4,14,2,5,2,3,4,1,0,2,0,0,82
210930017022,718,274,387,18,2,1,0,0,0,36,0,645,13,4,6,8,42,645,4,13,2,1,0,3,2,0,0,0,1,0,42
210930017023,888,350,448,22,6,0,0,0,0,62,0,812,12,2,9,6,47,812,2,12,2,2,2,4,0,1,0,1,1,0,47
210939801001,19,7,7,1,0,0,0,0,0,4,0,13,0,0,1,0,5,13,0,0,0,1,0,0,0,0,0,0,0,0,5
211599501001,543,159,353,14,0,0,0,0,0,17,0,502,4,1,8,0,28,502,1,3,0,6,0,1,1,0,0,0,0,0,28
211599501002,691,174,504,7,0,0,0,0,0,6,0,650,4,3,6,2,26,650,3,4,0,2,0,3,1,0,0,0,0,2,26
211599501003,769,188,557,11,0,1,0,0,0,12,0,721,5,0,14,2,27,721,0,5,0,8,1,2,2,0,0,0,0,2,27
211599502011,1004,165,819,9,0,0,0,0,0,11,0,954,4,2,15,0,29,954,2,4,0,6,0,3,4,0,0,0,0,0,29
211599502012,561,91,450,8,1,0,0,0,0,11,0,524,2,0,11,4,20,524,0,2,0,4,2,0,5,0,0,0,0,0,20
211599502021,815,146,646,12,0,1,0,0,0,10,0,763,6,0,9,3,34,763,0,6,1,4,0,2,3,0,0,0,0,2,34
