BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_34,eth2_10,eth2_30,eth2_unk
300439622022,774,434,137,203,0,0,663,13,0,5,6,87,663,13,0,1,1,0,87
300439622023,706,325,173,208,0,0,587,19,1,1,7,91,587,19,0,1,0,1,91
300439623001,625,384,90,151,0,0,543,11,0,3,10,58,543,11,0,3,0,2,58
300439623002,908,559,177,172,0,0,780,13,0,4,10,101,780,13,0,2,1,2,101
300439623003,492,256,139,97,0,0,428,3,0,1,5,55,428,3,0,4,0,0,55
300439623004,394,219,90,85,0,0,348,5,0,2,7,32,348,5,0,0,0,0,32
300150102001,420,275,75,70,0,0,365,4,0,4,0,47,365,4,0,0,0,0,47
300150102002,983,508,256,219,0,0,842,18,0,1,4,118,842,18,0,0,0,1,118
300150103001,339,169,106,64,0,0,280,2,0,1,1,55,280,2,0,0,0,0,55
300150103002,754,444,154,156,0,0,604,3,0,6,13,128,604,3,0,3,0,0,128
300150103003,445,290,75,80,0,0,360,4,0,1,3,77,360,4,0,0,0,0,77
300150103004,338,48,174,116,0,0,193,20,0,2,46,77,193,20,44,0,2,0,77
300990001001,419,263,74,82,0,0,381,1,0,1,3,33,381,1,1,2,0,0,33
300990001002,767,454,160,153,0,0,619,17,0,3,5,123,619,17,1,4,0,0,123
300990002001,393,249,55,89,0,0,347,2,0,3,0,41,347,2,0,0,0,0,41
300990002002,771,435,164,172,0,0,681,11,0,5,3,71,681,11,0,0,2,2,71
300990003001,738,381,217,140,0,0,625,8,0,0,0,105,625,8,0,0,0,0,105
300990003002,772,398,206,168,0,0,638,8,1,1,11,113,638,8,0,9,0,1,113
300619645001,998,507,306,185,0,0,848,18,1,10,10,111,848,18,0,4,1,3,111
300619645002,596,294,195,107,0,0,503,13,0,3,7,70,503,13,0,0,0,3,70
300619646001,570,325,137,108,0,0,499,7,0,4,5,55,499,7,1,4,2,0,55
300619646002,537,255,209,73,0,0,464,8,0,3,1,61,464,7,0,0,0,0,61
300619646003,334,145,145,44,0,0,287,8,0,0,4,35,287,8,0,1,0,0,35
300230003001,510,108,300,102,0,0,422,6,0,3,8,71,422,6,0,0,1,4,71
300230003002,489,79,298,112,0,0,396,14,0,3,8,68,396,14,1,0,1,0,68
300230003003,480,66,303,111,0,0,396,9,0,2,11,62,396,9,0,3,2,0,62
300230004001,751,193,295,263,0,0,599,10,0,8,17,117,599,10,0,3,3,2,117
300230004002,558,144,260,154,0,0,452,9,2,3,18,74,452,9,0,7,1,1,74
300230004003,414,64,261,89,0,0,343,12,0,1,12,46,343,10,0,3,0,3,46
300230004004,460,106,241,113,0,0,382,12,0,4,12,50,382,12,0,2,2,0,50
300230005001,327,111,152,64,0,0,291,5,0,0,7,24,291,5,0,1,0,0,24
300230005002,532,152,227,153,0,0,453,5,0,3,10,61,453,5,0,3,0,2,61
300230005003,341,89,173,79,0,0,278,6,0,1,5,51,278,6,0,4,0,0,51
300230005004,501,98,263,140,0,0,416,13,0,2,14,56,416,13,0,2,2,0,56
300190203001,393,258,79,56,0,0,309,6,0,2,2,74,309,6,0,0,0,0,74
300190203002,619,326,162,131,0,0,495,9,0,8,10,97,495,9,0,0,4,4,97
300310001011,1690,753,332,605,0,0,1424,17,0,18,25,206,1424,17,0,10,10,4,206
300310001012,856,510,117,229,0,0,752,14,0,5,7,78,752,14,0,2,1,1,78
300310001013,1124,438,444,242,0,0,934,30,0,8,17,135,934,28,2,7,2,4,135
300310001014,957,406,344,207,0,0,818,22,0,3,12,102,818,18,0,7,2,2,102
300310001041,545,188,229,128,0,0,441,17,0,3,3,81,441,16,0,0,0,2,81
300310001042,2133,508,1160,465,0,0,1735,54,0,13,18,313,1735,46,2,6,3,2,313
300310001051,694,206,348,140,0,0,580,11,1,6,9,87,580,11,0,1,5,3,87
300310001052,1227,403,511,313,0,0,1024,32,2,10,12,147,1024,32,0,5,2,0,147
300310001053,825,256,357,212,0,0,677,35,0,8,10,95,677,35,0,4,2,0,95
300310002011,840,247,422,171,0,0,712,34,1,11,10,72,712,34,0,5,9,1,72
300310002012,1725,731,596,398,0,0,1484,31,0,8,13,189,1484,29,0,3,2,2,189
300310002013,919,263,446,210,0,0,743,21,1,8,9,137,743,21,0,4,2,2,137
300310002021,3731,1471,1454,806,0,0,3122,74,2,33,46,454,3122,73,3,15,13,3,454
300310003001,947,389,369,189,0,0,782,26,0,3,15,121,782,26,1,6,1,2,121
300310003002,456,164,189,103,0,0,382,11,0,8,3,52,382,11,0,1,2,2,52
300310003003,866,331,407,128,0,0,696,15,1,5,15,134,696,15,0,6,1,6,134
300310004001,1523,772,429,322,0,0,1273,17,0,25,16,192,1273,17,0,2,2,8,192
300310004002,792,405,246,141,0,0,675,10,0,4,6,97,675,10,0,4,3,1,97
300310004003,744,287,303,154,0,0,613,31,1,7,7,85,613,23,1,5,2,0,85
300310004004,709,317,247,145,0,0,597,13,0,4,6,89,597,13,0,2,0,2,89
300310005021,1935,661,614,660,0,0,1650,27,1,19,23,215,1650,27,2,11,5,4,215
300310005022,1648,773,422,453,0,0,1393,31,5,18,13,188,1393,31,0,1,8,2,188
300310005023,1320,545,254,521,0,0,1085,30,0,8,12,185,1085,29,1,3,2,0,185
300310005024,1251,532,82,637,0,0,1038,13,0,17,29,154,1038,13,0,8,7,4,154
300310005041,1261,630,131,500,0,0,1038,19,0,12,11,181,1038,18,0,1,4,4,181
300310005042,790,391,100,299,0,0,662,8,0,10,11,99,662,8,1,1,3,1,99
300310005051,1098,285,478,335,0,0,907,15,1,19,18,138,907,14,0,7,8,2,138
300310005052,3255,766,1514,975,0,0,2631,87,0,35,55,447,2631,86,2,11,8,16,447
300310005053,1181,238,597,346,0,0,949,34,1,12,19,166,949,34,2,1,4,4,166
300310005061,1277,249,596,432,0,0,1018,52,0,23,17,167,1018,52,0,4,7,5,167
300310005062,1625,544,654,427,0,0,1304,33,0,31,23,234,1304,33,2,3,16,10,234
300310005063,1384,477,591,316,0,0,1134,35,3,10,15,187,1134,34,0,6,4,3,187
300310005071,1266,368,523,375,0,0,1043,33,3,19,6,162,1043,33,0,2,9,2,162
300310005072,1260,225,681,354,0,0,1017,30,0,17,25,171,1017,28,0,11,10,3,171
300310006001,686,87,383,216,0,0,540,28,0,9,13,96,540,28,1,5,6,2,96
300310006002,1098,188,627,283,0,0,881,39,0,10,12,156,881,39,0,5,2,3,156
300310007011,662,130,249,283,0,0,543,16,1,10,8,84,543,16,0,4,3,0,84
300310007012,697,148,331,218,0,0,560,21,4,12,9,91,560,21,0,1,3,5,91
300310007013,419,76,209,134,0,0,343,12,1,7,7,49,343,12,0,2,4,2,49
300310007014,685,78,378,229,0,0,560,16,1,8,13,87,560,16,0,2,3,3,87
300310007031,847,170,426,251,0,0,690,26,0,9,11,111,690,26,0,4,3,4,111
300310007032,508,90,285,133,0,0,413,18,3,5,8,61,413,18,1,1,4,0,61
300310007041,1061,358,409,294,0,0,880,28,0,7,20,126,880,26,1,6,5,6,126
300310007042,570,189,228,153,0,0,475,15,0,3,6,71,475,15,0,1,1,2,71
300310007043,1250,168,689,393,0,0,991,42,0,9,25,183,991,42,3,5,4,3,183
300310008001,737,263,203,271,0,0,614,20,1,5,6,91,614,19,0,2,1,1,91
300310008002,515,86,213,216,0,0,428,11,0,6,7,63,428,11,1,2,2,2,63
300310008003,547,175,100,272,0,0,446,6,0,12,11,72,446,6,0,4,5,2,72
300310009001,1604,98,1017,489,0,0,1298,43,0,24,23,216,1298,42,1,7,5,6,216
300310009002,911,58,586,267,0,0,710,40,1,10,20,130,710,40,0,9,2,3,130
300310009003,621,29,419,173,0,0,495,31,1,8,7,79,495,29,1,2,4,1,79
300310010011,1297,555,147,595,0,0,1069,18,1,14,21,174,1069,18,1,5,8,3,174
300310010012,1436,621,102,713,0,0,1242,31,0,12,20,131,1242,27,0,8,8,3,131
300310010021,1035,211,429,395,0,0,860,20,0,9,13,133,860,20,0,5,2,2,133
300310010022,1731,369,717,645,0,0,1411,53,0,20,31,216,1411,53,1,11,8,7,216
300310010023,737,348,93,296,0,0,623,12,0,4,4,94,623,12,0,2,2,1,94
300310010024,1253,327,404,522,0,0,1048,24,0,15,11,155,1048,24,0,5,4,4,155
300310011011,307,0,201,106,0,0,222,13,0,5,7,60,222,13,4,2,1,0,60
300310011012,359,13,211,135,0,0,285,10,0,5,9,50,285,10,2,1,3,2,50
300310011013,208,20,127,61,0,0,154,5,0,2,1,46,154,5,0,1,0,0,46
300310011021,1694,474,678,542,0,0,1374,48,0,22,14,236,1374,48,0,3,10,2,236
300310011022,901,85,326,490,0,0,739,28,0,11,15,108,739,27,0,5,1,5,108
300310012001,507,221,147,139,0,0,431,7,0,1,2,66,431,6,0,0,0,0,66
300310012002,1450,506,592,352,0,0,1205,31,1,14,28,171,1205,31,1,2,0,11,171
300310012003,1621,674,518,429,0,0,1367,40,8,6,14,186,1367,38,1,4,2,3,186
300310012004,590,276,167,147,0,0,493,8,1,3,11,74,493,8,0,0,0,0,74
300310015001,580,216,262,102,0,0,476,18,2,4,4,76,476,18,0,1,1,1,76
300310015002,195,53,103,39,0,0,151,19,0,1,4,20,151,19,0,3,0,1,20
300310015003,312,156,97,59,0,0,256,18,0,3,6,29,256,18,0,3,0,1,29
300310016001,474,132,222,120,0,0,399,15,0,4,5,51,399,15,0,2,3,1,51
300310016002,567,125,314,128,0,0,464,16,4,5,7,71,464,16,0,5,2,1,71
