BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_mnt,party_ain,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_34,eth2_23,eth2_10,eth2_unk
540759602011,608,220,195,162,20,10,1,0,0,0,0,541,3,2,1,7,54,541,2,3,2,4,0,1,54
540759602012,1028,349,394,269,9,2,1,0,1,3,0,934,10,0,3,2,79,934,0,10,1,0,0,2,79
540759602021,492,163,198,129,1,0,1,0,0,0,0,437,5,0,3,4,43,437,0,5,0,2,3,0,43
540759602022,549,177,192,167,2,7,4,0,0,0,0,492,10,4,0,6,37,492,4,8,3,1,0,0,37
540759603001,433,148,167,112,3,0,3,0,0,0,0,397,7,0,0,0,29,397,0,7,0,0,0,0,29
540759603002,886,331,314,226,5,6,3,0,0,1,0,834,5,0,2,2,43,834,0,5,2,0,0,2,43
540659707011,2018,360,999,599,39,10,8,0,3,0,0,1732,27,0,10,12,237,1732,0,27,2,2,0,5,237
540659707012,1232,192,681,323,25,6,4,0,0,1,0,1023,18,2,10,18,161,1023,2,18,4,5,0,3,161
540659707021,1119,180,573,329,19,10,5,0,1,2,0,960,18,0,3,6,132,960,0,18,1,0,0,2,132
540659707022,351,65,170,108,5,3,0,0,0,0,0,313,5,1,6,2,24,313,1,5,0,1,0,5,24
540659708001,743,117,384,226,11,4,0,0,1,0,0,652,6,0,2,5,78,652,0,6,4,0,0,2,78
540659708002,573,113,251,188,15,1,5,0,0,0,0,505,8,0,4,0,56,505,0,8,0,0,0,3,56
540659708003,515,115,189,187,18,3,2,0,0,1,0,429,12,0,6,3,65,429,0,12,1,0,6,0,65
540659708004,510,111,227,154,12,3,2,0,0,1,0,427,10,2,3,4,64,427,2,10,3,0,0,0,64
540659709001,438,99,191,131,7,6,4,0,0,0,0,381,11,0,1,2,43,381,0,11,0,2,0,1,43
540659709002,829,130,433,236,16,10,4,0,0,0,0,735,11,0,5,6,72,735,0,11,1,3,2,1,72
540659709003,511,120,208,166,6,3,8,0,0,0,0,436,8,21,5,1,40,436,21,8,1,0,0,1,40
540659710011,1023,205,487,292,22,12,5,0,0,0,0,902,17,0,4,6,94,902,0,17,0,3,0,2,94
540659710012,480,75,220,169,13,3,0,0,0,0,0,417,7,0,0,2,54,417,0,7,2,0,0,0,54
540659710013,579,77,285,203,10,3,1,0,0,0,0,517,6,2,3,4,47,517,2,6,3,1,1,1,47
540659710021,991,182,488,302,11,5,3,0,0,0,0,847,14,2,8,9,111,847,2,14,0,6,2,4,111
540659710022,510,100,228,167,8,3,2,0,1,1,0,424,5,0,1,2,78,424,0,5,1,0,0,0,78
540979666001,827,165,437,213,4,5,3,0,0,0,0,742,4,0,5,6,70,742,0,4,2,3,1,3,70
540979666002,730,149,419,150,6,6,0,0,0,0,0,658,4,1,9,1,57,658,1,4,0,0,0,6,57
540979666003,827,186,450,182,3,5,1,0,0,0,0,762,10,0,2,10,43,762,0,9,8,1,0,1,43
540979667001,970,284,411,263,5,7,0,0,0,0,0,866,8,1,1,9,85,866,1,8,3,1,0,0,85
540979667002,1206,301,595,293,10,7,0,0,0,0,0,1053,17,2,6,15,113,1053,2,15,2,4,0,3,113
540979668001,941,206,499,221,4,10,1,0,0,0,0,868,12,0,3,2,56,868,0,10,1,0,0,2,56
540979668002,434,119,198,111,4,2,0,0,0,0,0,385,7,1,2,2,37,385,1,7,1,1,0,0,37
540979668003,872,185,484,194,3,5,1,0,0,0,0,794,9,0,3,6,60,794,0,9,2,2,0,2,60
540979669001,614,184,303,120,2,3,2,0,0,0,0,544,11,0,2,6,51,544,0,11,4,0,0,2,51
540979669002,379,109,176,90,1,3,0,0,0,0,0,340,5,0,0,1,33,340,0,5,1,0,0,0,33
