BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_cnt,party_grn,party_rin,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_30,eth2_12,eth2_14,eth2_21,eth2_23,eth2_34,eth2_83,eth2_93,eth2_35,eth2_81,eth2_61,eth2_unk
490351114006,502,101,186,194,9,8,1,1,0,2,0,350,63,3,22,14,50,350,63,8,5,4,5,4,1,4,0,2,1,1,1,50
490351115001,544,113,231,165,19,9,3,2,0,2,0,352,82,2,12,32,64,352,81,6,17,1,1,0,4,2,1,2,1,0,3,64
490351116011,469,127,153,164,14,6,3,0,2,0,0,334,45,7,24,16,43,334,45,11,6,6,0,5,1,4,0,7,0,1,2,43
490351116012,553,115,203,186,32,7,3,1,0,6,0,375,60,2,12,35,69,375,60,4,23,1,1,2,1,3,0,2,2,0,1,69
490351116021,340,72,122,115,20,7,2,0,0,2,0,209,66,6,12,14,33,209,66,5,8,0,2,5,0,2,2,5,0,0,0,33
490351116022,411,92,152,130,28,4,1,1,2,1,0,277,53,7,18,17,39,277,51,9,4,1,3,3,2,0,0,7,0,2,5,39
490351116023,240,56,102,64,9,3,1,0,1,4,0,163,42,1,4,12,18,163,42,1,4,0,1,1,0,1,1,1,0,1,5,18
490351117011,270,67,95,83,16,6,2,0,0,1,0,188,33,1,8,12,28,188,33,3,6,0,0,2,3,0,0,1,0,0,3,28
490351117012,867,201,333,284,23,12,6,3,1,4,0,558,106,12,61,50,80,558,106,10,11,4,4,2,36,6,4,12,1,1,19,80
490351117013,387,81,155,128,17,3,0,0,0,3,0,231,71,7,22,22,34,231,69,10,11,0,1,2,9,3,1,7,0,0,1,34
490351117021,627,197,195,192,27,7,3,1,2,3,0,469,42,0,33,34,49,469,42,8,13,1,5,5,12,4,0,0,0,0,11,49
490351117022,240,64,87,68,13,6,0,0,0,2,0,161,48,2,4,11,14,161,47,0,7,0,0,1,3,0,1,2,1,0,1,14
490351117023,577,145,204,199,23,4,0,1,0,1,0,428,42,5,24,29,49,428,42,6,8,3,0,10,5,4,4,5,0,0,3,49
490351117024,315,70,124,109,8,2,0,1,0,1,0,195,53,2,8,23,34,195,53,2,5,0,1,0,2,4,1,2,1,1,5,34
490351118011,770,250,236,248,26,6,1,2,1,0,0,617,40,1,17,24,71,617,38,2,11,11,3,0,0,3,0,1,3,0,0,71
490351118012,733,210,275,209,26,6,2,2,0,3,0,552,53,2,26,25,75,552,52,2,17,9,2,1,11,0,1,2,1,0,3,75
490351118013,329,79,106,126,12,3,1,0,0,2,0,223,37,3,10,11,45,223,37,4,2,4,1,0,1,3,0,3,1,0,0,45
490351118014,540,147,190,170,22,6,2,1,1,1,0,427,38,1,13,16,45,427,38,1,7,8,1,2,0,4,3,1,0,0,1,45
490351118021,577,122,219,199,27,7,2,1,0,0,0,447,37,3,17,15,58,447,36,5,3,4,4,0,3,2,2,3,0,0,3,58
490351118022,641,166,211,219,24,9,2,1,2,7,0,508,25,4,26,14,64,508,25,7,3,6,6,3,4,5,0,4,1,0,1,64
490351119031,700,188,252,221,18,11,3,0,4,3,0,526,36,1,43,31,63,526,36,14,14,2,3,5,18,8,2,1,0,0,0,63
490351119032,484,188,153,125,9,3,4,0,0,2,0,389,33,1,16,5,40,389,33,7,4,3,1,4,0,0,0,1,0,0,0,40
490351119033,683,205,239,210,17,8,3,1,0,0,0,512,62,2,18,21,68,512,60,6,10,5,3,1,3,2,1,2,3,0,1,68
490351119041,408,129,144,115,12,8,0,0,0,0,0,297,34,2,19,27,29,297,34,7,11,3,5,2,1,2,0,2,0,0,10,29
490351119042,678,249,222,172,23,5,4,0,0,3,0,543,33,1,17,22,62,543,33,5,6,2,3,1,3,3,2,1,3,0,3,62
490351119043,509,149,183,141,23,5,0,4,2,2,0,389,37,4,15,11,53,389,37,10,3,1,1,0,1,6,0,4,0,0,0,53
490351119051,655,203,235,178,27,6,2,1,0,3,0,502,50,5,18,32,48,502,50,4,12,6,3,1,1,1,10,5,5,0,2,48
490351119052,447,108,152,158,22,1,2,0,3,1,0,356,29,1,9,12,40,356,29,5,6,4,0,0,0,2,1,1,0,1,0,40
490351119053,467,148,154,133,20,7,0,3,2,0,0,361,37,5,16,12,36,361,37,6,3,7,1,0,1,0,0,5,0,1,0,36
490351119061,967,243,334,316,44,18,4,0,2,6,0,620,128,11,31,63,114,620,127,4,21,4,4,0,13,11,2,11,3,1,6,114
490351119062,589,135,222,183,30,11,1,2,2,3,0,396,81,9,17,28,58,396,81,6,9,0,3,2,4,0,3,9,3,1,3,58
490351120011,718,290,218,168,27,4,4,2,2,3,0,580,50,0,23,7,58,580,50,8,1,9,4,1,1,0,0,0,0,0,2,58
490351120012,593,220,166,169,17,12,2,1,1,5,0,482,36,2,13,7,53,482,36,1,1,5,5,0,2,2,0,2,1,3,0,53
490351120013,330,112,112,86,13,5,0,0,0,2,0,251,38,4,6,6,25,251,38,3,5,0,0,0,2,1,0,4,0,0,0,25
490351120021,1229,415,427,328,41,10,4,3,0,1,0,898,102,8,35,49,137,898,102,7,30,17,2,5,2,5,3,7,3,0,0,137
