BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_con,party_grn,party_lbl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_34,eth2_14,eth2_21,eth2_unk
100010418022,1620,1065,234,293,19,1,0,1,2,5,0,576,86,820,25,27,86,576,818,86,12,15,6,3,3,2,86
100010418023,875,317,322,216,12,4,0,0,0,4,0,631,33,94,19,10,88,631,93,33,7,1,8,2,2,2,88
100010418031,1638,881,354,359,27,5,2,0,3,7,0,782,117,612,20,18,89,782,612,117,6,7,10,4,2,1,89
100010418032,1476,631,462,356,17,3,3,0,0,4,0,1030,81,186,15,10,154,1030,186,79,6,4,8,3,0,0,154
100010418041,1921,1062,408,406,23,4,4,4,5,5,0,963,106,638,48,29,137,963,638,104,19,19,21,4,6,1,137
100010418042,2012,697,738,524,39,9,2,1,1,1,0,1509,82,213,16,28,164,1509,213,80,5,10,6,6,2,1,164
100010418043,754,301,262,176,6,3,0,2,0,4,0,516,32,132,12,12,50,516,130,29,5,3,1,0,0,5,50
100010419001,1598,413,724,429,16,5,2,2,0,7,0,1348,57,34,8,10,141,1348,34,55,1,2,3,1,1,1,141
100010419002,878,284,313,256,14,5,1,1,1,3,0,733,26,38,4,10,67,733,38,26,1,4,1,6,0,1,67
100010419003,969,232,436,279,15,0,3,0,0,4,0,843,33,17,5,5,66,843,17,32,0,3,2,0,3,0,66
100010420001,848,227,389,215,6,2,3,1,0,5,0,735,16,18,6,4,69,735,18,16,4,2,1,0,0,1,69
100010420002,1229,329,552,324,13,3,1,1,0,6,0,1028,39,48,8,15,91,1028,47,39,1,7,1,5,3,0,91
100010421001,1141,404,394,320,18,1,2,0,1,1,0,872,58,102,2,8,99,872,102,57,0,3,1,2,1,0,99
100010421002,1776,564,705,454,36,6,1,0,3,7,0,1314,70,164,29,18,181,1314,164,70,6,2,11,1,7,3,181
100010422031,996,377,365,229,15,4,2,1,2,1,0,698,65,156,6,5,66,698,156,65,2,2,2,2,0,1,66
100010422032,1397,543,485,338,22,3,1,2,1,2,0,978,48,161,22,61,127,978,161,46,9,36,7,12,4,2,127
100010422033,1375,636,340,364,17,7,0,3,2,6,0,756,100,366,55,27,71,756,366,97,33,7,9,5,6,2,71
100010422041,1384,688,356,316,17,4,0,1,2,0,0,829,110,304,20,33,88,829,303,110,4,17,4,1,5,5,88
100010422042,2037,741,717,518,34,10,2,1,6,8,0,1429,105,281,46,26,150,1429,278,101,20,9,12,3,4,3,150
100010422051,895,351,295,232,12,1,0,1,0,3,0,520,83,215,7,12,58,520,213,83,2,5,2,3,2,0,58
100010422052,1150,535,323,270,13,3,0,0,2,4,0,700,54,287,9,9,91,700,285,54,0,3,5,2,2,0,91
100010422061,914,372,318,201,16,3,2,0,1,1,0,628,36,147,12,13,78,628,147,36,1,3,5,3,4,0,78
100010422062,1198,318,518,334,20,0,4,1,0,3,0,967,48,53,12,10,108,967,53,46,1,2,2,4,5,3,108
100010422071,1876,685,659,489,31,5,2,0,2,3,0,1348,92,253,22,26,135,1348,252,92,3,4,12,13,4,1,135
100010422081,1306,572,366,336,20,4,2,1,1,4,0,808,124,268,6,17,83,808,267,124,5,1,0,7,0,1,83
100010422082,1600,566,590,410,25,5,0,2,0,2,0,1190,84,167,18,25,116,1190,167,83,3,9,5,11,2,2,116
100010425001,1361,544,478,310,19,5,2,0,1,2,0,942,121,176,18,15,89,942,176,120,9,3,5,3,0,2,89
100010425002,409,205,91,101,6,1,0,1,2,2,0,193,39,147,4,6,20,193,147,39,1,1,2,3,0,0,20
100010425003,578,368,70,128,6,2,1,0,0,3,0,116,52,373,7,6,24,116,373,52,4,2,2,1,0,1,24
100010428011,1432,341,647,414,17,8,2,1,0,2,0,1243,33,27,3,5,121,1243,27,32,0,0,1,5,0,1,121
100010428021,1644,673,528,414,19,3,2,0,2,3,0,1124,73,303,22,29,93,1124,302,73,4,13,7,2,4,4,93
100010428022,1996,681,810,469,21,6,3,3,0,3,0,1510,86,224,16,21,139,1510,220,85,2,2,8,7,1,3,139
100010428023,553,179,237,128,5,4,0,0,0,0,0,413,17,61,9,12,41,413,61,17,4,1,3,0,2,0,41
100010429001,1652,503,685,418,31,2,2,3,2,6,0,1227,74,205,16,21,109,1227,205,73,2,7,9,2,1,3,109
100010429002,2269,612,1020,578,41,7,1,2,3,5,0,1779,108,169,14,18,181,1779,169,106,1,4,4,2,2,4,181
100010430001,1222,541,322,329,16,2,0,3,1,8,0,794,69,244,10,15,90,794,244,69,1,2,3,2,3,0,90
100010430002,1385,495,511,346,16,2,5,2,1,7,0,987,79,199,10,16,94,987,197,79,4,9,0,4,1,3,94
100010430003,1057,350,413,268,16,3,3,1,0,3,0,834,43,87,11,0,82,834,87,43,3,0,8,0,0,0,82
