BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_23,eth2_10,eth2_30,eth2_21,eth2_34,eth2_14,eth2_12,eth2_35,eth2_32,eth2_61,eth2_66,eth2_55,eth2_29,eth2_85,eth2_15,eth2_33,eth2_38,eth2_26,eth2_59,eth2_19,eth2_unk
370510033124,705,363,240,97,4,0,1,0,0,174,77,413,16,12,13,174,360,77,53,7,4,4,1,2,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13
370510033131,2219,1191,714,288,21,4,1,0,0,428,270,1379,29,37,76,428,1193,269,186,15,2,12,9,9,3,4,1,0,0,0,1,0,0,5,1,0,0,0,0,0,76
370510033132,1713,1045,530,129,8,1,0,0,0,212,145,1284,14,20,38,212,1126,145,158,9,4,2,5,2,3,2,3,0,1,0,0,0,0,0,0,2,0,1,0,0,38
370510033141,1272,703,379,178,10,0,2,0,0,298,145,775,9,22,23,298,665,145,110,11,2,2,5,0,2,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,23
370510033142,1192,675,356,150,8,3,0,0,0,223,143,781,11,13,21,223,672,143,109,7,1,3,2,0,0,5,0,0,0,2,0,0,0,1,0,0,0,2,0,0,21
370510033143,1650,891,539,206,11,1,2,0,0,338,182,1036,27,20,47,338,903,182,133,7,1,13,4,2,2,8,0,2,0,0,0,0,0,2,1,0,0,0,0,2,47
370510033151,582,267,204,100,10,0,1,0,0,149,68,323,10,13,19,149,268,68,55,5,0,2,6,0,2,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,19
370510033152,990,424,349,204,10,2,1,0,0,305,134,475,39,11,26,305,424,133,51,8,0,11,0,2,0,14,8,0,0,0,1,0,0,2,2,0,0,1,0,1,26
370510033153,589,408,136,42,2,1,0,0,0,64,42,473,4,2,4,64,415,42,58,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
370510033161,421,225,137,57,2,0,0,0,0,91,47,244,20,8,11,91,206,47,38,3,0,9,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11
370510033162,753,306,290,146,7,2,2,0,0,283,109,300,21,14,26,283,256,108,44,4,1,3,2,5,2,8,2,2,0,1,1,0,0,0,0,2,0,2,0,0,26
370510033171,1036,444,338,244,8,0,2,0,0,416,88,455,28,14,35,416,410,87,45,1,1,7,8,3,2,9,7,0,0,0,1,1,0,0,1,0,1,0,1,0,35
370510033172,1074,462,359,236,15,1,1,0,0,397,107,477,43,16,34,397,416,106,61,5,3,10,5,14,1,10,3,1,0,1,1,0,0,2,0,0,0,0,0,2,34
370510033181,638,265,226,140,6,1,0,0,0,222,71,256,32,15,42,222,229,71,27,4,1,9,4,9,2,12,1,0,1,0,0,1,0,3,0,0,0,0,0,0,42
370510033182,588,305,216,63,4,0,0,0,0,136,80,337,15,8,12,136,283,80,54,4,1,5,2,0,0,6,2,0,0,0,0,0,1,1,0,0,0,0,0,1,12
370510034011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370510034012,152,44,66,38,3,1,0,0,0,54,34,48,4,4,8,54,41,34,7,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8
370510034013,149,34,69,42,3,0,1,0,0,77,33,21,3,2,13,77,19,33,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
370510034031,147,51,63,30,3,0,0,0,0,59,37,35,1,6,9,59,31,37,4,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,9
