BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_34,eth2_23,eth2_15,eth2_14,eth2_12,eth2_61,eth2_55,eth2_38,eth2_35,eth2_59,eth2_81,eth2_32,eth2_85,eth2_33,eth2_19,eth2_29,eth2_13,eth2_18,eth2_66,eth2_unk
271739701003,371,80,123,168,0,0,289,9,1,4,6,62,289,9,1,2,0,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,62
271739701004,439,228,94,117,0,0,379,4,0,4,3,49,379,4,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,49
271739701005,378,154,103,121,0,0,315,10,0,4,10,39,315,9,0,4,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,39
271739702001,591,177,189,225,0,0,463,3,0,9,8,108,463,3,0,0,2,0,3,0,0,7,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,108
271739702002,458,116,158,184,0,0,383,4,0,3,2,66,383,4,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66
271739702003,492,262,108,122,0,0,411,4,0,10,1,66,411,4,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,66
271739703001,477,259,96,122,0,0,369,2,0,3,0,103,369,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
271739703002,459,211,123,125,0,0,347,7,0,2,4,99,347,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,99
271739703003,460,106,158,196,0,0,401,14,0,1,0,44,401,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
271739704001,348,141,91,116,0,0,272,18,0,1,0,57,272,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57
271739704002,458,176,113,169,0,0,355,3,0,0,10,90,355,3,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,90
271739704003,375,142,130,103,0,0,312,3,0,0,5,55,312,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
270799501011,1052,448,181,423,0,0,815,4,0,18,14,201,815,4,0,1,5,1,10,5,0,1,4,2,0,0,0,0,1,0,0,0,0,0,2,0,0,201
270799501012,1212,522,205,485,0,0,945,13,1,15,31,207,945,13,1,5,4,2,16,5,1,2,0,0,5,2,2,1,0,0,0,0,0,0,1,0,0,207
270799501021,1315,617,267,431,0,0,958,36,3,6,32,280,958,36,3,4,1,0,24,2,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,280
270799501022,580,300,75,205,0,0,480,5,0,4,10,81,480,5,0,0,1,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
270799501023,724,408,121,195,0,0,607,15,1,3,7,91,607,15,1,1,1,0,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,91
270799502001,447,144,135,168,0,0,346,31,2,1,4,63,346,31,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
270799502002,723,189,229,305,0,0,550,50,1,3,8,111,550,50,1,0,2,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,111
270799502003,638,161,206,271,0,0,534,23,2,6,6,67,534,23,2,0,1,1,0,1,0,2,0,0,1,0,2,0,3,0,0,0,0,0,1,0,0,67
270799502004,910,420,158,332,0,0,724,24,0,0,19,143,724,23,0,2,0,0,6,0,0,0,0,2,0,4,0,0,2,1,0,1,0,1,0,0,1,143
270799503001,949,448,226,275,0,0,751,12,0,9,27,150,751,12,0,0,5,2,26,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,150
270799503002,782,169,268,345,0,0,587,15,2,6,15,157,587,15,2,0,2,0,12,2,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,157
270799503003,1214,339,427,448,0,0,907,57,2,15,28,205,907,57,2,2,5,0,22,6,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,205
270799504001,869,326,211,332,0,0,697,7,0,9,15,141,697,7,0,5,7,1,5,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,141
270799504002,766,267,192,307,0,0,632,14,0,0,2,118,632,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
270799504003,460,216,61,183,0,0,373,5,0,0,0,82,373,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
270799504004,456,130,148,178,0,0,372,5,0,0,4,75,372,5,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,75
270799505001,646,212,231,203,0,0,498,60,0,3,19,66,498,60,0,0,2,0,16,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,66
