BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_66,eth2_93,eth2_35,eth2_21,eth2_14,eth2_12,eth2_unk
330151002001,1038,374,361,303,0,0,810,74,2,21,43,88,810,72,24,4,10,2,2,2,8,2,2,3,88
330151002002,1054,352,317,385,0,0,855,54,0,30,30,85,855,48,13,16,6,10,6,0,4,4,2,2,85
330151002003,1001,366,296,339,0,0,785,61,0,20,47,88,785,57,30,6,1,3,4,0,10,4,3,5,88
330151002004,1504,571,462,471,0,0,1185,94,6,30,41,148,1185,82,12,15,5,5,12,6,14,3,0,5,148
330151003011,1673,635,460,578,0,0,1286,99,2,30,80,176,1286,96,40,11,13,5,3,2,23,4,1,1,176
330151003012,443,196,121,126,0,0,357,24,2,12,17,31,357,22,8,5,2,1,2,2,5,2,2,0,31
330151003013,1147,436,301,410,0,0,950,45,0,26,29,97,950,36,11,9,9,2,9,0,6,1,4,1,97
330151003021,1037,411,369,257,0,0,696,187,5,21,42,86,696,181,22,11,3,5,6,5,6,3,3,0,86
330151003022,1773,624,502,647,0,0,1349,90,4,68,102,160,1349,81,44,23,20,12,9,4,40,14,1,1,160
330151004011,853,334,239,280,0,0,668,32,0,15,31,107,668,31,12,4,4,9,1,0,4,5,2,0,107
330151004012,1243,541,343,359,0,0,925,126,3,27,49,113,925,123,31,18,4,0,3,3,13,2,1,1,113
330151004013,1265,485,352,428,0,0,1031,46,6,19,40,123,1031,42,23,8,1,6,4,6,5,3,3,3,123
330151004021,1907,733,494,680,0,0,1507,96,1,21,81,201,1507,85,56,10,1,12,11,1,5,4,4,2,201
330151004022,740,268,198,274,0,0,579,36,0,19,25,81,579,32,22,4,9,1,4,0,1,3,0,3,81
330151011011,942,376,261,305,0,0,799,26,0,10,22,85,799,25,5,4,0,8,1,0,7,0,0,0,85
330151011012,1945,737,502,706,0,0,1678,61,2,15,19,170,1678,54,7,7,4,2,7,2,5,1,1,0,170
330151011013,792,266,229,297,0,0,696,21,1,1,10,63,696,19,0,0,0,3,2,1,2,0,1,0,63
330151011021,506,188,116,202,0,0,418,23,0,4,8,53,418,20,0,0,1,4,3,0,3,0,0,2,53
330151011022,1466,549,417,500,0,0,1239,53,2,10,31,131,1239,49,12,4,1,3,4,2,4,1,3,1,131
330151021001,1321,571,355,395,0,0,1142,34,0,2,21,122,1142,26,2,2,0,6,8,0,5,0,0,0,122
330151021002,819,359,227,233,0,0,728,12,0,3,10,66,728,8,5,0,0,1,4,0,2,0,0,3,66
330151021003,1234,523,294,417,0,0,1054,35,2,4,24,115,1054,33,1,3,0,4,2,2,8,0,1,0,115
