BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_34,eth2_93,eth2_23,eth2_21,eth2_14,eth2_unk
230010203011,1231,759,351,86,35,0,0,0,856,65,20,63,31,196,856,65,14,31,7,20,17,7,6,196
230010203012,551,269,155,101,26,0,0,0,466,11,0,11,4,59,466,11,0,7,3,0,1,1,0,59
230010203013,1889,1096,536,172,85,0,0,0,1350,114,13,79,56,277,1350,114,22,35,13,13,17,4,10,277
230010203021,1409,539,538,242,90,0,0,0,1143,39,26,6,63,132,1143,39,53,1,4,26,1,1,2,132
230010203031,1313,509,542,175,86,1,0,0,1002,42,62,10,98,99,1002,41,87,5,3,62,3,1,0,99
230010204011,974,465,372,89,48,0,0,0,483,22,156,9,235,69,483,22,226,2,1,156,1,0,0,69
230010204021,457,182,156,94,24,1,0,0,391,10,6,1,26,23,391,10,21,0,2,6,0,0,0,23
230010204022,306,97,144,48,17,0,0,0,234,9,11,1,28,23,234,9,27,0,1,11,1,0,0,23
230010205001,451,174,140,112,25,0,0,0,382,13,11,6,12,27,382,12,10,3,0,11,0,0,2,27
230010205002,386,161,117,86,22,0,0,0,350,9,0,0,6,21,350,9,2,0,3,0,0,0,0,21
230010205003,339,141,94,78,26,0,0,0,309,5,2,2,1,20,309,5,0,0,0,2,1,1,0,20
230010205004,631,244,205,148,34,0,0,0,546,11,4,4,15,51,546,10,12,0,1,4,1,2,1,51
230010205005,548,207,179,139,23,0,0,0,488,11,1,3,8,37,488,11,2,3,5,1,0,0,0,37
230010206001,945,375,279,246,45,0,0,0,845,17,1,9,8,65,845,17,4,3,0,1,2,4,0,65
230010206002,516,195,138,156,27,0,0,0,467,7,0,2,7,33,467,4,3,0,2,0,1,0,0,33
230010206003,637,194,195,216,32,0,0,0,573,10,0,4,6,44,573,10,4,0,0,0,1,0,3,44
230010207001,654,257,163,201,33,0,0,0,580,16,2,3,15,38,580,14,10,0,4,2,1,1,1,38
230010207002,1105,424,349,261,69,0,2,0,971,19,8,5,25,77,971,16,18,2,1,8,2,1,0,77
230010207003,395,159,128,94,14,0,0,0,339,1,3,4,9,39,339,1,6,3,0,3,1,0,0,39
230010207004,819,311,263,212,33,0,0,0,752,14,3,7,10,33,752,10,7,5,0,3,0,0,1,33
230010207005,759,304,217,200,38,0,0,0,667,12,1,10,8,61,667,12,4,4,1,1,1,3,1,61
230010208011,627,239,179,169,40,0,0,0,564,15,0,4,5,39,564,15,1,3,2,0,0,0,0,39
230010208012,775,302,218,230,25,0,0,0,693,10,1,8,5,58,693,9,3,7,0,1,0,1,0,58
230010208013,338,115,99,118,6,0,0,0,300,10,0,1,5,22,300,8,5,0,0,0,1,0,0,22
230010208014,434,168,114,137,15,0,0,0,390,14,0,4,2,24,390,14,1,1,0,0,0,3,0,24
230010208021,164,52,57,45,10,0,0,0,142,2,1,5,2,12,142,2,1,0,1,1,5,0,0,12
230010208022,1387,550,394,369,74,0,0,0,1227,25,1,10,18,106,1227,21,8,9,5,1,0,0,0,106
230010208023,549,226,203,93,27,0,0,0,401,21,16,5,47,59,401,21,37,2,1,16,1,2,0,59
230010208024,772,265,234,237,36,0,0,0,708,11,0,2,2,49,708,10,2,0,0,0,1,0,1,49
230010209001,1084,442,298,292,52,0,0,0,973,19,2,8,13,69,973,17,2,6,8,2,0,1,0,69
230010209002,501,172,150,154,25,0,0,0,453,12,0,3,5,28,453,12,0,2,4,0,1,0,0,28
230010209003,1645,976,443,164,62,0,0,0,1233,58,20,57,47,230,1233,58,22,22,12,20,15,1,8,230
230010209004,473,238,135,81,19,0,0,0,230,9,66,5,109,54,230,8,98,3,2,66,0,0,1,54
230010301001,656,183,240,208,25,0,0,0,602,5,0,1,4,44,602,5,0,0,1,0,0,1,0,44
230010301002,747,211,239,269,28,0,0,0,678,8,3,4,2,52,678,8,0,2,1,3,0,2,0,52
230010301003,453,138,158,145,12,0,0,0,407,9,0,4,4,29,407,9,1,3,1,0,0,0,1,29
