BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_23,eth2_10,eth2_14,eth2_21,eth2_34,eth2_32,eth2_29,eth2_12,eth2_85,eth2_35,eth2_66,eth2_61,eth2_33,eth2_99,eth2_55,eth2_19,eth2_26,eth2_38,eth2_15,eth2_59,eth2_13,eth2_83,eth2_unk
511076106014,1238,653,428,157,0,0,949,76,13,41,45,114,949,13,74,18,10,13,3,6,7,3,6,4,6,4,2,0,0,0,0,1,1,0,2,0,0,0,114
511076106021,1537,856,450,231,0,0,933,116,30,161,124,173,933,29,114,83,88,35,10,24,10,12,7,3,5,4,2,0,0,1,3,1,0,0,0,0,0,0,173
511076106022,808,350,377,81,0,0,567,44,23,59,45,70,567,23,43,27,22,13,15,8,3,3,4,0,0,1,1,0,2,0,0,1,0,0,0,4,0,0,70
511076106031,1431,793,350,288,0,0,923,208,27,38,85,150,923,27,205,61,6,10,7,10,9,3,0,2,2,2,3,0,0,0,3,0,1,1,1,0,0,0,150
511076106032,626,345,105,176,0,0,408,75,21,29,31,62,408,21,75,20,6,8,8,2,3,1,4,2,0,1,0,0,0,0,0,2,0,2,0,0,1,0,62
511076106041,1468,790,503,175,0,0,1004,91,24,105,84,160,1004,24,91,50,46,26,5,18,7,6,10,9,4,2,0,1,0,0,2,0,1,0,0,0,0,0,160
511076106042,1612,880,380,352,0,0,904,184,71,122,137,194,904,70,181,93,75,17,4,17,6,4,5,4,5,2,3,7,0,1,0,3,1,2,0,4,1,0,194
511076106043,774,389,243,142,0,0,517,66,19,25,66,81,517,18,66,37,6,12,1,0,5,10,3,6,5,0,0,1,3,1,0,0,0,2,0,0,0,0,81
511076106044,931,466,354,111,0,0,663,62,20,35,35,116,663,20,61,10,15,10,2,3,6,1,5,3,5,2,1,2,3,0,1,0,0,0,0,0,0,0,116
511076107011,1947,927,785,235,0,0,1493,115,19,76,41,203,1493,18,114,22,26,35,3,8,5,2,0,4,4,0,1,3,1,1,2,0,0,0,0,1,0,0,203
