GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
22097961401,1375,954,163,255,2,1,0,0,266,9,1043,2,8,47
22097961402,1105,763,105,235,2,0,0,0,156,12,899,0,5,33
22097961501,1230,918,50,260,1,1,0,0,66,4,1147,1,3,9
22097961502,1899,894,630,367,8,0,0,0,996,54,626,30,18,175
22097961601,1843,1245,176,417,5,0,0,0,255,21,1499,3,9,56
22097961602,1081,804,44,232,1,0,0,0,53,4,1010,0,3,11
22097961701,3094,1352,1145,588,9,0,0,0,1674,83,966,25,28,318
22097961702,1985,858,700,420,7,0,0,0,1151,40,603,12,12,167
22097961801,3330,1219,1247,851,12,1,0,0,2232,78,674,10,37,299
22097961802,1026,291,417,314,4,0,0,0,762,40,112,5,14,93
22097961900,2296,1218,591,478,8,1,0,0,946,27,1142,10,17,154
22043020100,1543,377,794,366,5,1,0,0,1373,17,3,7,21,122
22043020200,2030,633,846,540,10,1,0,0,1594,34,187,6,17,192
22043020300,1738,877,474,380,7,0,0,0,753,14,902,1,9,59
22043020403,2584,485,1378,709,12,0,0,0,2223,69,29,10,28,225
22043020404,1471,269,740,455,4,3,0,0,1289,20,12,7,15,128
22043020405,1658,289,879,474,14,2,0,0,1430,46,17,1,15,149
22043020406,1531,263,827,427,12,2,0,0,1311,53,22,7,14,124
22105953200,1929,689,764,470,6,0,0,0,1363,28,439,8,13,78
22105953300,2719,1724,464,526,4,1,0,0,821,16,1825,11,4,42
22105953401,2085,1317,364,403,0,1,0,0,651,21,1361,4,4,44
22105953402,1747,774,587,378,7,1,0,0,997,26,597,9,3,115
22105953501,2299,859,834,596,10,0,0,0,1519,47,568,7,19,139
22105953502,2177,648,980,542,6,1,0,0,1551,83,311,16,27,189
22105953601,1778,1245,180,347,6,0,0,0,260,16,1460,11,2,29
22105953602,1639,981,274,377,7,0,0,0,551,37,968,12,6,65
22105953701,3311,899,1463,930,19,0,0,0,2623,86,285,20,25,272
22105953702,4222,926,2109,1171,16,0,0,0,3345,192,216,22,44,403
22105953800,3287,1318,1004,946,17,2,0,0,2094,133,829,15,21,195
22105953901,2268,871,652,728,16,1,0,0,1349,87,642,20,11,159
22105953902,2375,873,778,709,13,2,0,0,1389,140,659,12,16,159
22105954001,2037,820,565,635,16,1,0,0,1067,62,729,13,12,154
22105954003,1890,506,876,497,10,1,0,0,1346,63,270,25,9,177
22105954004,1892,895,485,503,8,1,0,0,831,54,915,9,13,70
22105954103,2374,1011,659,688,15,1,0,0,1223,83,868,17,12,171
22105954104,1042,473,251,314,3,1,0,0,446,31,486,12,7,60
22105954105,3021,835,1308,860,16,2,0,0,2093,115,510,17,36,250
22105954106,3746,921,1867,927,30,1,0,0,2635,165,522,21,27,376
22105954200,1749,546,644,544,8,7,0,0,1107,100,315,31,16,180
22105954300,2598,1493,409,681,11,4,0,0,565,40,1867,25,23,78
22105954400,2082,1080,396,580,24,2,0,0,777,75,1093,9,15,113
22105954503,2248,851,709,677,9,2,0,0,1212,81,765,18,14,158
22105954504,2066,650,773,628,15,0,0,0,1283,80,509,10,16,168
22105954505,3245,1220,1092,914,16,3,0,0,1816,127,1020,20,16,246
22105954506,862,293,274,287,8,0,0,0,455,43,287,3,8,66
22105954601,4872,1266,2113,1451,38,4,0,0,3298,246,749,41,52,486
22105954602,4396,832,2193,1322,43,6,0,0,3429,250,220,25,38,434
22105954700,3229,837,1484,885,23,0,0,0,2262,152,446,18,28,323
22105954800,3746,992,1618,1102,32,2,0,0,2714,154,482,36,31,329
22025000100,2395,948,978,461,8,0,0,0,1727,28,528,5,18,89
22025000200,1574,1015,261,296,2,0,0,0,458,9,1071,3,1,32
22025000300,2192,641,1051,494,6,0,0,0,1949,19,119,5,8,92
22073000100,2911,1031,1046,800,28,6,0,0,1846,43,809,19,31,163
22073000200,3917,879,2151,858,26,3,0,0,3099,66,398,29,37,288
22073000401,1140,696,216,227,0,1,0,0,279,8,810,12,3,28
22073000402,1146,666,146,326,6,2,0,0,276,20,806,8,12,24
22073000500,1961,987,473,491,8,2,0,0,802,20,1021,32,6,80
22073000600,2613,1974,71,567,0,1,0,0,17,3,2582,7,0,4
