GEOID20,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
49005000403,3313,2121,823,267,54,21,2,8,0,2950,109,3,30,22,199
49005000501,1884,876,580,301,71,33,4,8,0,1497,175,4,23,27,158
49005000502,1945,874,663,299,66,26,2,3,0,1531,161,7,46,30,170
49005000601,1267,567,425,180,58,23,2,3,0,1090,52,3,18,15,89
49005000602,1223,569,401,169,55,15,6,2,0,1007,65,3,17,9,122
49005000701,2589,1363,701,423,55,31,0,7,0,2251,54,2,60,34,188
49005000702,143,57,54,22,5,3,1,1,0,110,12,0,0,3,18
49005000800,1894,718,689,360,71,32,9,8,0,1594,91,2,21,19,167
49005000900,1464,592,499,276,51,25,2,7,0,1242,68,1,22,18,113
49005001001,1069,493,352,167,35,12,2,5,0,783,171,4,26,25,60
49005001002,1991,832,657,376,65,29,3,8,0,1627,171,5,27,26,135
49005001101,2869,1756,744,262,43,28,3,13,0,2464,96,1,43,26,239
49005001102,2952,1657,783,381,71,37,5,10,0,2500,89,4,69,45,245
49005001201,3236,2126,814,191,62,26,2,3,0,2921,64,0,31,22,198
49005001202,3020,1861,854,204,61,18,0,6,0,2555,186,0,34,24,221
49005001300,3706,2649,782,152,65,23,2,8,0,3408,59,0,26,8,205
49005001401,2459,1502,655,198,65,20,3,4,0,2088,193,0,28,12,138
49005001402,1701,1058,441,147,25,10,0,9,0,1473,86,1,13,6,122
49005001500,1234,876,269,52,21,8,1,0,0,1130,18,0,4,7,75
49005980100,53,33,11,8,1,0,0,0,0,43,2,0,3,0,5
49037942000,1361,114,604,586,26,5,0,20,0,763,64,3,16,181,334
49037942100,1013,109,478,399,13,1,1,10,0,537,30,1,17,247,181
49037978100,1997,1140,533,247,48,16,1,7,0,1630,98,1,16,61,191
49037978200,2848,1460,703,588,52,16,4,12,0,2167,83,4,37,161,396
49057200100,1887,727,673,380,65,19,3,8,0,1475,263,2,25,18,104
49057200202,961,312,363,203,44,16,5,6,0,685,186,0,6,12,72
49057200203,1686,527,652,407,70,16,2,4,0,1149,384,8,20,21,104
