GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
53063005000,2713,1331,911,471,0,0,2215,91,9,55,50,293
53063010101,2977,906,1613,458,0,0,2509,79,0,36,66,287
53063010102,2272,688,1208,376,0,0,1978,41,0,21,21,211
53063010201,3474,1017,1927,530,0,0,2967,74,1,14,52,366
53063010203,3603,1161,1975,467,0,0,3074,80,2,43,62,342
53063010204,2326,679,1328,319,0,0,1979,44,2,9,59,233
53063010301,3557,1463,1724,370,0,0,2972,98,1,28,56,402
53063010303,2663,727,1525,411,0,0,2253,60,0,22,36,292
53063010304,4751,1424,2482,845,0,0,4047,107,2,36,69,490
53063010305,5582,1789,2914,879,0,0,4711,137,4,61,102,567
53063010401,3578,1639,968,971,0,0,2759,266,30,83,80,360
53063010403,2727,803,1482,442,0,0,2264,106,0,30,66,261
53063010404,3008,929,1613,466,0,0,2508,66,1,26,76,331
53063010504,2855,1035,1392,428,0,0,2379,61,4,49,67,295
53063010505,2862,1069,1301,492,0,0,2395,98,6,57,42,264
53063010506,3693,1536,1563,594,0,0,3038,117,10,71,77,380
53063010507,3996,1489,1784,723,0,0,3342,121,7,59,77,390
53063010508,3051,1119,1501,431,0,0,2571,62,3,47,52,316
53063010601,2731,1131,1198,402,0,0,2305,107,5,33,41,240
53063010603,3524,1474,1480,570,0,0,2942,103,4,52,82,341
53063010604,2941,1277,1234,430,0,0,2407,107,19,39,51,318
53063010701,3482,1263,1482,737,0,0,2666,131,10,154,97,424
53063010702,2748,973,1311,464,0,0,2250,89,4,78,66,261
53063010800,1287,611,362,314,0,0,1035,58,8,19,28,139
53063010901,1385,595,551,239,0,0,1142,62,1,25,19,136
53063010902,1520,624,618,278,0,0,1266,77,3,36,21,117
53063011000,2600,1140,929,531,0,0,2161,151,9,34,36,209
53063011102,2323,1232,710,381,0,0,1814,125,8,56,74,246
53063011103,1874,1104,487,283,0,0,1487,103,11,36,53,184
53063011104,1541,1005,416,120,0,0,1225,94,12,22,35,153
53063011202,3160,1104,1455,601,0,0,2565,122,7,28,89,349
53063011203,3107,1511,963,633,0,0,2389,146,22,101,106,343
53063011204,1416,633,479,304,0,0,1030,56,6,80,89,155
53063011301,3061,1188,1267,606,0,0,2517,104,5,66,58,311
53063011302,3300,1520,1282,498,0,0,2628,96,10,91,116,359
53063011400,4415,1778,1776,861,0,0,3612,130,7,72,168,426
53063011500,1079,458,387,234,0,0,946,29,0,12,12,80
53063011600,1296,538,490,268,0,0,1099,46,0,17,14,120
53063011701,1632,926,590,116,0,0,1345,75,4,29,33,146
53063011702,3800,2461,914,425,0,0,3024,207,27,51,84,407
53063011800,3373,2011,1001,361,0,0,2752,147,18,42,72,342
53063011900,3177,1634,936,607,0,0,2520,161,23,39,83,351
53063012000,2852,1117,1073,662,0,0,2323,125,7,29,73,295
53063012100,1819,816,668,335,0,0,1521,94,7,9,36,152
53063012200,1816,815,636,365,0,0,1502,52,6,32,40,184
53063012300,4110,2174,1308,628,0,0,3237,189,22,84,153,425
53063012401,3761,1364,1768,629,0,0,3096,121,4,49,83,408
53063012402,5367,1835,2624,908,0,0,4552,157,1,100,73,484
53063012500,2120,1194,642,284,0,0,1661,131,7,30,51,240
53063012600,2953,1148,1067,738,0,0,2403,151,8,31,77,283
53063012701,2997,1264,1148,585,0,0,2483,119,8,44,83,260
53063012702,1616,594,676,346,0,0,1357,62,3,15,31,148
53063012801,3063,1145,1286,632,0,0,2563,115,4,39,53,289
53063012802,2425,918,1083,424,0,0,2066,80,9,31,28,211
53063012901,2421,935,975,511,0,0,1977,116,9,34,54,231
53063012902,5387,1950,2415,1022,0,0,4397,180,12,91,139,568
53063013001,1275,392,639,244,0,0,1052,29,0,29,31,134
53063013002,1835,792,488,555,0,0,1416,111,11,28,47,222
53063013003,4470,1562,1965,943,0,0,3579,189,3,130,119,450
53063013101,5221,2052,1930,1239,0,0,4284,182,6,74,142,533
53063013102,5027,1760,2216,1051,0,0,4120,181,6,63,149,508
53063013201,5500,1923,2701,876,0,0,4653,140,0,77,118,512
53063013203,2749,1015,1175,559,0,0,2275,86,1,51,53,283
53063013204,3958,1414,1843,701,0,0,3291,130,5,79,73,380
53063013205,2364,844,1060,460,0,0,1900,85,0,58,62,259
53063013300,2768,775,1635,358,0,0,2361,47,0,18,56,286
53063013401,4460,1956,1901,603,0,0,3669,138,18,121,100,414
53063013501,1311,460,638,213,0,0,1111,34,0,11,35,120
53063013502,1991,681,1008,302,0,0,1674,45,0,17,31,224
53063013503,4472,1814,1858,800,0,0,3624,155,6,106,90,491
53063013600,3640,1468,1312,860,0,0,2825,167,3,59,173,413
53063013700,2571,1006,935,630,0,0,2004,145,14,66,75,267
53063013800,692,467,117,108,0,0,511,68,3,15,15,80
53063013900,3811,1357,1633,821,0,0,3200,151,8,40,38,374
