GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
08049000205,1718,768,327,584,28,5,1,0,1417,78,0,14,12,197
08049000206,1351,584,273,475,14,3,1,0,1148,37,1,5,5,155
08049000207,3481,1480,721,1213,38,14,1,0,2926,163,0,14,38,340
08019014701,2137,912,606,578,34,3,1,0,1785,69,3,17,31,232
08019014702,2035,934,552,509,27,6,1,0,1684,74,3,21,20,233
08019014800,1103,504,328,242,20,3,1,0,925,39,1,10,12,116
08019014900,1835,838,544,399,27,15,5,0,1471,111,0,13,27,213
08079973600,825,291,221,310,2,0,0,0,685,28,2,6,0,104
08007940400,897,343,205,326,12,3,1,0,709,96,1,8,7,76
08007974201,1469,618,299,535,14,0,1,0,1222,95,0,11,12,129
08007974202,3089,1242,639,1164,21,6,2,0,2424,294,1,33,26,311
08007974300,3027,1161,591,1221,29,10,5,0,2258,444,7,25,22,271
08007974400,1626,574,321,709,11,8,0,0,1316,136,1,13,13,147
08011966701,462,170,142,140,4,1,2,0,276,140,5,4,6,31
08011966702,2289,834,517,897,15,5,8,0,1610,511,2,11,15,140
08015000100,2008,901,748,331,17,5,3,0,1603,133,0,21,18,233
08015000200,4026,1840,1201,929,35,9,4,0,3296,213,1,31,31,454
08015000300,2900,1208,703,958,25,2,1,0,2420,120,4,30,30,296
08015000402,1912,835,414,626,23,5,3,0,1593,94,0,15,16,194
08015000403,1527,583,295,634,10,2,0,0,1283,45,0,3,13,183
08015000404,2732,1161,550,969,29,3,2,0,2311,108,0,23,27,263
08099000100,1043,334,112,586,3,2,1,0,863,104,0,5,8,63
08099000200,1091,459,307,297,3,2,14,0,524,487,0,6,4,70
08099000300,2758,1035,499,1182,15,0,9,0,1889,632,1,14,13,209
08099000600,836,300,126,399,5,1,2,0,588,156,0,8,5,79
08099000700,1261,408,226,618,3,0,3,0,860,300,1,12,3,85
08073961700,1555,495,175,856,19,0,4,0,1283,90,4,8,11,159
08073961800,1460,364,144,933,13,1,0,0,1239,67,2,9,6,137
08033000100,1512,574,224,692,10,3,0,0,1309,45,0,5,14,139
08101000100,2073,787,807,446,11,6,4,0,1236,657,9,13,17,141
08101000200,1216,508,496,188,12,2,5,0,513,598,6,10,6,83
08101000300,106,38,34,23,3,1,4,0,66,18,11,1,3,7
08101000400,1708,669,674,339,12,5,4,0,950,609,4,13,11,121
08101000500,1473,552,597,294,15,4,0,0,884,430,11,14,17,117
