GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
19107080300,1727,722,458,538,5,4,0,0,1486,9,1,12,8,211
19107080400,1809,815,386,601,3,4,0,0,1578,27,2,6,7,189
19147960100,1323,614,278,426,4,1,0,0,1120,12,0,8,11,172
19147960200,1196,462,298,426,6,4,0,0,1018,16,0,11,10,141
19147960300,2546,813,967,749,13,4,0,0,2173,55,6,11,25,276
19147960400,1001,384,263,352,1,1,0,0,894,7,0,6,2,92
19117950100,1445,659,320,461,3,2,0,0,1270,18,0,5,30,122
19117950200,1495,729,284,476,5,1,0,0,1363,10,1,4,17,100
19117950300,1263,559,286,407,10,1,0,0,1110,24,0,3,28,98
19117950400,1495,607,344,533,9,2,0,0,1303,32,0,11,30,119
19141490100,1824,976,305,527,16,0,0,0,1503,51,2,15,10,243
19141490200,2558,1749,294,504,10,1,0,0,2125,47,2,20,0,364
19141490300,3202,2038,410,734,16,4,0,0,2545,106,4,30,16,501
19141490400,1648,1002,257,378,7,4,0,0,1430,17,0,7,10,184
19083480100,1660,811,359,482,6,2,0,0,1302,53,0,14,16,275
19083480200,1382,516,423,426,12,5,0,0,1148,41,1,9,12,171
19083480300,2556,1016,701,826,13,0,0,0,2090,68,11,29,37,321
19083480400,1927,885,426,604,11,1,0,0,1613,32,0,7,12,263
19083480500,2002,1012,377,603,7,3,0,0,1704,25,0,11,24,238
19083480600,1773,810,420,529,10,4,0,0,1494,28,3,13,17,218
19131560100,1898,663,484,740,7,4,0,0,1670,14,0,5,11,198
19131560200,2555,1045,569,929,11,1,0,0,2174,21,0,16,20,324
19131560300,2643,1011,681,925,20,6,0,0,2280,20,1,27,10,305
19073080100,1194,439,287,458,8,2,0,0,1038,31,0,9,6,110
19073080200,1760,693,503,552,11,1,0,0,1523,44,3,20,10,160
19073080300,2068,829,574,650,11,4,0,0,1804,53,1,9,8,193
19073080500,1272,568,275,422,6,1,0,0,1104,19,1,2,11,135
19169000101,1640,635,455,530,18,2,0,0,1402,29,2,23,34,150
19169000102,3101,949,1207,920,22,3,0,0,2434,56,14,152,77,368
19169000103,1027,376,279,362,8,2,0,0,875,13,1,11,14,113
19169000104,1054,411,362,270,8,3,0,0,886,24,1,23,19,101
19169000105,2364,657,993,700,9,5,0,0,1696,69,13,263,59,264
19169000200,3488,707,1547,1185,37,12,0,0,2689,172,25,92,58,452
19169000300,2060,562,892,583,20,3,0,0,1664,58,10,46,38,244
19169000400,2137,462,1000,655,13,7,0,0,1699,75,11,51,35,266
19169000500,241,34,79,125,2,1,0,0,150,26,3,16,4,42
19169000600,3244,671,1486,1054,29,4,0,0,2551,101,42,115,77,358
19169000700,2460,447,1056,920,30,7,0,0,1874,112,14,62,65,333
19169000800,1274,264,415,579,12,4,0,0,929,79,1,48,19,198
19169000900,2861,470,1572,776,30,13,0,0,2317,91,27,31,47,348
19169001000,2837,571,1193,1010,51,12,0,0,2192,119,32,76,66,352
19169001101,2221,532,930,721,31,7,0,0,1713,90,8,60,46,304
19169001102,2945,813,807,1286,34,5,0,0,2287,132,11,59,42,414
19169001200,52,7,21,24,0,0,0,0,42,1,0,2,0,7
19169001302,3861,1065,1485,1262,39,10,0,0,3091,97,21,109,50,493
19169001303,3006,608,1222,1128,39,9,0,0,2242,159,27,184,62,332
19169001304,3081,585,1223,1201,52,20,0,0,2342,164,63,93,60,359
19169010101,2651,899,730,992,25,5,0,0,2265,48,0,22,18,298
19169010102,3180,1133,863,1147,28,9,0,0,2732,49,8,30,26,335
