GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
40019892802,1084,312,530,232,10,0,0,681,59,294,8,9,33
40019892900,1732,728,634,340,30,0,0,1446,81,57,21,11,116
40019893001,2267,1182,706,368,11,0,0,1869,129,41,48,35,145
40019893002,1643,736,611,288,8,0,0,1385,74,44,20,10,110
40019893100,1170,394,454,316,6,0,0,881,75,118,9,10,77
40123088600,2874,1350,1104,394,26,0,0,2593,61,18,22,19,161
40123088700,1363,631,576,149,7,0,0,1195,34,16,10,5,103
40123088801,2898,1506,1050,329,13,0,0,2630,58,10,13,26,161
40123088802,1604,689,672,230,13,0,0,1346,47,94,18,13,86
40123088900,1681,645,673,350,13,0,0,1422,76,42,17,11,113
40123089000,2070,987,812,251,20,0,0,1829,49,15,14,21,142
40123089100,1461,601,517,330,13,0,0,1244,70,19,17,15,96
40123089200,574,206,230,130,8,0,0,487,32,14,3,2,36
40123089300,1907,852,696,341,18,0,0,1645,66,25,23,22,126
40123089598,2599,1351,912,324,12,0,0,2347,71,19,10,18,134
40123089600,1083,508,431,139,5,0,0,1000,17,6,5,2,53
40131050101,2862,1565,734,543,20,0,0,2474,130,15,29,30,184
40131050103,1251,658,372,204,17,0,0,1076,47,5,5,11,107
40131050104,934,452,294,172,16,0,0,799,27,24,5,17,62
40131050105,2908,1745,737,408,18,0,0,2587,77,12,21,23,188
40131050201,1514,964,356,189,5,0,0,1333,37,4,9,24,107
40131050202,1430,705,474,238,13,0,0,1249,36,34,9,12,90
40131050203,908,537,248,116,7,0,0,824,11,2,6,6,59
40131050301,1393,815,359,211,8,0,0,1244,35,3,13,12,86
40131050302,1268,739,331,194,4,0,0,1116,28,5,14,7,98
40131050303,1924,1276,424,207,17,0,0,1726,43,0,20,11,124
40131050304,2583,1712,590,263,18,0,0,2303,58,4,17,17,184
40131050403,2968,1989,531,428,20,0,0,2605,88,11,43,30,191
40131050404,4020,2434,934,613,39,0,0,3431,184,19,59,49,278
40131050405,2693,1952,401,319,21,0,0,2387,78,8,15,36,169
40131050406,2282,1652,357,261,12,0,0,1999,51,6,32,25,169
40131050407,1277,754,330,184,9,0,0,1096,40,1,18,9,113
40131050408,1388,785,394,205,4,0,0,1229,44,4,13,10,88
40131050409,1253,761,301,186,5,0,0,1103,41,5,6,7,91
40131050501,1967,1312,405,238,12,0,0,1738,36,8,22,13,150
40131050502,1736,1098,415,217,6,0,0,1535,35,9,11,9,137
40131050601,2099,1362,457,270,10,0,0,1886,53,1,10,19,130
40131050602,2143,1416,448,265,14,0,0,1863,54,2,21,17,186
40131050603,1513,993,325,189,6,0,0,1332,27,2,11,9,132
40131050604,2522,1665,535,308,14,0,0,2259,60,7,9,20,167
40131050701,899,477,279,139,4,0,0,812,13,2,5,5,62
40131050702,2263,1443,596,213,11,0,0,2040,32,8,17,9,157
