GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
09001021602,1627,594,792,210,7,0,0,0,887,281,86,62,91,220
09001021701,1410,556,646,176,2,1,0,0,639,282,171,91,78,149
09001021702,2096,770,969,301,4,2,0,0,1109,307,226,88,100,266
09001021801,2496,980,1094,380,5,2,0,0,1215,523,183,123,150,302
09001021802,2652,1071,1187,340,1,4,0,0,1084,702,426,78,106,256
09001021900,3196,1270,1292,567,5,2,0,0,1766,720,179,92,128,311
09001022000,1575,639,707,189,1,0,0,0,693,417,205,26,75,159
09001022101,1034,448,510,64,2,1,0,0,241,443,217,17,59,57
09001022102,2015,810,842,322,2,1,0,0,1056,407,138,63,143,208
09001022201,1036,376,499,138,0,1,0,0,532,205,111,27,27,134
09001022202,1665,675,678,272,4,2,0,0,881,306,173,53,57,195
09001022300,2863,1018,1391,389,1,4,0,0,1149,629,699,61,111,214
09001022400,1760,593,719,402,3,0,0,0,1350,85,4,35,54,232
09001030100,2696,976,601,1092,6,0,0,0,2112,92,4,99,87,302
09001030200,2449,940,581,894,3,1,0,0,1946,103,0,90,55,255
09001030300,3225,1249,779,1164,5,1,0,0,2663,82,3,90,94,293
09001030400,2617,1006,692,882,3,0,0,0,1999,137,3,154,64,260
09001030500,3995,1564,1064,1307,8,0,0,0,3113,158,20,185,124,395
09001035101,2370,892,711,729,2,2,0,0,1743,145,29,96,90,267
09001035102,3100,1033,798,1222,2,1,0,0,2498,102,1,100,85,314
09001035200,2481,807,575,1062,2,1,0,0,1973,82,5,77,76,268
09001035300,2936,1050,724,1133,1,2,0,0,2296,117,6,130,93,294
09001035400,3799,1361,967,1424,5,1,0,0,2861,136,3,161,148,490
09001042500,2946,1276,924,669,5,2,0,0,2191,187,24,99,99,346
09001042600,2983,1276,1030,609,3,0,0,0,2056,328,63,101,82,353
09001042700,3464,1536,1212,640,6,2,0,0,2333,433,94,123,89,392
09001042800,3185,1323,1217,564,2,2,0,0,2124,443,126,75,107,310
09001042900,1419,574,505,304,0,1,0,0,1055,105,9,37,31,182
09001043000,2219,931,754,480,3,2,0,0,1582,243,64,57,55,218
09001043100,2994,1289,989,644,10,2,0,0,2061,316,108,97,121,291
09001043200,1731,716,750,235,2,0,0,0,873,346,207,55,66,184
09001043300,2044,913,778,315,3,0,0,0,1023,549,174,59,59,180
09001043400,2285,990,1014,244,2,1,0,0,1025,606,342,65,75,172
09001043500,1840,796,673,336,0,0,0,0,1125,277,80,61,72,225
09001043600,2139,892,843,359,5,0,0,0,1369,330,50,68,89,233
09001043700,1914,785,846,244,2,1,0,0,974,327,287,65,62,199
09001043800,3957,1711,1723,458,6,2,0,0,1796,1065,513,155,128,300
09001043900,3508,1473,1360,602,1,2,0,0,2183,579,221,89,113,323
09001044000,2832,1244,1311,227,2,1,0,0,1072,891,570,38,68,193
09001044100,1633,625,806,175,2,1,0,0,836,285,232,45,47,188
09001044200,2214,900,937,320,1,2,0,0,1308,444,160,31,81,190
09001044300,3111,1233,1133,689,2,3,0,0,2240,342,70,37,94,328
09001044400,1801,674,913,185,1,0,0,0,784,366,460,21,45,125
09001044500,1531,570,826,125,0,1,0,0,376,492,557,27,16,63
09001044600,2786,1007,1020,681,1,2,0,0,2280,58,13,32,60,343
09001045101,3079,1178,984,870,10,0,0,0,2358,104,2,136,95,384
09001045102,4153,1690,1289,1119,7,1,0,0,3087,218,6,234,124,484
09001045200,1929,770,629,501,2,0,0,0,1443,92,15,97,58,224
09001045300,1860,670,614,555,2,0,0,0,1447,78,1,91,49,194
09001045400,2299,879,809,588,3,0,0,0,1694,78,6,142,76,303
09001050100,2944,1089,1310,520,0,1,0,0,2017,98,15,143,115,556
09001050200,3105,1077,1391,599,2,0,0,0,2156,129,7,140,117,556
09001050301,2864,1115,1148,571,4,0,0,0,1927,91,11,160,127,548
09001050302,3159,1102,1368,658,5,0,0,0,2127,104,6,158,124,640
09001050400,1846,687,702,440,2,0,0,0,1352,76,16,64,62,276
09001050500,3558,1299,1486,736,4,1,0,0,2443,150,18,151,121,675
09001050600,2540,973,983,563,3,1,0,0,1766,70,0,91,79,534
09001055100,4194,1590,1632,906,8,1,0,0,2827,195,24,212,147,789
09001055200,3248,1263,1283,662,2,3,0,0,2203,131,6,141,151,616
09001060100,2472,1089,870,470,5,3,0,0,1687,189,10,75,93,418
09001060200,3367,1369,1191,767,7,3,0,0,2466,164,10,87,119,521
09001060300,3290,1268,1026,950,2,2,0,0,2442,139,5,119,86,499
09001060400,3541,1402,980,1080,8,1,0,0,2751,134,6,71,71,508
09001060500,2362,917,707,701,4,1,0,0,1853,60,2,65,92,290
09001060600,1877,708,581,551,1,1,0,0,1407,80,13,62,57,258
09001060700,4940,2041,1469,1357,1,3,0,0,3843,240,16,88,126,627
09001060800,1587,659,499,407,1,1,0,0,1243,74,12,45,27,186
09001060900,1936,775,619,516,2,2,0,0,1514,71,1,61,54,235
09001061000,2992,1255,1052,641,3,2,0,0,2026,239,18,115,170,424
09001061100,2870,990,1239,603,2,0,0,0,2175,147,5,50,64,429
09001061200,1560,724,516,293,2,1,0,0,973,214,21,72,76,204
09001061300,1987,948,659,355,3,1,0,0,1244,223,32,103,108,277
09001061400,1872,898,608,329,3,1,0,0,1126,280,36,106,96,228
09001061500,3555,1434,1252,808,5,1,0,0,2695,157,15,86,107,495
09001061600,3840,1503,1369,882,6,3,0,0,2988,143,8,88,98,515
09001070100,3446,1058,1816,513,2,4,0,0,2389,385,116,40,81,435
09001070200,1998,576,1275,127,2,2,0,0,646,561,598,27,35,131
09001070300,864,239,587,35,0,0,0,0,198,389,200,7,8,62
09001070400,989,356,558,70,0,0,0,0,290,241,299,52,35,72
09001070500,834,286,478,59,2,0,0,0,280,275,182,31,16,50
09001070600,2098,544,1443,94,2,1,0,0,533,708,668,29,34,126
09001070900,1294,408,835,44,0,0,0,0,213,544,466,12,17,42
09001071000,1432,496,861,65,0,0,0,0,237,529,542,31,33,60
09001071100,2051,632,1288,115,3,1,0,0,362,719,755,41,67,107
09001071200,2210,695,1403,104,1,0,0,0,360,859,775,50,91,75
09001071300,1558,480,984,81,0,1,0,0,242,633,555,20,26,82
09001071400,1160,418,678,55,0,1,0,0,258,556,217,30,18,81
09001071600,1042,350,649,36,0,0,0,0,202,433,359,8,7,33
09001071900,1408,492,832,73,2,0,0,0,284,480,498,27,23,96
09001072000,1602,550,925,117,0,0,0,0,419,470,519,55,43,96
09001072100,3416,1124,1925,328,1,0,0,0,1361,831,673,123,121,307
09001072200,2113,695,1185,211,1,1,0,0,858,530,315,48,71,291
09001072300,2328,761,1378,175,0,0,0,0,696,743,615,42,65,167
09001072400,1619,527,979,106,0,0,0,0,343,532,568,43,31,102
09001072500,3007,1030,1656,279,3,3,0,0,1230,873,508,68,90,238
09001072600,3934,1509,1935,452,0,1,0,0,1919,961,471,89,124,370
09001072700,2334,723,1373,216,1,1,0,0,677,649,761,42,45,160
09001072800,3332,879,2316,115,0,0,0,0,330,955,1897,19,25,106
09001072900,2925,894,1888,112,0,3,0,0,467,802,1477,42,32,105
09001073000,1110,332,697,72,2,0,0,0,257,398,367,6,18,64
09001073100,2758,744,1811,176,0,1,0,0,716,948,850,36,55,153
09001073200,2315,622,1576,90,2,3,0,0,463,908,719,93,39,93
09001073300,2018,609,1312,88,1,1,0,0,364,646,897,27,28,56
09001073400,2060,601,1321,122,0,0,0,0,400,782,740,27,27,84
09001073500,1782,535,1150,88,0,0,0,0,239,979,468,11,30,55
