GEOID20,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
47157010300,680,448,9,223,0,0,29,4,643,1,1,2
47157010500,649,422,26,201,0,0,83,18,509,17,6,16
47157010610,2906,1826,74,1006,0,0,242,91,2524,21,4,24
47157010620,1359,982,12,365,0,0,76,31,1231,12,3,6
47157010630,1411,921,25,465,0,0,106,48,1224,10,6,17
47157010710,2554,1348,179,1027,0,0,325,81,2032,57,6,53
47157010720,1835,1082,71,682,0,0,200,30,1543,17,6,39
47157010810,3011,1824,74,1113,0,0,199,70,2650,47,13,32
47157010820,2573,1296,94,1183,0,0,202,30,2291,18,7,25
47157011010,1829,1032,43,754,0,0,146,53,1593,14,2,21
47157011020,787,463,11,313,0,0,44,17,703,7,4,12
47157011100,1078,629,8,441,0,0,82,3,983,0,1,9
47157011200,841,467,8,366,0,0,69,1,758,3,1,9
47157011300,736,426,13,297,0,0,106,11,592,7,3,17
47157011401,449,278,9,162,0,0,83,1,346,1,4,14
47157011402,824,521,40,263,0,0,269,18,489,8,6,34
47157011500,1438,831,9,598,0,0,50,4,1363,4,7,10
47157011600,1608,1022,14,572,0,0,101,6,1482,4,6,9
47157011700,961,521,7,433,0,0,46,2,890,11,2,10
47157011800,2315,1227,344,744,0,0,1016,121,1052,26,23,77
47157020101,2329,1271,429,629,0,0,804,60,1386,9,13,57
47157020102,2163,837,979,347,0,0,1739,38,239,13,4,130
47157020210,3374,1707,924,743,0,0,2059,113,973,31,21,177
47157020221,2014,850,581,583,0,0,1112,57,758,15,14,58
47157020222,1828,963,366,499,0,0,803,73,875,6,4,67
47157020301,1385,514,637,234,0,0,1127,50,115,15,12,66
47157020302,1954,1066,552,336,0,0,1334,66,413,20,13,108
47157020400,214,159,29,26,0,0,127,22,43,4,0,18
47157020511,1500,652,107,741,0,0,185,13,1277,5,1,19
47157020521,1715,1087,36,592,0,0,140,13,1539,7,4,12
47157020523,1514,1002,44,468,0,0,149,30,1299,9,4,23
47157020524,2635,1490,92,1053,0,0,191,45,2354,3,7,35
47157020531,2623,1542,132,949,0,0,382,117,2054,16,8,46
47157020532,3807,1928,255,1624,0,0,553,82,3083,13,14,62
47157020541,3209,1660,221,1328,0,0,481,69,2569,20,16,54
47157020542,2161,1368,116,677,0,0,284,44,1765,14,20,34
47157020543,1360,809,50,501,0,0,154,17,1169,6,3,11
47157020544,1262,649,92,521,0,0,208,17,1010,2,4,21
47157020610,2234,1243,197,794,0,0,475,70,1564,14,50,61
47157020621,3897,2010,659,1228,0,0,1379,110,2200,27,44,137
47157020622,2778,1099,1166,513,0,0,2040,77,449,30,24,158
47157020632,3854,1649,1569,636,0,0,3028,134,378,73,45,196
47157020633,2183,751,1107,325,0,0,1850,58,112,26,22,115
47157020634,2063,742,971,350,0,0,1735,41,142,25,24,96
47157020635,1763,754,773,236,0,0,1507,30,105,7,11,103
47157020651,4210,1917,1107,1186,0,0,2358,108,1464,45,50,185
47157020652,3517,1486,1469,562,0,0,2927,83,255,41,31,180
47157020653,2883,1107,942,834,0,0,1601,62,1021,37,35,127
47157020654,3564,1511,1130,923,0,0,1986,81,1214,55,53,175
47157020655,2282,821,1009,452,0,0,1795,60,257,30,29,111
47157020656,3516,1521,1161,834,0,0,2160,96,946,61,87,166
47157020657,3298,1548,620,1130,0,0,1390,115,1596,49,31,117
47157020658,2972,1579,366,1027,0,0,885,116,1832,28,24,87
47157020700,1850,657,945,248,0,0,1558,29,162,9,8,84
47157020833,3612,1479,1276,857,0,0,2228,96,906,107,74,201
47157020834,2338,771,1095,472,0,0,1792,56,298,37,29,126
47157020835,1943,745,780,418,0,0,1347,21,480,4,4,87
47157020836,6308,2407,2938,963,0,0,4932,169,415,243,140,409
47157020837,4409,1937,1727,745,0,0,3388,134,465,105,56,261
47157020901,3315,1454,1362,499,0,0,2561,77,392,56,49,180
47157020902,4109,1704,1778,627,0,0,3256,96,421,52,28,256
47157021020,5065,2205,1550,1310,0,0,2858,110,1600,106,129,262
47157021021,3742,1867,513,1362,0,0,1357,133,1974,72,70,136
47157021022,4013,2093,420,1500,0,0,1218,103,2355,99,96,142
47157021023,3058,1349,910,799,0,0,1789,63,958,56,49,143
47157021111,1766,1058,239,469,0,0,744,115,790,29,18,70
47157021112,2777,1559,578,640,0,0,1664,318,595,35,38,127
47157021113,2041,1128,326,587,0,0,920,162,794,49,28,88
47157021121,2846,1352,706,788,0,0,1393,52,1206,34,51,110
47157021122,2646,1584,431,631,0,0,1254,186,992,64,36,114
47157021124,4200,2293,500,1407,0,0,1607,261,1978,106,55,193
47157021125,2649,1296,548,805,0,0,1550,94,755,73,40,137
47157021126,2512,1241,513,758,0,0,1468,67,787,41,35,114
47157021135,3540,1882,616,1042,0,0,1818,161,1240,104,66,151
47157021136,3851,1653,792,1406,0,0,1973,122,1420,108,58,170
47157021138,2666,1218,514,934,0,0,1227,93,1041,103,67,135
47157021139,3053,1167,995,891,0,0,1985,88,539,104,97,240
47157021140,2959,1382,782,795,0,0,1912,88,659,64,50,186
47157021141,4802,2434,812,1556,0,0,2094,180,2090,129,82,227
47157021142,2275,1051,579,645,0,0,1399,89,592,27,41,127
47157021143,2933,1345,707,881,0,0,1755,128,777,70,61,142
47157021144,2321,1131,500,690,0,0,1289,85,695,75,51,126
47157021200,70,29,14,27,0,0,18,0,31,16,0,5
47157021311,3989,1451,1537,1001,0,0,2821,72,278,124,138,556
47157021312,1486,632,471,383,0,0,1103,31,148,36,29,139
47157021320,4505,1799,1578,1128,0,0,3056,90,961,35,53,310
47157021331,2365,926,614,825,0,0,1483,52,666,24,32,108
47157021333,2532,1087,571,874,0,0,1301,64,958,37,49,123
47157021334,2053,1050,247,756,0,0,557,43,1318,29,26,80
47157021341,4327,1457,2120,750,0,0,3401,76,218,128,117,387
47157021351,3669,1325,1719,625,0,0,3026,75,129,88,55,296
47157021352,5252,1744,2660,848,0,0,4279,89,188,153,111,432
47157021354,2673,1311,324,1038,0,0,720,61,1700,58,39,95
47157021355,3680,1550,1344,786,0,0,2493,64,521,141,141,320
47157021356,3220,1276,1525,419,0,0,2493,67,93,145,137,285
47157021357,4425,1486,2268,671,0,0,3402,96,141,294,153,339
47157021410,2172,748,1028,396,0,0,1746,46,58,53,51,218
47157021420,2519,868,1182,469,0,0,2000,54,115,64,43,243
47157021430,3001,1083,1425,493,0,0,2395,59,196,57,56,238
47157021530,3997,1450,2019,528,0,0,3300,77,135,131,71,283
47157021541,5466,2290,2419,757,0,0,4271,153,204,343,91,404
