GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
39151713401,3270,1225,1065,969,6,5,0,0,2766,50,11,23,56,364
39151713402,2760,1051,858,848,1,2,0,0,2365,47,20,13,48,267
39151713501,3733,1341,1098,1293,1,0,0,0,3075,91,23,63,55,426
39151713502,3498,1338,1160,990,5,5,0,0,2990,75,22,21,52,338
39151713600,1577,593,510,472,1,1,0,0,1320,25,6,6,20,200
39151713700,1306,610,409,286,0,1,0,0,1105,23,35,4,10,129
39151713900,1011,446,318,246,0,1,0,0,869,14,9,3,12,104
39151714000,2466,998,766,702,0,0,0,0,2100,37,5,7,34,283
39151714100,1699,852,473,373,0,1,0,0,1419,43,37,4,18,178
39151714200,1474,523,834,115,1,1,0,0,713,38,612,7,13,91
39151714302,2524,840,907,769,2,6,0,0,2059,47,93,13,28,284
39151714400,2370,763,783,821,1,2,0,0,1980,44,65,12,25,244
39151714600,3006,1057,873,1067,2,7,0,0,2570,34,8,17,30,347
39151714701,4086,1456,1100,1523,2,5,0,0,3544,61,11,12,47,411
39151714702,1644,575,306,760,0,3,0,0,1387,15,0,9,29,204
39151714801,3762,1521,778,1457,2,3,0,0,3269,41,7,14,36,395
39151714802,2010,746,491,771,1,1,0,0,1739,33,1,10,27,200
39151714901,2534,944,681,905,3,1,0,0,2204,24,4,9,26,267
39151714902,2140,918,531,685,3,3,0,0,1873,18,10,9,24,206
39151715000,1538,797,463,278,0,0,0,0,1268,38,44,8,24,156
39023000200,819,177,589,53,0,0,0,0,231,16,540,2,4,26
39023000300,711,375,282,53,0,1,0,0,452,22,168,7,6,56
39023000400,1072,640,285,142,0,4,0,0,888,30,60,6,16,72
39023000500,754,504,161,87,0,1,0,0,644,16,26,4,5,59
39023000600,1379,705,511,162,0,1,0,0,975,26,243,14,14,107
39023000700,780,562,162,56,0,0,0,0,611,30,39,8,4,88
39023000901,1148,676,358,114,0,0,0,0,836,28,193,6,6,79
39023000902,634,105,498,31,0,0,0,0,117,18,474,3,2,20
39023001000,1016,377,463,174,0,1,0,0,656,15,285,3,3,54
39023001101,730,163,509,58,0,0,0,0,199,13,493,1,5,19
39023001102,1879,274,1476,128,0,1,0,0,419,29,1354,7,26,44
39023001200,2113,822,1142,144,0,5,0,0,1006,67,924,14,12,90
39023001300,2351,1202,655,491,0,3,0,0,2073,41,56,8,15,158
39023001400,2081,999,676,404,0,2,0,0,1730,40,130,9,16,156
39023001500,2392,1289,604,495,1,3,0,0,2118,54,26,12,11,171
39023001600,2501,928,658,909,0,6,0,0,2212,21,13,17,13,225
39023001700,1258,637,318,299,0,3,0,0,1083,25,28,8,10,104
39023001900,2048,776,622,644,0,6,0,0,1787,28,27,18,20,168
39023002000,1590,519,340,731,0,0,0,0,1424,11,3,14,13,125
39023002100,941,372,244,323,0,2,0,0,796,8,50,8,5,74
39023002200,3060,927,830,1299,0,4,0,0,2748,33,29,17,23,210
39023002301,2116,759,407,946,0,4,0,0,1925,11,1,10,9,160
39023002403,2647,968,781,894,0,4,0,0,2302,39,55,29,18,204
39023002404,2271,728,764,774,0,5,0,0,1891,31,73,31,34,211
