FULLCODE,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
23003952100,1870,355,603,850,62,0,0,0,1733,16,6,5,25,85
23003952300,1590,288,582,669,50,1,0,0,1466,11,2,0,10,101
23003952400,2152,470,803,795,83,0,1,0,1955,19,5,8,20,145
23003952500,1592,346,595,601,50,0,0,0,1462,27,3,6,3,91
23003952600,2082,349,802,877,54,0,0,0,1919,36,0,3,4,120
23003952700,1715,305,579,768,63,0,0,0,1585,14,2,4,8,102
23003952900,1946,368,646,857,75,0,0,0,1812,10,1,5,11,107
23005000100,2091,1422,445,152,72,0,0,0,1662,39,52,24,69,245
23005000200,1995,1340,441,128,86,0,0,0,1579,61,30,26,53,246
23005000300,3185,1771,960,285,168,0,1,0,2466,126,43,63,118,369
23005000500,1833,1060,538,142,93,0,0,0,1230,57,129,75,144,198
23005000600,2561,1350,800,216,195,0,0,0,1912,105,80,50,122,292
23005001000,2204,1436,539,139,89,1,0,0,1703,60,101,31,52,257
23005001100,2338,1503,553,171,111,0,0,0,1890,57,18,45,41,287
23005001200,1127,777,259,37,54,0,0,0,818,34,45,14,79,137
23005001300,2819,1781,674,225,139,0,0,0,2255,81,33,54,71,325
23005001500,2715,1749,603,232,131,0,0,0,2236,50,23,44,63,299
23005001700,3689,2356,837,375,120,1,0,0,3002,73,14,90,94,416
23005001800,3067,1871,697,410,89,0,0,0,2533,60,5,41,61,367
23005001900,3488,2218,790,351,128,0,1,0,2900,59,11,61,83,374
23005002001,2888,1538,763,452,135,0,0,0,2202,72,32,125,123,334
23005002002,1952,1098,510,272,71,1,0,0,1565,47,31,64,45,200
23005002101,4826,2327,1351,980,167,0,1,0,3938,82,58,90,162,496
23005002102,3675,1856,1148,544,126,1,0,0,2662,119,159,135,239,361
23005002200,4153,2236,1106,659,152,0,0,0,3356,93,47,93,148,416
23005002300,2592,1471,677,320,124,0,0,0,1972,52,93,77,142,256
23005002400,1322,841,284,157,40,0,0,0,1132,35,4,9,16,126
23005002501,2918,1498,680,705,32,0,3,0,2471,46,2,35,53,311
23005002503,2904,1212,789,842,60,0,1,0,2453,47,6,66,51,281
23005002504,3980,1773,1034,1103,65,1,4,0,3353,60,0,96,99,372
23005002600,3269,1391,956,792,130,0,0,0,2786,50,10,49,89,285
23005002700,3733,1681,1099,791,160,2,0,0,3095,85,33,54,96,370
23005002800,2119,974,667,380,98,0,0,0,1781,46,19,39,42,192
23005002901,2631,1166,781,566,118,0,0,0,2155,49,8,71,109,239
23005002902,2177,935,717,427,97,1,0,0,1843,39,17,30,62,186
23005003001,2911,1348,862,577,124,0,0,0,2467,87,13,54,63,227
23005003002,1422,662,458,227,75,0,0,0,971,87,47,31,93,193
23005003100,3143,1549,944,496,154,0,0,0,2647,77,6,59,59,295
23005003200,2815,1679,655,391,89,0,1,0,2414,62,4,26,29,280
23005003300,2482,1122,784,457,118,0,1,0,2051,71,8,83,58,211
23005003400,4023,2132,1034,754,103,0,0,0,3528,69,6,56,53,311
23005003500,3264,1859,846,444,115,0,0,0,2820,43,3,27,46,325
23005003701,3588,2088,760,682,57,0,1,0,3057,30,2,78,48,373
23005003702,4389,2273,1098,939,78,0,1,0,3659,101,12,57,80,480
23005004001,2431,909,731,688,103,0,0,0,2166,38,0,26,27,174
23005004002,6770,2671,2021,1779,297,0,2,0,5854,118,11,60,121,606
23005004100,5123,1701,1551,1637,234,0,0,0,4577,84,17,31,51,363
23005004201,3435,1410,949,978,98,0,0,0,3010,42,9,27,40,307
23005004202,3858,1751,995,1028,83,1,0,0,3382,55,2,46,50,323
23005004401,4409,2154,1148,947,160,0,0,0,3810,77,1,59,65,397
23005004402,3156,1554,762,752,88,0,0,0,2762,48,1,45,41,259
23005004501,2663,1148,855,577,82,0,1,0,2364,45,3,28,29,194
23005004502,4435,2335,1190,791,118,0,1,0,3828,70,1,68,64,404
23005004600,3482,1415,964,970,133,0,0,0,3099,49,2,27,39,266
23005004701,1677,477,602,539,58,1,0,0,1487,15,0,10,13,152
23005004702,4919,1487,1786,1460,184,0,2,0,4343,72,2,27,46,429
23005004802,3713,1127,1306,1141,138,1,0,0,3324,45,3,17,45,279
23005004803,4240,1365,1428,1273,174,0,0,0,3815,63,1,21,66,274
23005004804,3343,1178,1097,938,130,0,0,0,2964,53,7,22,54,243
23005004805,2474,764,850,762,97,0,1,0,2238,31,0,11,26,168
23005011100,3368,1243,1043,943,139,0,0,0,2952,64,14,29,24,285
23005011203,3477,1835,964,589,88,0,1,0,2920,64,12,74,54,353
23005011204,2761,1373,725,557,105,1,0,0,2391,50,4,43,31,242
23005011205,2712,1379,801,434,98,0,0,0,2292,75,13,52,28,252
23005011206,4792,2921,1269,451,151,0,0,0,3517,244,87,273,97,574
23005011300,2188,914,644,547,82,1,0,0,1915,42,2,23,21,185
23005011500,5738,1744,1950,1725,319,0,0,0,5167,52,3,18,54,444
23005012001,1400,446,508,385,61,0,0,0,1271,16,1,2,9,101
23005012002,2540,758,779,886,117,0,0,0,2302,37,2,11,20,168
23005013001,1275,390,443,375,67,0,0,0,1143,18,0,8,9,97
23005013002,1844,494,683,568,99,0,0,0,1672,17,1,9,18,127
23005014001,1992,528,645,705,114,0,0,0,1782,32,1,9,14,154
23005014002,1196,311,408,426,51,0,0,0,1054,16,0,6,10,110
23005015000,1857,546,603,623,85,0,0,0,1695,18,0,4,15,125
23005016001,2651,783,895,829,144,0,0,0,2364,36,3,14,18,216
23005016002,1768,554,568,539,107,0,0,0,1544,26,19,9,17,153
23005016500,2969,767,927,1133,142,0,0,0,2725,24,0,6,26,188
23005017002,3192,917,1003,1061,211,0,0,0,2872,40,0,10,34,236
23005017003,2686,757,828,925,176,0,0,0,2416,47,6,7,16,194
23005017004,1903,538,622,649,94,0,0,0,1718,27,3,5,25,125
23005017101,1859,815,533,438,73,0,0,0,1668,35,3,8,14,131
23005017102,2377,959,704,655,59,0,0,0,2105,43,0,8,23,198
23005017303,4194,1675,1319,1087,113,0,0,0,3626,48,5,83,63,369
