FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
35031973100,2595,1442,576,511,17,8,1,25,0,1345,479,9,34,141,587
35031980000,4,3,0,1,0,0,0,0,0,4,0,0,0,0,0
35039000100,1127,898,109,102,5,5,0,5,0,162,933,0,3,12,17
35039000200,1593,1205,200,167,7,5,0,7,0,452,1051,0,13,12,65
35039000301,2406,1780,291,296,10,11,0,9,0,427,1896,1,6,16,60
35039000302,1508,1142,165,180,5,2,0,6,0,274,1164,0,3,12,55
35039000401,1843,1344,249,218,10,3,0,13,0,478,1265,1,15,15,69
35039000402,1614,1159,228,197,5,8,0,12,0,420,1099,0,9,11,75
35039000500,3668,2275,791,520,32,8,0,22,0,1195,2076,37,18,49,293
35039940700,1449,1018,207,208,9,1,0,5,0,243,1128,1,8,16,53
35039940800,1593,1059,254,246,12,3,0,9,0,402,1044,4,34,17,92
35039941000,569,341,77,131,4,1,0,11,0,183,271,0,8,26,81
35039944100,2598,1981,243,330,10,5,0,14,0,503,1959,1,10,16,109
35013000102,2299,1084,644,529,21,4,0,9,0,981,1179,7,14,13,105
35013000103,1925,884,493,499,25,4,0,9,0,760,1053,1,13,11,87
35013000104,3128,1435,970,670,27,7,0,11,0,1465,1435,7,25,24,172
35013000203,1563,683,483,369,14,3,0,8,0,703,751,3,11,19,76
35013000204,2080,978,491,570,13,7,0,12,0,635,1296,5,29,13,102
35013000205,1402,669,386,325,9,2,0,4,0,744,523,1,26,14,94
35013000206,1249,599,272,363,6,4,0,2,0,452,720,5,20,10,42
35013000300,2024,1075,475,438,20,4,0,7,0,900,935,10,19,25,135
35013000401,1273,724,146,362,14,9,0,11,0,288,925,2,9,5,44
35013000402,2995,1620,522,798,21,4,0,11,0,853,2005,9,13,19,96
35013000500,1639,881,307,419,17,6,0,6,0,596,913,6,6,16,102
35013000600,1448,808,217,396,14,6,0,4,0,410,958,5,14,12,49
35013000700,3018,1587,584,786,33,6,0,10,0,923,1910,7,16,22,140
35013000800,2005,926,453,568,34,8,0,8,0,916,887,15,32,24,131
35013000901,1113,560,217,317,6,5,0,5,0,401,615,14,14,13,56
35013000902,1989,945,421,562,35,3,0,6,0,904,902,13,26,24,120
35013001000,538,222,133,167,7,0,0,4,0,256,205,7,8,13,49
35013001102,1706,906,468,309,17,3,0,0,0,807,762,3,11,14,109
