FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
45019003900,1473,779,537,157,0,0,818,29,488,12,13,113
45019004000,1539,1487,40,12,0,0,113,9,1392,1,4,20
45019004300,1433,1380,39,14,0,0,131,14,1270,4,2,12
45019004400,1558,1438,75,45,0,0,173,8,1345,4,9,19
45019004607,3895,1458,1830,607,0,0,3241,91,89,31,61,382
45019004609,5666,2470,2712,484,0,0,3930,144,982,46,78,486
45019004610,3218,1531,1295,392,0,0,2184,74,526,55,45,334
45019004612,5049,2041,2294,714,0,0,4047,153,222,51,87,489
45019004613,1328,421,868,39,0,0,1136,14,56,15,18,89
45019004614,5332,2311,2572,449,0,0,3845,141,694,78,77,497
45019004615,3986,1316,2388,282,0,0,3169,121,152,40,83,421
45019004616,6828,2368,3811,649,0,0,5330,236,315,116,102,729
45019004617,6360,2070,3757,533,0,0,5071,194,210,91,97,697
45019004618,5888,2133,3107,648,0,0,4564,213,233,128,97,653
45019004619,3619,1557,1638,424,0,0,2749,69,372,32,61,336
45019004620,4077,1557,2071,449,0,0,3306,99,135,50,51,436
45019004621,4812,2182,2135,495,0,0,3771,97,320,37,67,520
45019004622,4124,1663,1992,469,0,0,3166,89,394,40,54,381
45019004701,4383,1651,2294,438,0,0,3627,84,224,26,54,368
45019004702,1775,717,815,243,0,0,1384,44,163,9,25,150
45019004800,1664,728,816,120,0,0,1384,21,26,11,24,198
45019004901,1661,559,964,138,0,0,1412,22,18,16,19,174
45019004902,2314,715,1415,184,0,0,2005,24,31,17,42,195
45019005001,1401,738,578,85,0,0,679,15,607,5,10,85
45019005002,2878,1789,941,148,0,0,1364,22,1348,12,12,120
45019005100,1297,789,360,148,0,0,876,24,237,6,19,135
45019005300,3099,2525,255,319,0,0,1235,61,1553,20,36,194
45019005400,1045,947,39,59,0,0,170,19,820,2,6,28
45019005500,806,733,32,41,0,0,124,9,648,1,3,21
45019005601,5977,3023,2163,791,0,0,3873,244,1068,125,82,585
45019005602,5521,2580,2085,856,0,0,3718,257,825,80,86,555
45019005701,4444,1651,2382,411,0,0,3453,91,450,33,54,363
45019005702,2427,1040,1113,274,0,0,1758,87,282,38,53,209
45019005800,5270,2428,2249,593,0,0,3582,171,961,78,70,408
45019005900,2948,2039,548,361,0,0,1718,61,861,29,28,251
45019990100,0,0,0,0,0,0,0,0,0,0,0,0
45023020100,1153,860,163,130,0,0,390,13,720,8,4,18
45023020200,1854,1480,182,192,0,0,573,30,1184,14,5,48
45023020300,2331,2014,167,150,0,0,462,19,1809,1,4,36
45023020400,1719,888,584,247,0,0,1062,17,568,5,7,60
45023020500,2120,1125,686,309,0,0,1327,33,668,5,7,80
45023020601,1773,918,638,217,0,0,1229,12,459,3,6,64
45023020602,2499,1263,904,332,0,0,1686,32,677,9,19,76
45023020700,1372,659,515,198,0,0,861,28,403,12,11,57
45023020800,3476,1308,1591,577,0,0,2394,71,830,5,26,150
45023020900,1463,630,604,229,0,0,1063,13,320,1,12,54
45023021000,1335,768,328,239,0,0,758,12,530,2,5,28
45029970100,1231,739,405,87,0,0,548,13,633,0,6,31
45029970200,1067,379,553,135,0,0,676,19,303,0,4,65
45029970301,2415,923,1190,302,0,0,1442,31,774,16,8,144
45029970302,1440,1039,322,79,0,0,374,9,1024,0,4,29
45029970401,2801,1078,1392,331,0,0,1727,43,873,7,18,133
45029970402,2427,852,1293,282,0,0,1590,39,628,12,12,146
45029970501,2164,1680,329,155,0,0,513,17,1562,0,7,65
45029970502,1567,651,737,179,0,0,929,35,486,17,11,89
45029970601,2338,1001,901,436,0,0,1324,62,802,5,9,136
45029970602,2237,1429,655,153,0,0,781,20,1351,4,8,73
45029970701,2035,684,934,417,0,0,1367,42,504,1,21,100
45029970702,1882,554,952,376,0,0,1335,30,374,2,43,98
45029970800,1972,873,946,153,0,0,1155,15,668,4,2,128
45029990100,0,0,0,0,0,0,0,0,0,0,0,0
45009960101,1035,863,171,1,0,0,357,6,640,0,8,24
45009960102,2225,2104,118,3,0,0,184,9,2016,4,3,9
45009960201,1768,1470,296,2,0,0,832,9,823,18,3,83
45009960202,2790,2241,548,1,0,0,851,13,1854,0,10,62
45009960300,565,340,224,1,0,0,333,10,204,1,1,16
45009960400,944,595,349,0,0,0,569,4,311,0,1,59
45039960100,1541,1296,244,1,0,0,334,7,1172,0,1,27
45039960200,2654,1916,712,26,0,0,1237,25,1303,5,9,75
45039960301,2177,1463,690,24,0,0,903,49,1148,8,11,58
45039960302,2256,1121,1103,32,0,0,1398,23,711,8,15,101
45039960401,2236,1845,358,33,0,0,707,38,1424,9,2,56
45039960402,1426,1162,239,25,0,0,521,20,832,3,4,46
45039960501,1970,1454,496,20,0,0,824,17,1045,0,12,72
45039960502,1709,1428,272,9,0,0,418,14,1233,2,4,38
45063020100,1736,1031,551,154,0,0,884,42,724,12,15,59
45063020201,1606,688,737,181,0,0,1199,36,236,15,18,102
45063020202,1401,706,548,147,0,0,794,35,456,30,11,75
45063020300,2025,884,832,309,0,0,1439,68,354,17,18,129
45063020505,2249,1217,839,193,0,0,1253,109,734,19,20,114
45063020506,2754,972,1520,262,0,0,2062,84,332,43,35,198
45063020508,1617,474,1028,115,0,0,1339,25,79,17,23,134
45063020509,1918,900,867,151,0,0,1266,65,430,16,28,113
45063020510,3062,1603,1245,214,0,0,1522,89,1219,41,45,146
45063020511,1801,1058,563,180,0,0,849,46,740,55,11,100
45063020512,2213,749,1256,208,0,0,1615,76,335,13,27,147
45063020513,1385,505,722,158,0,0,982,41,250,19,14,79
45063020601,2293,1010,980,303,0,0,1529,86,527,19,21,111
45063020602,2847,847,1713,287,0,0,2209,92,333,14,25,174
45063020604,2235,850,1173,212,0,0,1574,55,439,37,12,118
45063020605,1515,580,755,180,0,0,1014,41,342,16,15,87
45063020703,2776,946,1540,290,0,0,2050,74,441,16,28,167
45063020705,1950,1006,756,188,0,0,1005,79,764,7,9,86
45063020706,1933,1428,407,98,0,0,413,93,1376,5,3,43
45063020707,2244,935,1096,213,0,0,1456,86,555,4,27,116
45063020708,1484,449,822,213,0,0,1180,44,140,2,13,105
45063020801,998,399,489,110,0,0,655,22,262,1,9,49
45063020802,1674,677,793,204,0,0,1096,50,432,4,17,75
45063020803,1851,814,789,248,0,0,1238,39,473,2,8,91
45063020804,1358,548,576,234,0,0,978,66,227,3,11,73
45063020806,1256,560,476,220,0,0,890,75,201,2,7,81
45063020807,1380,613,524,243,0,0,921,66,312,4,10,67
45063020904,1825,539,1025,261,0,0,1466,55,170,2,13,119
45063020905,1933,760,829,344,0,0,1408,79,319,6,16,105
45063020906,2169,663,1137,369,0,0,1813,60,106,3,17,170
45063020908,2310,777,1277,256,0,0,1705,82,335,27,22,139
45063020909,1610,509,862,239,0,0,1291,54,143,5,17,100
45063020910,1223,354,662,207,0,0,1042,32,34,3,9,103
45063020911,1174,358,638,178,0,0,970,44,64,1,9,86
45063020912,1737,820,702,215,0,0,1008,83,496,30,19,101
45063020913,1317,617,555,145,0,0,739,82,403,5,13,75
45063021019,1552,490,939,123,0,0,1153,41,136,83,23,116
45063021020,2748,880,1520,348,0,0,2152,104,252,44,31,165
45063021021,1684,311,1255,118,0,0,1502,31,13,6,22,110
45063021023,2033,639,1141,253,0,0,1565,78,191,15,27,157
45063021025,3452,812,2398,242,0,0,2917,83,88,66,42,256
45063021028,2530,815,1476,239,0,0,1899,85,315,39,20,172
45063021029,2159,839,1077,243,0,0,1458,61,485,33,8,114
45063021030,3043,1063,1656,324,0,0,2283,104,392,19,24,221
45063021031,2944,892,1776,276,0,0,2308,102,221,47,17,249
45063021032,2695,761,1665,269,0,0,2162,67,173,50,25,218
45063021033,2854,1026,1530,298,0,0,2035,93,507,27,35,157
45063021034,3067,1054,1721,292,0,0,2251,120,489,20,29,158
45063021035,1969,686,1045,238,0,0,1456,69,303,6,21,114
45063021036,2576,876,1418,282,0,0,1783,136,441,9,36,171
45063021037,2660,861,1538,261,0,0,1908,133,387,26,18,188
45063021038,2322,729,1377,216,0,0,1695,106,214,109,33,165
45063021039,2907,686,2014,207,0,0,2443,65,56,90,35,218
45063021040,3198,969,1954,275,0,0,2390,158,303,87,52,208
45063021041,1532,482,880,170,0,0,1133,64,189,15,21,110
45063021042,1827,630,938,259,0,0,1355,69,239,14,27,123
45063021043,2001,735,1044,222,0,0,1356,74,406,25,16,124
45063021044,1912,728,970,214,0,0,1275,82,387,9,18,141
45063021045,2035,700,1147,188,0,0,1474,99,254,38,30,140
45063021046,1684,367,1197,120,0,0,1449,33,44,10,9,139
45063021047,2283,516,1664,103,0,0,1954,65,51,20,24,169
45063021048,1804,432,1208,164,0,0,1478,52,88,33,26,127
45063021049,1729,504,1070,155,0,0,1392,58,98,38,18,125
45063021050,2170,555,1433,182,0,0,1752,67,139,42,24,146
45063021051,1749,621,877,251,0,0,1274,56,298,9,10,102
45063021052,1884,663,906,315,0,0,1419,93,241,10,17,104
45063021106,2205,863,1211,131,0,0,1498,47,491,22,15,132
45063021109,2338,1093,1045,200,0,0,1560,46,533,51,22,126
45063021110,2150,894,1105,151,0,0,1445,65,459,22,22,137
45063021111,1564,858,574,132,0,0,780,54,627,7,20,76
45063021112,2126,847,1128,151,0,0,1461,47,397,39,34,148
45063021113,2092,970,936,186,0,0,1240,80,568,45,53,106
45063021114,3060,931,1955,174,0,0,2318,77,288,50,57,270
45063021115,2090,691,1156,243,0,0,1589,71,245,23,27,135
45063021116,2494,1021,1288,185,0,0,1656,89,538,19,39,153
45063021204,3307,1039,1911,357,0,0,2618,120,256,25,17,271
45063021205,3065,628,2260,177,0,0,2650,65,40,17,28,265
45063021206,2465,619,1651,195,0,0,1988,59,188,9,14,207
45063021207,1796,380,1312,104,0,0,1559,32,31,15,13,146
45063021208,3802,974,2507,321,0,0,3243,78,129,18,22,312
45063021303,3884,754,2859,271,0,0,3466,58,31,22,42,265
45063021305,1874,587,1068,219,0,0,1557,36,145,0,8,128
45063021306,2628,667,1689,272,0,0,2193,102,127,3,22,181
45063021307,1092,328,595,169,0,0,920,31,60,7,5,69
45063021309,1326,273,944,109,0,0,1164,29,14,0,11,108
45063021310,1768,448,1167,153,0,0,1416,44,138,8,12,150
45063021311,1372,354,829,189,0,0,1134,39,64,5,9,121
45063021312,1143,402,591,150,0,0,832,26,195,5,12,73
45063021402,2474,1267,1066,141,0,0,1267,51,1067,3,11,75
45063021403,1128,388,588,152,0,0,841,46,160,3,4,74
45063021404,2053,698,1186,169,0,0,1452,36,459,5,8,93
45063980100,107,48,43,16,0,0,70,3,27,2,0,5
45045000100,1077,490,445,142,0,0,870,40,48,7,17,95
45045000200,1084,494,427,163,0,0,861,33,69,13,18,90
45045000400,1035,534,364,137,0,0,718,27,167,11,24,88
45045000500,974,758,173,43,0,0,404,12,488,8,7,55
