FULLCODE,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
25005630101,1801,1162,402,209,12,2,0,13,0,1404,108,16,31,58,184
25005630102,2711,1761,567,327,15,5,5,21,0,2127,185,28,51,82,238
25005630201,2342,1587,400,340,8,0,1,3,0,1926,87,8,29,50,242
25005630202,3924,2534,716,627,16,4,0,20,0,3150,142,10,138,100,384
25005630301,4373,2876,753,701,14,3,3,19,0,3444,240,12,145,159,373
25005630302,1895,1232,363,275,11,2,0,7,0,1541,102,7,37,56,152
25005630400,3550,2334,636,534,13,5,5,16,0,2853,172,24,83,104,314
25005631101,1835,1179,412,207,13,3,0,18,0,1302,196,13,47,54,223
25005631102,3368,2244,685,389,24,2,1,22,0,2481,351,41,89,88,318
25005631200,5006,3284,1023,631,23,1,1,39,0,3788,433,23,124,150,488
25005631300,3584,2252,853,428,19,3,2,16,0,2726,288,34,106,92,338
25005631400,1362,822,399,117,5,2,0,14,0,888,220,46,36,27,145
25005631500,2031,1304,501,195,12,0,2,15,0,1419,287,25,45,47,208
25005631600,2030,1263,541,185,15,2,2,16,0,1291,345,44,89,47,214
25005631700,4601,3059,941,536,26,2,1,33,0,3559,344,54,92,94,458
25005631800,5236,3360,1183,618,20,8,3,36,0,3942,418,72,125,131,548
25005632100,4977,3398,930,572,19,2,7,38,0,3594,587,13,61,120,602
25005632200,5717,3832,1130,667,29,2,3,47,0,3735,954,13,122,160,733
25005633100,4276,2880,606,713,33,3,2,34,0,3167,488,4,45,65,507
25005633200,5012,3323,796,820,24,3,4,33,0,3503,670,3,55,82,699
25005640100,3033,1524,1153,299,23,3,2,26,0,1281,1048,15,61,39,589
25005640201,1103,588,418,82,3,0,0,11,0,470,371,10,8,16,228
25005640202,1811,848,744,187,11,2,0,16,0,878,538,9,37,19,330
25005640300,2101,1059,839,173,14,3,0,11,0,937,731,21,36,15,361
25005640400,1579,819,564,169,9,3,3,11,0,777,444,10,15,17,316
25005640500,2627,1326,1005,243,29,1,2,21,0,1246,777,24,52,32,496
25005640600,2163,1094,821,199,14,6,5,23,0,871,734,41,42,25,450
25005640700,1611,852,591,136,16,1,2,12,0,729,497,8,25,31,321
25005640800,1792,939,658,162,8,0,3,19,0,719,616,18,38,28,373
25005640901,2275,1184,880,171,15,1,1,16,0,943,772,48,30,28,454
25005641000,1059,521,461,51,11,1,2,11,0,437,355,12,10,15,230
25005641101,935,417,421,80,7,0,1,8,0,450,317,19,11,9,129
25005641200,1260,611,525,99,4,3,1,15,0,513,440,24,12,13,258
25005641300,2382,1210,960,163,13,3,3,26,0,865,912,49,47,57,452
25005641400,1320,664,527,110,8,2,0,7,0,561,444,16,35,22,242
25005641500,1281,653,495,116,7,1,1,7,0,632,389,16,16,19,209
25005641600,1344,711,470,142,10,1,0,10,0,664,367,5,10,30,268
25005641700,2969,1393,1231,291,25,4,0,23,0,1419,894,13,26,77,540
25005641800,1115,598,387,115,6,1,0,4,0,650,251,16,13,24,161
