FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
12086005504,1770,526,655,571,1,1,0,1,0,32,1689,15,12,10,12
12086005505,1453,398,529,509,2,2,0,0,0,22,1402,6,14,6,3
12086005506,1486,391,606,474,1,0,1,0,0,40,1414,10,4,7,11
12086005600,2743,744,1129,837,6,1,1,1,0,143,2529,18,10,23,20
12086005701,3067,734,1340,945,1,1,0,0,0,62,2962,13,5,10,15
12086005705,1348,439,444,449,0,0,0,0,0,13,1313,13,3,2,4
12086005706,1727,431,697,579,0,2,0,0,0,52,1622,13,5,19,16
12086005707,717,206,282,222,0,0,0,0,0,14,694,3,2,3,1
12086005708,2582,713,1035,797,4,2,0,1,0,52,2495,9,4,5,17
12086005803,2624,629,1195,756,2,0,0,2,0,49,2532,12,8,8,15
12086005804,1932,484,816,604,0,1,0,0,0,53,1840,10,15,7,7
12086005805,1618,419,697,473,2,2,0,1,0,50,1524,13,5,4,22
12086005806,2016,505,923,557,2,3,0,0,0,55,1910,16,15,7,13
12086005901,2550,627,1161,725,5,1,1,1,0,132,2351,17,6,13,31
12086005902,2155,495,977,652,4,1,0,0,0,84,2033,12,7,7,12
12086005903,2716,689,1120,863,1,0,0,0,0,117,2550,12,8,9,20
12086005904,3104,812,1292,949,5,3,0,0,0,223,2748,51,19,21,42
12086006002,3608,1038,1457,1066,10,2,1,0,0,368,3097,30,20,22,71
12086006003,2190,533,986,633,6,2,0,0,0,149,1964,13,18,13,33
12086006004,2177,582,984,590,3,0,1,1,0,314,1743,16,21,28,55
12086006103,1615,592,570,426,3,0,0,0,0,540,901,10,34,46,84
12086006104,3442,1051,1363,976,8,3,0,0,0,939,2219,25,36,62,161
12086006105,1812,611,656,522,4,0,0,0,0,450,1202,12,22,54,72
12086006106,2005,667,767,549,7,0,0,1,0,445,1402,18,24,33,83
12086006201,1547,591,468,466,1,0,1,0,0,226,1221,25,17,23,35
12086006203,1573,617,430,499,5,0,0,1,0,422,977,11,25,30,108
12086006205,2133,758,572,754,6,2,0,0,0,325,1635,47,28,29,69
12086006206,2366,914,641,771,6,2,0,0,0,649,1444,37,40,49,147
12086006302,3131,988,1090,1000,8,0,1,3,0,276,2699,24,21,36,75
12086006303,1703,476,650,555,1,0,0,0,0,74,1576,21,2,15,15
12086006304,1387,410,520,431,5,2,0,1,0,89,1257,19,7,3,12
12086006401,1620,498,574,513,1,1,0,0,0,80,1473,24,14,11,18
12086006402,1858,626,536,668,3,0,0,0,0,162,1565,54,16,14,47
12086006403,1711,566,548,578,1,0,0,0,0,147,1461,24,28,17,34
12086006501,1861,584,644,601,3,1,0,0,0,150,1627,19,10,10,45
12086006503,1453,453,544,426,10,2,0,1,0,144,1226,12,27,19,25
12086006504,1393,445,507,420,4,0,0,1,0,144,1145,17,15,30,42
12086006603,1095,447,229,394,5,1,1,0,0,211,731,59,28,18,48
12086006604,1080,425,262,367,3,1,0,0,0,138,786,51,21,35,49
12086006605,836,344,176,304,1,1,0,0,0,201,465,37,30,38,65
12086006606,613,244,130,231,2,0,0,0,0,30,526,43,1,6,7
12086006607,1431,514,383,513,3,1,0,0,0,86,1278,30,5,15,17
12086006608,2146,687,738,686,7,2,0,0,0,305,1701,25,15,41,59
12086006705,2561,806,670,1045,3,1,0,0,0,553,1701,37,47,66,157
12086006706,1541,536,398,585,3,2,0,0,0,303,1066,22,27,46,77
12086006707,2330,717,562,1003,2,2,0,0,0,574,1392,63,46,86,169
12086006709,984,325,249,392,3,0,0,0,0,348,346,58,42,65,125
12086006713,1213,424,264,503,6,0,0,0,0,340,627,46,43,49,108
12086006714,1396,471,354,548,3,0,0,0,0,394,818,17,28,48,91
12086006715,2428,885,596,902,5,1,0,0,0,514,1648,72,29,53,112
12086006716,582,180,123,262,1,1,0,0,0,199,232,29,27,29,66
12086006717,1123,461,184,462,2,1,0,0,0,367,499,42,59,40,116
12086006718,1194,370,318,474,2,0,0,0,0,427,494,37,46,57,133
12086006719,1102,401,264,405,8,1,0,1,0,422,402,62,51,51,114
12086006720,1397,504,277,588,4,2,0,0,0,403,679,58,39,77,141
12086006721,1182,433,257,470,4,0,0,0,0,419,474,55,39,56,139
12086006722,889,305,218,347,4,1,0,0,0,212,513,53,15,31,65
12086006801,2496,1067,576,804,7,1,1,0,0,1214,858,36,49,71,268
12086006802,2905,1159,845,863,6,3,0,0,0,1013,1429,26,47,103,287
12086006901,1834,560,652,596,2,1,0,0,0,218,1497,23,22,33,41
12086006902,1821,648,544,594,7,5,1,0,0,256,1425,36,14,40,50
12086007003,2037,700,637,665,1,0,1,1,0,189,1722,41,17,29,39
12086007004,2522,816,780,884,2,2,1,0,0,302,2059,40,29,28,64
12086007005,1154,366,356,418,1,1,0,0,0,130,946,25,23,10,20
12086007006,1760,617,512,599,3,1,0,1,0,155,1504,27,19,17,38
12086007007,1006,389,249,355,2,1,1,0,0,209,665,41,11,25,55
12086007101,1763,1008,277,453,2,2,0,2,0,333,697,591,18,36,88
12086007103,1287,569,251,448,3,2,0,0,0,572,474,38,28,39,136
12086007104,2201,1030,391,742,5,3,0,1,0,866,953,90,30,41,221
12086007200,1828,1287,122,408,1,3,0,1,0,217,307,1221,4,22,57
12086007300,3107,1426,662,985,4,1,0,0,0,1461,1119,53,59,87,328
12086007401,1292,419,496,366,2,0,0,0,0,354,777,14,18,47,82
12086007402,2222,763,796,624,3,1,1,0,0,654,1353,41,23,51,100
12086007403,2380,827,803,707,8,0,0,0,0,830,1164,50,62,75,199
12086007501,2116,582,939,571,4,0,0,0,0,595,1333,12,38,44,94
12086007503,628,225,200,192,2,1,0,0,0,210,341,7,6,16,48
12086007601,2002,717,687,562,4,2,1,0,0,542,1289,22,14,28,107
12086007603,2669,1547,430,668,1,2,0,0,0,526,866,1045,38,61,133
12086007605,2473,849,824,753,7,3,0,0,0,518,1711,61,34,48,101
12086007607,1896,659,661,550,1,1,0,0,0,412,1338,17,23,24,82
12086007608,1795,845,416,510,5,0,0,0,0,474,902,283,27,38,71
12086007609,1024,423,258,322,3,1,0,1,0,262,619,61,18,19,45
12086007610,2927,1080,892,905,5,1,0,0,0,964,1592,83,54,49,185
12086007704,3390,1161,1078,1081,10,3,1,0,0,630,2286,133,64,92,185
12086007705,2791,774,1210,772,5,0,0,0,0,427,2153,63,28,41,79
12086007706,2588,720,1113,720,5,2,0,1,0,516,1880,37,40,44,71
12086007707,1788,349,949,467,3,2,0,1,0,161,1568,2,16,11,30
12086007708,2134,449,1038,617,2,2,0,0,0,122,1978,8,3,2,21
12086007709,2128,507,1000,585,2,0,0,0,0,145,1931,11,16,4,21
12086007801,662,219,254,181,1,0,0,0,0,274,256,3,26,19,84
12086007805,3643,1110,1565,920,8,1,0,0,0,820,2475,51,51,66,180
12086007806,3108,1033,1139,895,1,0,0,0,0,1132,1414,41,99,110,312
12086007807,3063,1167,957,896,9,0,0,0,0,998,1575,29,98,107,256
12086007808,2283,815,659,766,6,2,0,1,0,422,1569,80,47,45,120
12086007809,2250,931,547,738,3,2,0,0,0,451,1505,101,50,47,96
12086007901,2620,810,995,777,2,3,0,0,0,799,1516,26,37,56,186
12086007902,2426,952,782,667,4,0,0,0,0,923,1178,33,38,69,185
