FULLCODE,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
20173009303,1854,797,571,464,22,0,0,1534,107,33,31,24,125
20173009304,1338,426,491,400,21,0,0,1010,126,60,17,10,115
20173009401,2724,1296,775,621,32,0,0,2274,178,21,29,11,211
20173009402,1655,814,430,399,12,0,0,1421,55,8,14,17,140
20173009504,3062,1459,854,702,47,0,0,2486,182,18,53,25,298
20173009505,2286,1248,515,507,16,0,0,1913,127,4,29,24,189
20173009506,3208,1491,989,691,37,0,0,2595,227,21,47,29,289
20173009507,4559,2640,1143,741,35,0,0,3772,213,10,52,40,472
20173009508,2195,1191,632,347,25,0,0,1855,112,0,21,18,189
20173009509,4807,2813,1302,658,34,0,0,4041,219,6,73,35,433
20173009510,3681,2012,930,717,22,0,0,3060,185,4,66,42,324
20173009511,4457,2025,1482,905,45,0,0,3515,350,25,131,39,397
20173009512,2958,1576,722,625,35,0,0,2468,140,14,44,21,271
20173009513,3039,1349,887,769,34,0,0,2456,228,24,80,25,226
20173009514,2952,1881,605,446,20,0,0,2460,104,7,98,30,253
20173009515,4346,2177,1241,881,47,0,0,3411,302,15,142,63,413
20173009603,1809,785,625,381,18,0,0,1423,113,20,97,9,147
20173009604,1743,953,527,236,27,0,0,1549,34,1,8,5,146
20173009605,3983,2134,1165,637,47,0,0,3336,160,5,85,30,367
20173009700,3966,1989,1270,655,52,0,0,3404,167,3,27,26,339
20173009801,2663,1105,927,576,55,0,0,2242,153,6,13,23,226
20173009803,3541,1746,1063,704,28,0,0,2960,145,13,45,27,351
20173009804,2399,1171,764,436,28,0,0,2081,78,3,14,22,201
20173009901,3337,1782,934,583,38,0,0,2831,106,15,44,33,308
20173009902,3949,2035,1174,693,47,0,0,3462,120,5,20,22,320
20173010001,3454,1944,878,600,32,0,0,2806,81,33,150,75,309
20173010002,3446,1837,927,649,33,0,0,2519,123,60,368,67,309
20173010003,1259,434,482,327,16,0,0,832,87,105,140,15,80
20173010005,2448,1157,807,441,43,0,0,2080,115,6,32,22,193
20173010006,1063,549,315,186,13,0,0,878,37,2,54,8,84
20173010007,4057,2054,1195,767,41,0,0,3420,170,12,61,38,356
20173010106,2204,1079,580,527,18,0,0,1651,97,52,102,94,208
20173010107,2572,1140,607,799,26,0,0,1919,129,141,77,69,237
20173010108,1777,977,372,407,21,0,0,1378,25,41,69,108,156
20173010109,1301,478,412,398,13,0,0,806,74,176,53,67,125
20173010110,1304,708,266,321,9,0,0,1029,49,9,35,53,129
20173010111,5458,2599,1467,1340,52,0,0,4173,272,185,151,158,519
20173010113,3255,1570,899,744,42,0,0,2600,129,122,52,65,287
20173010115,6107,3384,1572,1099,52,0,0,4620,206,77,397,220,587
20173010116,2595,1395,705,465,30,0,0,2039,94,46,91,56,269
20173010201,3218,1642,1007,524,45,0,0,2820,125,3,19,17,234
20173010202,3363,1961,880,493,29,0,0,2887,103,11,42,17,303
20173010301,5763,3089,1560,1077,37,0,0,4641,285,22,217,88,510
20173010302,5705,3078,1645,922,60,0,0,4747,315,16,73,49,505
20173010400,1440,775,421,225,19,0,0,1236,61,0,8,6,129
20173010500,3095,2059,669,338,29,0,0,2660,48,0,35,31,321
20173010600,2914,1862,683,347,22,0,0,2520,37,0,10,17,330
20173010700,2158,1308,544,289,17,0,0,1899,30,0,10,8,211
20173010801,1651,482,544,609,16,0,0,1067,120,199,60,57,148
20173010802,1913,563,670,651,29,0,0,1299,99,124,93,97,201
20173010900,2826,1306,671,815,34,0,0,2340,121,20,32,48,265
20185470600,999,710,154,125,10,0,0,861,39,1,4,8,86
20185470700,1417,1059,196,154,8,0,0,1208,87,0,8,6,108
20033967600,1084,850,108,119,7,0,0,991,13,1,6,8,65
20009971100,2565,1783,465,306,11,0,0,2125,52,0,12,27,349
20009971200,1159,777,210,168,4,0,0,960,22,0,5,10,162
20009971300,1885,1155,425,289,16,0,0,1605,48,1,4,12,215
20009971400,1293,719,336,224,14,0,0,992,135,16,5,9,136
20009971500,2185,1490,403,283,9,0,0,1785,86,5,15,13,281
20009971600,2373,1439,527,383,24,0,0,1956,146,3,18,15,235
20009971700,1105,484,392,217,12,0,0,771,224,2,5,7,96
20009971801,2777,1659,669,432,17,0,0,2149,259,52,23,9,285
20037956600,2772,928,895,925,24,0,0,2386,47,5,8,21,305
20037956700,2597,1202,752,627,16,0,0,2326,30,1,15,13,212
20037956800,2229,1017,593,605,14,0,0,1988,27,5,9,3,197
20037956900,2783,953,764,1052,14,0,0,2361,57,2,21,21,321
20037957000,2003,755,627,599,22,0,0,1714,76,15,12,18,168
20037957100,1259,362,490,392,15,0,0,1068,53,9,16,4,109
20037957200,1107,358,385,355,9,0,0,966,43,3,5,9,81
20037957300,1739,666,534,526,13,0,0,1504,50,9,7,15,154
20037957400,1286,469,417,375,25,0,0,1125,32,11,10,8,100
20037957500,1326,405,488,414,19,0,0,1103,66,19,7,10,121
20037957601,2549,1028,756,742,23,0,0,2118,79,15,33,51,253
20037957602,1253,431,440,358,24,0,0,1047,37,21,11,12,125
20027458100,2509,1841,419,228,21,0,0,2193,38,2,14,14,248
20027458200,2850,1963,527,329,31,0,0,2495,51,5,17,20,262
20023950200,1770,1338,231,190,11,0,0,1491,50,1,9,7,212
20051072600,1855,1080,412,348,15,0,0,1659,19,0,4,13,160
20051072701,3470,1779,892,757,42,0,0,2913,90,5,35,33,394
20051072702,1899,1057,511,315,16,0,0,1564,70,2,12,23,228
20051072801,3477,1853,852,737,35,0,0,2894,104,6,30,24,419
20051072802,2142,1323,440,364,15,0,0,1795,73,6,23,24,221
20051072901,1580,658,507,386,29,0,0,1291,81,3,10,22,173
20051072902,989,377,367,225,20,0,0,733,114,2,13,15,112
20051073000,2455,1336,638,457,24,0,0,2102,35,2,4,19,293
20129964600,1687,1220,279,176,12,0,0,1343,225,1,16,9,93
20107955101,1848,1101,473,264,10,0,0,1666,29,4,7,8,134
20107955102,1878,1033,537,289,19,0,0,1670,38,1,9,14,146
20107955200,2909,1833,628,422,26,0,0,2644,48,7,8,9,193
20097969100,1357,1107,119,125,6,0,0,1229,15,1,8,3,101
20125950100,1098,735,234,117,12,0,0,975,24,0,4,8,87
20125950200,1691,1015,412,248,16,0,0,1515,41,1,8,12,114
20125950300,2478,1544,493,422,19,0,0,2096,101,20,23,9,229
20125950400,1388,702,335,330,21,0,0,1186,57,23,11,5,106
20125950500,924,468,260,185,11,0,0,768,25,49,2,7,73
20125950600,1700,928,395,357,20,0,0,1373,58,90,12,4,163
20125950700,2139,1462,344,316,17,0,0,1931,29,0,4,15,160
20125950800,2455,1349,472,616,18,0,0,2155,54,25,24,28,169
20125951000,713,275,223,207,8,0,0,562,42,49,3,3,54
20125951100,1389,601,393,387,8,0,0,1161,46,64,7,7,104
20125951300,1094,697,229,156,12,0,0,976,35,0,7,4,72
20125951400,801,279,229,285,8,0,0,623,33,84,2,3,56
20041084100,2602,1779,509,293,21,0,0,2215,64,3,14,22,284
20041084200,1744,1130,380,222,12,0,0,1476,34,2,21,15,196
20041084300,1411,866,307,221,17,0,0,1217,48,6,7,14,119
20041084400,3231,1975,736,484,36,0,0,2772,118,6,14,13,308
20041084500,1936,1241,440,237,18,0,0,1624,36,7,5,16,248
20041084600,1380,678,399,295,8,0,0,1159,51,1,4,12,153
20065952300,1552,1143,223,179,7,0,0,1355,15,11,6,17,148
20167973800,2753,1887,516,331,19,0,0,2361,64,5,32,7,284
20167973900,1552,1083,241,223,5,0,0,1329,16,0,14,5,188
20089576300,1930,1376,369,169,16,0,0,1733,23,1,3,8,162
20161000201,1267,513,382,350,22,0,0,1020,63,32,16,16,120
20161000202,3379,1236,1099,989,55,0,0,2695,216,61,37,37,333
20161000303,434,135,158,126,15,0,0,330,30,6,8,6,54
20161000304,2214,878,609,683,44,0,0,1817,111,20,46,26,194
20161000500,2056,640,679,679,58,0,0,1643,125,21,26,29,212
20161000601,2475,1156,591,709,19,0,0,1951,103,24,92,29,276
20161000602,3539,1494,1012,974,59,0,0,2759,151,96,122,62,349
20161000700,1888,667,536,659,26,0,0,1526,98,13,33,20,198
20161000801,1716,482,570,609,55,0,0,1316,130,22,23,26,199
20161000802,1180,318,403,439,20,0,0,904,77,68,14,11,106
20161000900,2923,1334,852,693,44,0,0,2330,133,82,38,38,302
20161001002,823,244,384,174,21,0,0,501,161,44,12,18,87
20161001101,1085,346,363,356,20,0,0,830,69,19,18,18,131
20161001102,2044,926,512,584,22,0,0,1646,101,28,52,12,205
20161001301,2485,1203,572,686,24,0,0,1976,87,38,86,57,241
20161001302,3598,2209,789,561,39,0,0,3058,96,3,30,21,390
20161980000,0,0,0,0,0,0,0,0,0,0,0,0,0
20133951600,2452,1398,611,426,17,0,0,2174,25,1,18,19,215
20133951700,1344,587,470,270,17,0,0,1154,56,9,5,10,110
20133951800,2659,1317,795,516,31,0,0,2266,116,44,24,10,199
20133951900,1825,876,556,371,22,0,0,1556,79,7,17,19,147
20133952000,1609,878,458,262,11,0,0,1433,21,0,8,2,145
20193953100,3590,2446,683,429,32,0,0,3032,96,7,12,27,416
20193953400,1356,1042,196,106,12,0,0,1149,44,1,5,5,152
20113788100,1661,1125,343,183,10,0,0,1451,23,2,10,9,166
20113788200,2405,1229,556,597,23,0,0,2115,52,7,12,24,195
20113788300,1915,1311,343,245,16,0,0,1680,26,1,8,15,185
20113788400,4190,2560,891,696,43,0,0,3607,115,5,45,39,379
20113788500,928,471,258,187,12,0,0,792,38,4,3,7,84
20113788600,3199,1820,808,527,44,0,0,2716,129,11,23,15,305
20113788700,3348,2111,773,421,43,0,0,2849,50,6,21,28,394
20063955300,1968,1492,259,212,5,0,0,1665,31,1,8,28,235
20145970200,2425,1483,509,406,27,0,0,2050,138,15,11,13,198
20145970300,1104,758,170,172,4,0,0,972,42,0,6,7,77
20049965100,1634,1140,258,227,9,0,0,1492,40,0,6,5,91
20021958100,1791,827,479,470,15,0,0,1633,16,4,4,10,124
20021958200,1389,755,323,301,10,0,0,1280,15,0,5,7,82
20021958300,2388,1198,562,600,28,0,0,2133,44,2,7,24,178
20021958400,2450,1188,714,529,19,0,0,2248,22,2,16,9,153
20021958500,2232,979,778,456,19,0,0,2040,39,6,6,2,139
20021958600,2691,1172,886,606,27,0,0,2398,55,7,11,19,201
20099950100,1855,690,691,451,23,0,0,1535,92,36,16,15,161
20099950200,1248,348,524,363,13,0,0,979,59,104,12,7,87
20099950300,1665,575,673,400,17,0,0,1415,62,30,12,18,128
20099950400,1961,755,659,525,22,0,0,1666,57,76,20,3,139
20099950500,2469,1288,726,440,15,0,0,2228,24,1,13,8,195
20099950600,1716,1004,427,278,7,0,0,1503,23,0,4,8,178
20099950700,1229,664,369,188,8,0,0,1115,13,4,8,2,87
20099950800,823,343,302,169,9,0,0,728,10,12,2,1,70
20085082600,3451,1815,930,682,24,0,0,3000,50,7,18,24,352
20085082700,2599,1335,679,569,16,0,0,2246,56,5,8,12,272
20085082800,2565,1293,706,543,23,0,0,2087,84,4,11,106,273
20079030100,2990,1210,728,1037,15,0,0,2411,243,6,18,25,287
20079030200,3563,1595,896,1055,17,0,0,2941,271,17,22,24,288
20079030300,3569,1550,989,1011,19,0,0,2713,471,25,33,32,295
20079030400,3303,1439,910,914,40,0,0,2654,324,16,24,31,254
20079030500,4190,2564,913,676,37,0,0,3679,93,3,20,26,369
20079030601,2353,1527,454,350,22,0,0,2011,76,3,11,15,237
