FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
48289950201,1715,231,1219,265,0,0,1406,138,12,20,6,133
48289950202,2611,344,1871,396,0,0,2258,114,45,17,9,168
48289950301,888,157,613,118,0,0,725,42,67,3,2,49
48289950302,2281,380,1616,285,0,0,1761,145,197,17,8,153
48119950100,2109,454,1339,316,0,0,1789,131,31,11,9,138
48119950200,1550,417,822,311,0,0,1240,81,113,9,12,95
48227950100,1384,344,805,235,0,0,979,314,2,9,1,79
48227950200,1234,260,794,180,0,0,886,279,3,7,7,52
48227950300,830,489,205,136,0,0,199,559,46,7,0,19
48227950400,1471,555,577,339,0,0,857,518,19,15,5,57
48227950500,1686,712,635,339,0,0,875,714,17,10,5,65
48227950600,2253,687,1184,382,0,0,1465,638,11,20,9,110
48227950700,1557,686,577,294,0,0,822,649,11,11,8,56
48227950801,1974,714,953,307,0,0,1155,690,25,19,11,74
48227950802,760,371,229,160,0,0,369,326,13,7,4,41
48227950900,2822,410,1984,428,0,0,2254,333,3,43,16,173
48475950100,2497,820,959,718,0,0,1293,1027,11,16,4,146
48475950200,2308,798,989,521,0,0,1216,936,39,11,8,98
48475950300,1582,641,443,498,0,0,563,914,16,9,7,73
48209010100,2581,1338,432,811,0,0,1529,638,116,43,37,218
48209010200,3515,1718,198,1599,0,0,1917,1099,116,62,44,277
48209010302,2316,1417,242,657,0,0,982,1092,46,34,16,146
48209010305,2875,1632,305,938,0,0,1444,1089,82,50,29,181
48209010306,1524,947,205,372,0,0,614,775,27,17,14,77
48209010307,1013,533,76,404,0,0,531,352,24,23,15,68
48209010308,1028,589,57,382,0,0,476,419,37,16,12,68
48209010309,2435,1286,188,961,0,0,1222,892,79,38,28,176
48209010401,2258,1508,343,407,0,0,816,1298,28,16,11,89
48209010402,4516,2600,985,931,0,0,1966,1884,289,67,39,271
48209010500,3327,2028,528,771,0,0,1321,1474,263,44,24,201
48209010601,2335,1290,406,639,0,0,1397,681,21,29,31,176
48209010602,4517,1824,2284,409,0,0,3080,777,256,53,58,293
48209010603,2783,1211,1086,486,0,0,1846,577,110,38,24,188
48209010702,2222,962,765,495,0,0,1516,472,25,29,29,151
48209010703,3456,1777,629,1050,0,0,2234,784,29,49,60,300
48209010704,1280,562,434,284,0,0,855,279,12,11,9,114
48209010806,3189,1025,1865,299,0,0,2635,216,7,32,46,253
48209010807,2299,718,1310,271,0,0,1884,190,2,21,22,180
48209010809,5585,1901,3076,608,0,0,4396,450,18,110,71,540
48209010810,1994,754,995,245,0,0,1658,169,5,6,13,143
48209010811,1681,579,901,201,0,0,1377,115,2,14,13,160
48209010812,4119,1503,2242,374,0,0,3386,303,2,38,36,354
48209010813,1747,560,964,223,0,0,1441,142,1,3,16,144
48209010814,2879,999,1470,410,0,0,2463,182,5,11,21,197
48209010815,2053,737,1024,292,0,0,1653,185,5,29,27,154
48209010816,6272,2223,3491,558,0,0,4807,640,12,176,129,508
48209010817,4573,1437,2445,691,0,0,3704,364,10,46,70,379
48209010818,1539,476,895,168,0,0,1329,85,4,11,11,99
48209010905,6571,3216,2538,817,0,0,3770,2065,239,68,61,368
