FULLCODE,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
34003057200,1636,497,790,322,5,11,2,0,976,372,2,15,83,188
34003058100,3076,798,1146,1111,8,1,1,0,2033,252,4,129,260,398
34003058200,4386,1151,1663,1535,13,5,2,0,3108,272,5,169,279,553
34003059100,3509,1380,1236,860,9,3,5,0,2280,360,198,153,148,370
34003059200,4524,1501,1635,1356,15,2,2,0,3272,395,5,176,188,488
34003060001,2673,952,1145,557,8,2,0,0,1630,483,15,160,112,273
34003060002,4136,1631,1681,785,14,3,6,0,2551,613,17,355,200,400
34003061100,3697,940,1402,1337,6,4,1,0,2669,205,8,158,207,450
34003061200,2868,709,1083,1063,2,4,1,0,2173,121,6,77,105,386
34003061300,2763,646,1089,1020,4,0,0,0,1989,134,0,70,134,436
34003061400,4109,1047,1562,1477,5,3,4,0,2992,220,15,165,233,484
34029710101,2194,440,665,1068,7,5,0,0,1791,115,5,10,63,210
34029710102,1704,379,617,695,3,4,0,0,1378,85,1,14,29,197
34029711100,3574,850,1481,1203,17,10,1,0,2973,154,2,16,58,371
34029711200,3318,801,1401,1079,11,5,3,0,2768,146,0,19,54,331
34029711300,3193,748,1307,1107,8,4,2,0,2601,118,3,25,74,372
34029711400,4774,942,1957,1832,15,9,2,0,4000,206,1,23,61,483
34029713000,3097,721,1390,942,14,7,2,0,2425,235,12,34,61,330
34029713100,4974,1190,2200,1498,30,10,9,0,3999,343,21,39,100,472
34029713201,2053,471,789,773,4,1,1,0,1709,100,0,19,43,182
34029713202,2831,685,1301,814,6,4,1,0,2212,242,24,24,67,262
34029713203,3527,944,1483,1039,18,6,4,0,2632,335,136,41,60,323
34029713300,3437,935,1209,1264,7,1,4,0,2824,184,8,35,58,328
34029713401,3521,972,1605,881,20,5,12,0,2610,354,37,41,83,396
34029713402,2531,682,1104,707,11,5,0,0,1874,295,15,25,61,261
34029713500,2538,581,957,970,7,9,2,0,2118,113,5,37,34,231
34029713600,2841,653,1263,887,13,7,2,0,2338,134,1,20,57,291
34029713700,2238,440,874,904,8,2,2,0,1807,95,1,12,53,270
34029713800,2692,614,1112,927,8,9,5,0,2127,175,8,21,67,294
34029713900,3923,985,1734,1118,22,11,9,0,2885,464,12,60,94,408
34029714000,4518,1090,1853,1489,26,14,5,0,3594,365,5,46,96,412
34029714100,2823,702,1017,1077,6,3,2,0,2304,164,10,26,70,249
34029714200,5038,1133,2094,1715,23,16,3,0,3922,395,27,60,99,535
34029714300,2783,532,1145,1066,13,9,1,0,2269,130,5,13,52,314
34029715001,2529,589,1055,838,3,4,7,0,1055,363,257,19,78,757
34029715002,1671,371,598,687,1,3,0,0,913,139,71,14,76,458
34029715201,3629,210,1467,1943,1,3,0,0,1544,56,12,18,170,1829
