GEOID20,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
28121020401,2588,1279,996,313,0,0,0,2019,78,313,23,13,142
28121020402,3930,1678,1623,629,0,0,0,2752,61,890,35,19,173
28121020500,171,111,28,32,0,0,0,32,4,131,1,0,3
28121020601,2210,1025,740,445,0,0,0,1470,54,585,20,3,78
28121020602,3152,1511,725,916,0,0,0,1387,85,1541,31,16,92
28121020703,1546,556,843,147,0,0,0,1288,22,121,24,4,87
28121020705,3865,1962,1446,457,0,0,0,3003,120,489,37,14,202
28121020801,1725,583,948,194,0,0,0,1393,16,205,19,6,86
28121020803,1312,582,616,114,0,0,0,1158,23,53,5,4,69
28121020804,3662,1655,1167,840,0,0,0,2423,68,965,18,19,169
28121020805,1539,784,329,426,0,0,0,624,25,811,15,4,60
28121020806,4635,1748,2273,612,0,2,0,3861,72,395,35,21,251
28121020901,2098,683,1057,358,0,0,0,1390,31,586,7,8,76
28121020902,2897,936,1673,288,0,0,0,2313,33,389,12,18,132
28121021001,4261,1872,1993,395,0,1,0,3589,76,334,17,19,226
28121021003,3665,1421,1691,553,0,0,0,2530,24,947,8,12,144
28121021004,3178,1406,1228,544,0,0,0,2252,54,694,16,20,142
28121021005,1436,600,576,260,0,0,0,946,11,416,7,5,51
28121980000,81,17,46,18,0,0,0,48,1,30,0,0,2
28033070101,1598,915,374,308,0,1,0,896,52,583,12,5,50
28033070102,2744,1480,741,523,0,0,0,1621,66,890,27,17,123
28033070210,3686,2266,543,876,0,1,0,1563,146,1775,42,17,143
28033070221,2558,1286,887,384,0,1,0,1907,56,449,9,20,117
28033070222,2679,1438,716,525,0,0,0,1655,71,771,23,20,139
28033070310,1807,1174,326,307,0,0,0,1132,61,483,22,8,101
28033070322,2205,1258,507,440,0,0,0,1375,85,630,19,12,84
28033070323,2871,1940,256,674,0,1,0,963,115,1655,24,13,101
28033070324,2515,1693,347,474,0,1,0,1329,126,957,10,15,78
28033070325,1365,881,256,228,0,0,0,955,63,278,6,9,54
28033070411,875,488,257,130,0,0,0,701,26,104,8,1,35
28033070412,2295,1436,453,406,0,0,0,1161,57,979,15,12,71
28033070421,1591,927,399,265,0,0,0,1206,67,202,13,7,96
