FULLCODE,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
13191110101,886,338,237,311,0,0,550,10,283,12,1,30
13191110102,1048,355,251,442,0,0,712,11,288,1,4,32
13191110103,1302,257,283,762,0,0,1052,27,131,4,7,81
13191110201,1704,683,350,671,0,0,1018,30,549,4,10,93
13191110202,1340,762,267,311,0,0,590,26,657,7,15,45
13191110300,2658,920,678,1060,0,0,1699,53,726,16,22,142
13191980000,0,0,0,0,0,0,0,0,0,0,0,0
13191990000,0,0,0,0,0,0,0,0,0,0,0,0
13055010100,1597,256,519,822,0,0,1398,19,86,13,10,71
13055010201,1803,262,720,821,0,0,1585,60,55,7,9,87
13055010202,1666,259,743,664,0,0,1445,86,25,17,11,82
13055010300,1900,326,533,1041,0,0,1736,23,30,7,5,99
13055010401,1490,276,514,700,0,0,1330,14,72,3,9,62
13055010402,1423,325,525,573,0,0,1138,39,163,7,11,65
13055010501,682,157,185,340,0,0,544,22,77,10,2,27
13055010502,2139,703,642,794,0,0,1510,23,489,14,12,91
13055010600,1597,303,494,800,0,0,1386,20,104,7,6,74
13293010100,2169,336,741,1092,0,0,1775,47,205,15,9,118
13293010201,2865,962,783,1120,0,0,1844,41,795,34,11,140
13293010202,2054,211,665,1178,0,0,1798,41,108,7,7,93
13293010300,2557,311,886,1360,0,0,2194,35,162,13,13,140
13293010401,1356,759,181,416,0,0,583,11,713,8,4,37
13293010402,3120,1092,851,1177,0,0,2028,41,888,19,20,124
13293010500,3161,1790,737,634,0,0,1320,36,1692,11,11,91
13293010600,1000,567,184,249,0,0,414,12,542,1,3,28
13007960100,1386,1103,186,97,0,0,660,32,643,9,2,40
13007960200,274,189,61,24,0,0,160,5,93,1,1,14
13187960103,2426,253,986,1187,0,0,2134,73,30,13,19,157
13187960104,3303,368,1297,1638,0,0,2824,147,41,27,35,229
13187960105,1987,200,660,1127,0,0,1790,46,6,9,27,109
13187960106,2704,306,876,1522,0,0,2377,85,14,12,48,168
13187960203,3050,307,1202,1541,0,0,2720,99,18,17,45,151
13187960204,1640,282,740,618,0,0,1289,98,64,22,25,142
13187960205,3625,335,1426,1864,0,0,3189,124,23,19,35,235
13187960206,3545,419,1392,1734,0,0,3081,126,33,23,45,237
13073030103,2762,593,854,1315,0,0,1789,100,300,276,116,181
13073030105,3908,1005,1522,1381,0,0,2593,217,588,145,87,278
13073030106,2448,706,833,909,0,0,1548,114,460,98,41,187
13073030107,2535,548,836,1151,0,0,1675,87,284,225,77,187
13073030108,5697,1159,1663,2875,0,0,3880,173,503,506,206,429
13073030201,3878,940,1320,1618,0,0,2728,191,601,86,37,235
13073030202,2016,485,773,758,0,0,1420,95,318,32,20,131
13073030203,4316,982,1528,1806,0,0,3045,207,625,117,58,264
13073030304,7319,1821,2653,2845,0,0,4770,446,1235,163,181,524
13073030306,4484,1208,1723,1553,0,0,2858,266,814,146,77,323
13073030307,4833,1045,1647,2141,0,0,3423,244,623,108,87,348
13073030308,7969,1950,2716,3303,0,0,5373,447,1204,217,144,584
13073030310,2635,511,936,1188,0,0,1875,140,244,110,67,199
13073030311,4439,926,1423,2090,0,0,3194,211,469,128,82,355
13073030312,5106,1286,1800,2020,0,0,3360,290,894,147,83,332
13073030313,2947,858,1030,1059,0,0,1883,154,635,60,36,179
13073030401,2344,440,749,1155,0,0,1798,56,313,10,23,144
13073030403,7332,2444,2712,2176,0,0,4363,452,1874,109,113,421
13073030404,1499,274,457,768,0,0,1131,29,215,8,6,110
13073030503,7500,2193,3040,2267,0,0,4734,456,1723,74,97,416
13073030504,2774,614,1015,1145,0,0,1971,122,432,25,26,198
13073030505,5351,2322,1942,1087,0,0,2567,479,1908,87,65,245
13073030507,4022,1750,1492,780,0,0,1942,310,1506,35,39,190
13073030508,3619,1618,1206,795,0,0,1641,303,1381,63,48,183
13073030603,3347,971,1380,996,0,0,2068,216,675,94,77,217
13079070100,2338,1226,443,669,0,0,1180,22,1051,8,8,69
13079070201,4093,617,1905,1571,0,0,3468,85,266,16,25,233
13079070202,2030,551,797,682,0,0,1426,65,409,6,19,105
13091960100,1114,276,329,509,0,0,858,11,188,4,2,51
13091960200,1939,628,468,843,0,0,1262,50,558,2,10,57
13091960301,2327,762,417,1148,0,0,1399,26,785,30,6,81
13091960302,1767,557,312,898,0,0,1135,32,515,7,11,67
13091960400,2031,689,461,881,0,0,1246,30,631,8,6,110
13091960500,1141,273,254,614,0,0,867,16,190,8,3,57
13091960600,1175,290,171,714,0,0,892,10,228,2,5,38
13069010100,2321,630,642,1049,0,0,1687,73,426,17,13,105
13069010200,1889,299,660,930,0,0,1539,109,111,34,8,88
13069010301,1429,319,643,467,0,0,1046,112,196,7,4,64
13069010302,680,199,210,271,0,0,462,16,167,3,4,28
13069010401,1876,693,516,667,0,0,1125,87,553,15,12,84
13069010402,1587,603,497,487,0,0,873,136,491,10,7,70
13069010500,2140,555,657,928,0,0,1453,207,346,32,10,92
13069010600,3648,944,1030,1674,0,0,2684,150,604,17,13,180
13069010701,2318,941,687,690,0,0,1251,124,815,19,8,101
13069010702,944,262,417,265,0,0,526,174,204,6,2,32
13069010801,2993,1571,732,690,0,0,1249,149,1475,12,8,100
13069010802,2618,1420,534,664,0,0,1054,88,1379,14,4,79
13309780100,1386,602,365,419,0,0,1019,31,293,3,4,36
13309780200,1470,806,280,384,0,0,886,38,496,5,4,41
13263960100,1755,1056,274,425,0,0,814,20,857,4,4,56
13263960200,1512,1175,161,176,0,0,442,12,1016,3,7,32
13263960300,1258,678,257,323,0,0,637,20,544,9,4,44
13131950100,1370,201,482,687,0,0,1169,32,115,6,5,43
13131950200,1763,474,486,803,0,0,1341,40,302,8,6,66
13131950300,2652,1462,398,792,0,0,1122,60,1383,12,6,69
13131950401,1152,170,435,547,0,0,955,47,95,4,7,44
13131950402,2238,830,632,776,0,0,1256,151,733,17,9,72
