GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
41067031915,3348,1218,1103,816,23,2,16,0,2248,204,12,318,178,388
41067031916,2935,1001,969,772,23,7,9,0,1948,156,23,348,162,298
41067031917,3019,1098,983,763,20,0,9,0,2143,167,7,268,126,308
41067031918,3338,1187,1171,756,24,4,12,0,2166,213,15,389,206,349
41067032001,4112,1503,1270,1041,40,8,14,0,3084,346,18,147,102,415
41067032003,2233,771,966,345,27,1,7,0,1538,375,5,42,56,217
41067032004,1564,617,485,362,15,4,4,0,1207,134,6,37,33,147
41067032005,2404,790,1082,368,28,6,9,0,1598,412,5,63,72,254
41067032104,3737,1207,1192,1079,37,2,15,0,3023,234,4,77,51,348
41067032107,1542,563,439,446,13,3,2,0,1220,112,3,35,22,150
41067032108,3188,1119,974,838,32,5,17,0,2491,271,2,91,55,278
41067032109,2374,808,592,811,13,4,8,0,1803,122,7,92,66,284
41067032110,1642,458,548,516,5,4,7,0,1297,73,2,61,43,166
41067032111,2473,784,739,776,18,5,9,0,2002,132,3,76,46,214
41067032112,5112,1602,1664,1482,55,10,14,0,4012,356,6,135,101,502
41067032201,3267,1031,1088,920,34,2,7,0,2459,222,5,166,81,334
41067032202,3106,886,841,1174,16,10,16,0,2571,141,3,43,43,305
41067032301,1087,332,343,357,7,2,1,0,846,84,0,54,16,87
41067032302,4173,1398,1760,788,25,6,13,0,2444,553,28,481,197,470
41067032404,5338,1883,1833,1285,50,10,14,0,3758,782,14,202,92,490
41067032407,3544,1131,1404,823,30,8,8,0,2330,429,19,349,117,300
41067032409,1969,665,940,255,22,6,9,0,936,825,10,42,35,121
41067032410,2248,741,928,452,26,3,4,0,1365,598,1,80,47,157
41067032411,3219,1141,1167,734,25,6,11,0,2101,315,11,358,110,324
41067032412,2731,878,1087,563,36,4,13,0,1754,509,11,122,65,270
41067032413,1752,676,691,279,17,1,8,0,1102,208,13,176,73,180
41067032414,2767,1080,1089,432,24,13,10,0,1715,295,16,311,110,320
41067032501,1726,539,813,247,19,9,12,0,1086,391,10,47,14,178
41067032502,1832,700,673,328,18,8,7,0,1172,334,20,116,36,154
41067032503,2906,970,981,752,24,3,19,0,1997,469,12,128,49,251
41067032603,5175,1673,1718,1478,46,6,20,0,3893,481,13,196,98,494
41067032604,4233,1501,1636,800,49,12,17,0,2951,744,14,120,77,327
41067032606,3869,1322,1413,906,33,9,13,0,2753,647,8,93,56,312
41067032608,2918,1014,1192,495,33,14,7,0,2052,357,12,113,88,296
41067032609,1506,504,546,359,18,0,5,0,1060,141,4,96,37,168
41067032610,1947,623,763,431,22,2,9,0,1366,305,6,63,42,165
41067032611,1272,544,511,133,10,5,3,0,858,135,10,80,38,151
41067032612,1605,739,492,282,10,3,4,0,1217,109,8,62,34,175
41067032700,4819,1506,1505,1475,46,12,28,0,3694,366,3,161,88,507
41067032800,1071,283,282,457,3,1,4,0,876,45,4,13,15,118
41067032901,3447,1123,1358,767,25,11,11,0,2056,992,5,104,37,253
41067032903,1972,676,782,411,14,2,3,0,1089,721,0,22,25,115
41067032904,2981,961,1283,579,16,5,11,0,1597,1073,9,43,46,213
41067033000,4607,1359,1443,1512,45,9,23,0,3692,323,1,79,55,457
41067033101,2213,773,802,479,24,7,10,0,1693,278,2,30,27,183
41067033102,2008,596,805,458,11,6,11,0,1400,391,1,27,14,175
41067033201,1929,615,832,370,10,6,13,0,1206,532,1,27,15,148
41067033202,1889,577,834,348,18,6,6,0,1177,375,6,102,36,193
41067033301,4655,1443,1731,1152,49,11,9,0,3403,639,9,87,71,446
41067033302,4710,1582,1362,1480,35,5,17,0,3752,356,1,82,69,450
41067033400,2045,525,629,784,15,2,6,0,1742,81,0,24,21,177
41067033500,3102,803,1054,1073,28,3,14,0,2532,168,6,51,47,298
41067033600,1982,580,593,679,31,8,8,0,1662,101,1,37,16,165
41071030101,5175,1453,1424,1874,49,10,29,0,4169,265,7,125,74,535
41071030102,6490,1733,2004,2268,48,12,50,0,5367,331,3,114,77,598
41071030201,3964,1104,1403,1143,43,7,27,0,3177,353,2,48,48,336
41071030202,4358,1235,1716,1055,52,16,37,0,3352,476,2,57,65,406
41071030302,1916,585,499,695,19,3,15,0,1583,78,0,31,25,199
41071030303,3219,885,1059,1063,29,7,14,0,2596,223,0,46,35,319
41071030304,4691,1176,1733,1457,37,9,26,0,3749,482,3,45,61,351
41071030400,6724,1632,2046,2546,83,12,49,0,5712,287,5,73,62,585
41071030501,3586,825,1243,1218,33,14,33,0,3049,174,4,44,27,288
41071030502,3891,799,1571,1213,40,13,32,0,3245,244,0,29,43,330
41071030601,2467,764,807,744,22,2,15,0,1889,310,4,18,24,222
41071030602,5413,1655,1635,1729,51,12,25,0,4296,507,4,94,56,456
41071030702,5296,1552,1931,1434,42,13,50,0,3970,773,2,56,61,434
41071030703,3777,1264,1280,974,35,6,25,0,3013,352,7,45,37,323
41071030704,2992,1110,773,922,12,6,15,0,2388,225,12,40,36,291
41071030801,3707,1177,1480,770,40,10,18,0,2759,549,4,43,40,312
41071030802,2115,691,892,377,16,3,17,0,1599,314,3,15,15,169
41071030900,3472,920,1176,1168,31,11,16,0,2540,534,1,39,37,321
41071031000,3202,730,1091,1149,32,4,18,0,2650,208,3,17,39,285
41035970100,2949,555,1050,1090,20,3,17,0,2591,67,7,14,20,250
41035970201,1759,248,701,678,16,3,12,0,1449,88,2,16,12,192
41035970202,2539,465,1055,845,12,7,20,0,2083,136,3,18,41,258
41035970300,2770,434,893,1245,26,5,19,0,2341,124,7,19,33,246
41035970400,1183,113,378,630,2,1,5,0,997,77,1,8,8,92
41035970500,1357,170,420,695,5,0,4,0,1187,62,1,7,8,92
41035970600,995,102,315,516,3,1,5,0,721,187,0,2,9,76
41035970700,1527,190,451,807,6,1,9,0,1160,198,0,12,8,149
41035970800,1940,230,589,984,13,5,10,0,1625,118,1,19,10,167
41035970901,2216,474,675,919,17,1,6,0,1846,96,4,28,14,228
41035970902,1919,288,772,733,12,5,15,0,1628,114,2,12,14,149
41035971000,2314,316,621,1244,11,5,8,0,1974,72,3,16,25,224
41035971100,4363,729,1472,1818,41,9,13,0,3545,358,11,53,37,359
41035971200,1852,305,834,576,15,2,10,0,1454,197,3,16,20,162
41035971300,4429,802,1524,1841,29,7,26,0,3606,370,6,41,41,365
41035971400,4380,691,1553,1857,30,5,13,0,3533,402,3,29,31,382
41035971500,3196,560,1425,1008,19,6,14,0,2507,342,7,29,21,290
