FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
31055007444,2186,621,925,580,59,1,0,1673,111,93,34,32,243
31055007445,1555,542,659,328,26,0,0,1151,71,120,13,41,159
31055007446,2888,1404,739,713,32,0,0,2354,60,10,62,66,336
31055007447,1786,681,592,479,33,1,0,1418,92,3,29,27,217
31055007448,2132,911,745,456,20,0,0,1706,50,2,20,46,308
31055007449,2451,1337,543,542,29,0,0,2018,49,3,53,33,295
31055007450,2393,1117,732,513,31,0,0,1959,87,9,28,26,284
31055007451,3563,1716,971,819,56,1,0,2862,135,4,47,44,471
31055007452,3644,1796,914,885,48,1,0,2972,82,4,89,70,427
31055007453,2244,1046,576,588,34,0,0,1823,82,5,34,45,255
31055007454,3221,1456,986,742,36,1,0,2624,95,17,32,52,401
31055007455,1054,376,344,307,26,1,0,847,59,6,10,8,124
31055007456,1392,488,508,370,25,1,0,1129,79,3,16,22,143
31055007457,1524,530,525,431,38,0,0,1179,104,13,38,24,166
31055007458,1461,452,581,398,30,0,0,1081,163,17,18,17,165
31055007459,1870,694,677,466,33,0,0,1497,111,8,11,33,210
31055007460,3146,1512,817,775,42,0,0,2515,65,4,102,72,388
31055007461,3952,1780,1098,1034,40,0,0,3134,122,11,152,96,437
31055007462,2958,1217,931,767,41,2,0,2418,140,6,24,51,319
31055007463,2669,967,930,724,47,1,0,2070,174,30,37,55,303
31055007464,2054,985,557,481,31,0,0,1633,77,9,31,39,265
31055007465,2509,963,855,651,40,0,0,1876,197,14,78,40,304
31055007466,3369,1272,1193,842,60,2,0,2603,227,27,52,52,408
31055007467,2828,1026,1018,727,57,0,0,2162,244,33,44,35,310
31055007468,1500,563,535,374,28,0,0,1163,136,10,15,18,158
31055007469,3242,1457,945,787,53,0,0,2563,100,32,79,58,410
31055007470,3593,1419,1225,887,61,1,0,2722,132,77,109,83,470
31055007471,2534,1202,723,575,33,1,0,1984,68,47,94,42,299
31055007472,3176,1538,893,712,32,1,0,2533,58,10,84,72,419
31055007473,251,84,76,90,1,0,0,174,26,24,2,4,21
31055007474,1192,664,273,246,9,0,0,872,20,14,88,47,151
31055007504,2648,1472,555,570,51,0,0,2200,44,2,20,33,349
31055007505,3060,1633,655,736,36,0,0,2533,69,9,20,37,392
31055007506,2090,1041,494,522,32,1,0,1698,59,6,21,21,285
31055007508,2057,1232,370,427,28,0,0,1715,32,2,17,26,265
31055007509,5462,3179,1012,1201,70,0,0,4515,71,2,78,74,722
31055007514,3062,1815,573,647,27,0,0,2461,51,7,89,57,397
31055007515,3225,1587,804,787,47,0,0,2541,70,9,128,88,389
31055007516,2825,1343,776,665,41,0,0,2275,83,6,55,53,353
31055007517,3943,1729,1059,1087,67,1,0,3123,151,11,90,99,469
31055007518,3318,1691,758,809,59,1,0,2711,110,9,57,46,385
31055007519,3687,1897,887,857,46,0,0,2951,115,5,115,82,419
31055007520,2414,1197,562,624,31,0,0,1838,75,14,120,62,305
31055007521,2157,962,566,596,32,1,0,1671,93,6,81,42,264
31055007522,1231,690,250,283,8,0,0,976,36,1,27,34,157
31055007523,1697,912,342,420,23,0,0,1346,28,0,46,43,234
31055007524,2867,1487,714,631,35,0,0,2199,109,29,99,70,361
31063961100,1516,1157,155,196,8,0,0,1328,12,0,7,8,161
31071973200,1231,1011,133,83,4,0,0,1049,15,0,4,15,148
31057962300,1079,831,97,143,8,0,0,942,23,0,7,6,101
31053963600,3090,1837,616,594,40,3,0,2476,56,0,10,17,531
31053963700,1794,1073,400,290,31,0,0,1440,22,0,10,9,313
31053963800,2930,1468,744,672,44,2,0,2377,142,3,23,29,356
31053963900,2006,947,584,435,40,0,0,1590,147,2,12,22,233
31053964000,1829,844,535,416,32,2,0,1484,118,4,12,19,192
31053964100,3333,1935,772,587,39,0,0,2706,118,0,30,36,443
31053964200,1934,824,584,480,46,0,0,1524,136,2,12,17,243
31053964300,2845,1432,727,647,39,0,0,2266,190,0,19,23,347
31053964400,1174,552,312,292,18,0,0,887,135,1,7,12,132
31025965600,2326,1127,574,574,51,0,0,1959,58,3,7,20,279
31025965700,4082,2134,943,936,68,1,0,3446,63,2,24,42,505
31025965800,2367,1294,543,487,42,1,0,1942,27,0,13,27,358
31025965900,3383,1657,827,848,51,0,0,2909,58,0,17,29,370
31025966000,3132,1664,632,789,46,1,0,2697,45,1,10,30,349
31025966100,2824,1335,625,805,58,1,0,2436,65,4,13,27,279
31041971700,1731,1285,223,202,21,0,0,1511,20,1,5,19,175
31041971800,1706,1246,203,244,13,0,0,1512,14,0,7,5,168
31041971900,2801,1947,405,415,34,0,0,2429,52,2,17,16,285
31041972000,1015,736,119,153,7,0,0,878,9,0,3,5,120
31141965100,2559,1893,362,287,16,1,0,2144,9,0,10,28,368
31141965298,2345,1633,343,347,22,0,0,1927,34,0,17,10,357
31141965301,1831,1279,294,240,18,0,0,1455,90,0,11,15,260
31141965302,3437,2204,725,470,38,0,0,2690,205,1,29,28,484
31141965400,2569,1565,555,417,29,3,0,1821,358,1,20,28,341
31141965500,3101,1747,734,577,42,1,0,2284,350,2,20,47,398
31141965600,2137,1119,538,447,30,3,0,1513,300,4,13,33,274
31141965700,1907,1105,437,336,27,2,0,1412,200,1,19,19,256
