FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
04013061047,2333,824,717,688,20,1,2,0,1352,505,95,129,57,195
04013061048,2688,1008,869,677,21,2,1,0,1690,592,50,58,48,250
04013061049,3333,1011,1111,1065,32,1,1,0,1746,1116,91,82,47,251
04013061050,3650,1201,1170,1125,29,4,1,0,1993,1121,98,103,39,296
04013061051,2332,714,769,742,16,5,0,0,1212,743,76,52,57,192
04013061052,3625,950,1263,1237,48,4,0,0,1876,1284,117,49,52,247
04013061053,4253,1242,1441,1389,47,7,4,0,2284,1271,208,85,69,336
04013061054,5215,2179,1431,1303,30,1,0,0,3500,868,54,156,114,523
04013061055,3299,1155,1027,957,36,4,2,0,1894,778,100,186,67,274
04013061056,1748,839,364,466,16,1,0,0,1126,385,0,25,12,200
04013061057,2567,912,753,778,31,0,4,0,1462,740,32,59,42,232
04013061058,2019,690,589,655,21,1,1,0,1088,678,6,36,30,181
04013061059,3240,1447,694,927,40,3,1,0,2293,506,44,52,67,278
04013061060,1777,657,475,564,17,3,0,0,1158,354,42,23,40,160
04013061061,1917,796,493,542,17,0,0,0,1281,318,26,42,33,217
04013061062,4125,1755,998,1213,30,2,3,0,2850,622,79,78,78,418
04013061063,867,170,347,315,8,0,0,0,341,427,40,3,10,46
04013061064,1839,713,517,518,13,0,1,0,1119,374,31,86,50,179
04013061100,483,156,130,176,4,0,0,0,284,120,27,8,3,41
04013061200,2447,390,1050,897,26,0,2,0,792,1426,70,18,21,120
04013061300,1006,229,403,316,7,0,0,0,365,567,6,8,14,46
04013061401,795,104,375,301,9,0,0,0,200,507,39,3,5,41
04013061402,2555,328,1189,943,23,2,0,0,602,1623,149,26,29,126
04013071503,4024,1936,1092,698,8,3,4,0,3313,158,6,46,38,463
04013071504,3050,1423,823,584,10,2,0,0,2508,100,1,21,36,384
04013071505,5087,2243,1314,1155,23,3,4,0,4137,282,11,56,72,529
04013071506,3340,1599,876,626,6,1,0,0,2725,142,4,22,62,385
04013071509,3890,1728,960,979,39,5,0,0,2713,525,25,170,98,359
04013071510,3143,1540,769,693,18,3,0,0,2122,437,14,145,113,312
04013071511,2160,747,601,688,20,1,0,0,1442,303,16,71,103,225
04013071512,4174,1751,1110,1078,49,1,0,0,2877,640,33,111,79,434
04013071513,1300,681,275,267,13,0,0,0,895,172,4,53,31,145
04013071514,2572,1084,707,651,18,2,0,0,1771,354,16,65,84,282
04013071515,2558,1093,691,612,17,1,2,0,1812,319,33,57,70,267
04013071516,2707,1039,851,656,15,3,0,0,1955,328,33,52,47,292
04013071517,2549,1018,643,737,28,5,3,0,1728,416,16,70,73,246
04013071600,2209,761,665,656,25,4,0,0,1353,617,16,13,43,167
04013071701,1550,492,450,544,21,1,0,0,883,401,14,49,66,137
04013071702,2657,1144,776,549,12,1,0,0,2142,168,16,18,34,279
04013071801,3627,1590,1018,771,22,0,1,0,2908,246,19,29,40,385
04013071802,2814,1256,823,542,10,2,0,0,2229,180,17,33,32,323
04013071903,3879,1383,1150,1105,45,6,1,0,2530,880,18,45,80,326
04013071906,3670,1081,1210,1168,43,4,1,0,1914,1216,67,123,74,276
04013071909,2544,875,816,735,14,2,0,0,1592,580,29,51,76,216
04013071910,3924,1168,1265,1245,43,5,2,0,2200,1170,47,66,117,324
04013071911,1759,529,568,574,15,3,0,0,943,439,61,70,65,181
04013071912,1345,402,432,421,15,3,1,0,785,427,3,13,11,106
04013071913,2572,759,820,858,29,2,0,0,1454,634,88,53,103,240
04013071914,1788,478,607,617,20,2,0,0,732,819,14,27,48,148
04013071915,2018,632,641,628,17,4,0,0,1220,544,20,34,30,170
04013082002,3243,687,1296,1112,28,8,0,0,1483,1343,121,40,40,216
04013082007,1896,322,898,593,16,1,1,0,552,1167,28,36,22,91
04013082008,2195,303,1062,731,17,2,1,0,586,1400,51,31,36,91
04013082009,1950,304,864,689,18,1,0,0,527,1277,29,14,25,78
04013082010,1740,223,816,627,15,1,0,0,465,1117,40,21,17,80
04013082012,3262,661,1350,1097,38,2,1,0,1219,1573,109,97,50,214
04013082016,1781,341,766,615,7,0,1,0,648,821,67,77,50,118
04013082017,2082,283,968,770,12,1,0,0,647,976,178,50,84,147
04013082018,2193,248,1114,741,17,4,0,0,570,1374,71,45,51,82
04013082019,1578,479,624,398,7,1,1,0,837,451,44,80,35,131
04013082020,2584,791,937,740,18,2,1,0,1331,857,59,110,62,165
04013082021,1315,339,513,412,8,0,1,0,535,618,55,34,17,56
04013082022,2363,488,964,810,25,2,1,0,934,1055,107,69,30,168
04013082023,3201,823,1275,957,22,1,2,0,1387,1264,99,131,77,243
04013082024,2364,446,929,889,23,2,1,0,926,1026,124,64,60,164
04013082025,1552,339,614,541,12,1,1,0,630,667,86,33,32,104
04013082026,3269,626,1442,1087,29,7,1,0,1355,1384,166,80,81,203
04013082027,2414,375,1048,915,13,1,1,0,790,1132,157,86,60,189
04013082028,1850,242,874,647,25,2,0,0,484,1155,54,30,30,97
04013082204,3230,431,1551,1120,18,2,2,0,894,1926,132,45,45,188
04013082205,2595,351,1256,886,18,4,0,0,725,1554,121,31,40,124
04013082206,1990,265,959,701,15,2,0,0,463,1241,86,55,33,112
04013082207,1497,263,650,516,16,2,0,0,434,924,47,14,15,63
04013082208,1757,309,766,621,5,1,0,0,381,1235,15,13,22,91
04013082209,1048,126,529,357,7,1,0,0,134,882,3,3,6,20
04013082210,2511,398,1142,897,13,1,1,0,775,1408,128,30,43,127
04013082211,4063,747,1806,1362,27,1,0,0,1351,2124,164,97,69,258
04013082212,2881,403,1364,1018,20,3,2,0,845,1639,144,49,58,146
04013082213,2801,371,1354,969,26,1,1,0,731,1712,101,50,38,169
04013083000,3362,403,1810,1024,21,1,1,0,731,2405,46,18,24,138
04013092305,2342,739,745,713,29,3,1,0,1411,566,23,46,81,215
04013092306,4120,1406,1299,1161,36,4,1,0,2523,960,43,134,124,336
04013092307,3557,1028,1233,1097,31,8,2,0,1871,953,105,212,116,300
04013092308,3935,1233,1346,1100,47,5,0,0,2236,1093,96,92,106,312
04013092309,3477,1152,1238,890,40,2,0,0,2051,931,57,97,78,263
04013092311,1359,243,535,518,13,1,1,0,698,420,73,17,36,115
04013092312,3032,886,1028,983,21,2,1,0,1731,636,177,113,86,289
04013092401,2155,500,800,752,24,4,0,0,1039,751,105,43,37,180
04013092402,1803,506,714,502,14,2,0,0,894,567,87,65,46,144
04013092500,2607,689,1042,755,22,3,1,0,1191,975,40,107,94,200
04013092600,1082,216,406,397,8,2,1,0,428,496,23,18,15,102
04013092705,1959,346,810,718,11,0,2,0,654,815,112,106,76,196
04013092708,1143,460,323,303,9,1,0,0,740,253,17,20,26,87
04013092709,2863,924,935,864,29,4,0,0,1547,878,20,94,59,265
04013092710,3158,887,1173,953,18,2,1,0,1484,1261,75,92,48,198
04013092711,1593,460,581,474,20,3,0,0,713,621,30,99,46,84
04013092712,2671,614,1051,882,32,1,0,0,1045,1199,96,108,59,164
04013092713,2530,564,1034,815,17,3,0,0,976,1195,60,110,43,146
04013092715,1862,333,783,645,22,0,0,0,621,1009,47,45,21,119
04013092716,1988,377,915,603,13,1,0,0,612,1159,49,23,33,112
04013092717,2025,380,852,715,16,2,1,0,714,886,131,115,51,128
04013092718,1481,295,592,521,12,0,1,0,533,650,52,78,36,132
04013092719,2640,636,987,871,23,2,1,0,1267,984,112,59,41,177
04013092720,3180,830,1181,1030,36,5,0,0,1676,999,134,82,70,219
04013092721,2035,676,636,635,19,0,0,0,901,638,35,177,96,188
04013092723,2331,724,741,753,28,2,0,0,1413,574,51,42,51,200
04013092724,2550,865,797,756,27,3,1,0,1643,594,19,35,48,211
04013092801,1423,218,568,568,12,0,1,0,430,802,47,16,25,103
04013092802,1819,261,847,641,12,4,0,0,585,1044,48,21,15,106
04013092900,1039,149,485,364,6,0,1,0,249,663,22,15,22,68
04013093001,2211,390,939,776,15,3,1,0,875,959,112,19,66,180
04013093002,1529,253,668,546,10,1,0,0,553,704,73,37,67,95
04013093101,1865,350,802,623,17,2,0,0,696,842,92,58,36,141
04013093104,1151,175,498,441,6,0,1,0,467,486,96,13,19,70
04013093105,2058,320,887,766,13,0,0,0,786,1003,51,22,30,166
04013093106,1632,263,743,555,17,2,0,0,523,946,50,11,24,78
04013093200,1668,415,600,578,18,3,1,0,826,475,69,54,46,198
04013103205,2096,961,517,484,21,1,0,0,1647,109,7,44,43,246
04013103206,1960,932,467,428,17,3,0,0,1557,88,3,35,44,233
04013103207,1833,856,457,407,18,2,0,0,1335,98,6,37,62,295
04013103208,3060,1204,979,689,25,0,0,0,2267,165,17,68,102,441
04013103209,4204,1908,1122,902,36,1,1,0,3092,205,12,121,152,622
04013103210,3607,1112,1185,1084,41,2,4,0,2497,402,51,71,122,464
04013103211,3352,1482,892,780,30,4,1,0,2508,288,7,57,112,380
04013103212,3168,1388,829,733,30,4,1,0,2403,179,7,77,95,407
04013103214,3218,1477,802,768,19,2,1,0,2380,158,9,106,107,458
04013103215,2312,1010,589,583,17,1,0,0,1717,153,5,80,70,287
04013103216,3537,1438,1029,875,38,5,1,0,2539,224,11,107,143,513
04013103217,3904,1576,1120,1004,29,1,0,0,2807,245,8,133,174,537
04013103219,2595,1122,651,666,21,4,0,0,1859,139,8,88,113,388
04013103220,1990,842,532,513,13,1,0,0,1393,104,2,91,89,311
04013103302,3568,1098,1156,1116,47,7,0,0,2264,805,10,71,82,336
04013103303,2350,900,697,631,20,3,1,0,1704,265,10,39,87,245
04013103304,1264,265,445,490,13,3,1,0,633,430,17,23,40,121
04013103305,910,199,334,341,9,1,0,0,418,392,8,11,22,59
04013103306,1079,199,365,472,8,3,0,0,540,325,46,11,60,97
04013103400,3060,1024,927,879,45,3,0,0,2173,434,7,42,85,319
04013103501,2121,759,696,556,20,6,0,0,1465,294,7,77,68,210
04013103502,4083,1533,1204,1079,66,1,0,0,2949,475,17,76,108,458
04013103604,2380,794,796,651,14,4,0,0,1577,283,27,108,100,285
04013103605,4835,2165,1440,915,55,5,0,0,3730,331,13,154,113,494
04013103606,2809,988,894,776,29,4,1,0,1910,387,20,85,124,283
04013103607,3279,1236,1036,797,36,6,1,0,2400,350,17,106,85,321
04013103608,2169,642,684,714,30,3,2,0,1322,380,39,96,97,235
04013103609,3032,897,1014,946,35,4,1,0,2012,479,115,37,91,298
04013103611,4101,1627,1321,909,35,6,0,0,3010,296,29,147,148,471
04013103612,3122,1088,1021,839,29,3,1,0,2248,318,35,72,102,347
04013103614,2257,851,733,526,26,3,0,0,1651,276,4,47,68,211
04013103615,1586,330,617,548,19,1,0,0,838,478,60,25,39,146
04013103701,3009,978,1005,830,43,2,0,0,2079,369,46,112,91,312
04013103702,2227,679,857,555,20,4,0,0,1565,295,24,44,69,230
04013103900,3383,1014,1174,985,40,3,1,0,2051,799,48,45,104,336
04013104000,3502,912,1218,1188,28,9,0,0,2025,840,95,60,140,342
04013104100,3895,1256,1161,1246,42,5,1,0,2415,907,42,58,111,362
04013104202,3389,1298,953,951,31,2,0,0,2293,545,23,63,95,370
04013104203,3749,1178,1258,1114,39,6,1,0,2300,875,64,103,71,336
04013104204,2145,700,679,620,31,4,1,0,1320,463,16,66,64,216
04013104205,2929,698,1090,982,35,1,3,0,1692,727,115,61,67,267
04013104206,2362,687,835,684,23,4,0,0,1304,695,37,58,62,206
04013104207,2867,1110,829,765,32,7,0,0,1973,419,52,87,64,272
04013104212,3858,1298,1199,1147,46,1,1,0,2405,752,30,148,166,357
04013104214,1551,710,370,379,16,3,1,0,1184,211,4,10,17,125
04013104215,2587,1098,631,710,35,1,0,0,1846,367,17,41,74,242
04013104216,3002,1147,817,862,33,7,2,0,2072,425,28,83,106,288
04013104217,3111,1221,885,830,42,3,1,0,2188,471,30,44,57,321
04013104218,2274,786,684,667,38,3,1,0,1538,380,28,50,88,190
04013104219,2092,840,618,513,16,2,1,0,1428,327,15,50,42,230
04013104221,3953,1473,1202,1046,49,5,0,0,2569,725,70,114,114,361
04013104222,3779,1405,1154,1031,31,1,0,0,2488,755,78,63,87,308
04013104223,1403,651,377,293,8,2,0,0,1013,179,4,48,42,117
04013104224,3521,1262,1027,1026,32,7,1,0,2258,597,39,153,130,344
04013104225,2493,1095,600,627,22,4,3,0,1869,300,20,31,62,211
04013104226,2802,1113,758,764,32,1,0,0,1864,416,51,75,107,289
04013104227,1357,430,450,412,11,1,0,0,879,293,35,22,30,98
