GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
37097060100,3586,1196,1265,1092,25,4,0,0,2299,247,838,37,27,138
37097060200,1044,702,256,82,4,0,0,0,130,61,828,3,1,21
37097060300,1451,713,452,275,10,0,0,0,517,117,749,8,10,50
37097060400,2255,1087,623,535,10,0,0,0,963,151,1059,11,15,56
37097060500,2549,932,827,771,18,0,0,0,1587,121,691,16,15,119
37097060601,3262,1246,1105,881,23,2,0,0,1653,330,1036,103,31,109
37097060602,1576,297,470,798,11,0,0,0,1351,50,72,27,8,68
37097060603,918,299,292,323,2,1,0,0,557,68,237,9,8,39
37097060701,1742,433,556,737,12,2,0,0,1296,136,217,19,13,61
37097060702,2639,576,841,1208,12,0,0,0,2064,117,316,34,18,90
37097060703,1944,432,601,903,7,1,0,0,1574,76,170,15,3,106
37097060801,2100,397,589,1092,15,3,0,0,1750,122,147,5,7,69
37097060802,2176,478,724,967,6,1,0,0,1755,64,238,13,7,99
37097060901,2195,301,587,1297,6,0,0,0,2023,46,10,11,13,92
37097060902,2614,439,791,1369,12,0,0,0,2381,47,86,7,9,84
37097061001,2846,608,902,1319,15,2,0,0,2197,177,290,23,24,135
37097061002,2693,486,929,1261,13,0,0,0,2160,152,222,44,13,102
37097061003,2621,642,817,1147,11,2,0,0,2063,128,309,19,10,92
37097061101,1719,321,553,837,7,0,0,0,1433,64,134,26,10,52
37097061102,2164,445,668,1041,6,3,0,0,1736,98,179,48,19,84
37097061103,1828,345,617,862,4,0,0,0,1546,49,132,12,7,82
37097061104,1425,304,437,677,6,1,0,0,1160,62,121,10,5,67
37097061201,3554,640,1183,1709,18,2,0,0,2813,180,264,33,51,213
37097061202,3725,781,1300,1613,28,1,0,0,2837,131,459,44,32,222
37097061203,4235,800,1631,1767,31,3,0,0,3270,241,275,84,54,311
37097061204,3269,426,1158,1660,20,2,0,0,2729,107,62,49,47,275
37097061205,3020,455,982,1567,13,2,0,0,2642,65,110,12,18,173
37097061301,1789,321,643,808,15,1,0,0,1417,78,147,15,8,124
37097061302,3230,631,1154,1424,17,1,0,0,2564,131,266,20,34,215
37097061303,3432,573,1402,1428,23,2,0,0,2774,144,190,39,42,243
37097061304,3295,747,1329,1189,25,3,0,0,2381,204,409,45,50,206
37097061401,3790,470,1440,1859,19,0,0,0,3143,123,50,76,72,326
37097061402,5046,873,1984,2145,42,1,0,0,3826,296,284,103,92,445
37097061403,2376,513,930,907,19,4,0,0,1766,152,155,68,41,194
37097061404,1850,271,710,853,14,1,0,0,1551,56,64,36,29,114
37097061405,3277,465,1241,1535,25,3,0,0,2693,153,80,42,53,256
37097061406,3992,463,1468,2036,22,0,0,0,3366,142,57,59,76,292
37097061407,3446,538,1301,1588,17,1,0,0,2917,97,83,41,44,264
37097061408,3427,639,1396,1366,20,2,0,0,2629,168,264,50,41,275
37097061501,3042,817,1166,1031,24,1,0,0,2091,185,514,37,30,185
37097061502,3613,707,1443,1427,33,2,0,0,2785,213,266,53,54,242
37097061503,3412,826,1234,1326,22,1,0,0,2669,119,341,34,39,210
37097061601,1797,703,675,398,18,3,0,0,941,110,600,26,20,100
37097061603,3079,744,1230,1077,22,2,0,0,2286,179,306,54,38,216
37097061604,989,221,342,414,11,0,0,0,744,34,128,5,10,68
37097061605,1678,333,654,667,21,1,0,0,1244,114,103,49,22,146
37001020100,2431,974,793,639,23,2,0,0,1592,152,509,23,27,128
37001020200,1886,975,555,339,10,0,0,0,712,305,771,18,25,55
37001020301,1947,1081,536,319,10,0,0,0,655,285,946,11,10,40
37001020302,1762,897,546,312,5,0,0,0,666,444,589,21,6,36
37001020400,3522,2377,786,339,18,1,0,0,686,323,2436,5,17,55
37001020501,2322,774,689,843,14,1,0,0,1671,114,396,19,22,100
37001020502,1953,1071,591,276,10,3,0,0,629,219,1034,11,17,43
37001020601,2581,671,732,1164,14,0,0,0,2212,96,110,33,22,108
37001020602,1812,583,613,601,12,3,0,0,1436,96,166,16,22,76
37001020701,4358,1473,1434,1418,30,2,0,0,2865,224,890,98,53,228
37001020702,2882,1192,915,749,22,1,0,0,1609,221,912,26,24,90
37001020801,1113,371,352,382,7,0,0,0,693,85,235,26,12,62
37001020802,2908,1463,902,516,20,3,0,0,1161,410,1200,24,19,94
37001020901,2185,799,705,663,14,0,0,0,1360,210,471,36,15,93
37001020902,2677,749,876,1034,15,0,0,0,1990,169,340,35,26,117
37001021000,1961,993,579,372,13,0,0,0,845,205,833,9,12,57
37001021101,2007,813,616,561,13,1,0,0,1160,152,585,14,26,70
37001021102,2811,983,900,912,14,1,0,0,1834,149,623,35,24,146
37001021201,3283,1509,917,833,20,1,0,0,1641,320,1190,15,13,104
37001021204,3627,1178,1172,1248,27,0,0,0,2502,210,675,39,40,161
37001021205,5052,1985,1724,1309,30,1,0,0,3047,316,1302,82,79,226
37001021206,3884,1467,1340,1052,21,1,0,0,2420,256,966,21,40,181
37001021207,2165,658,729,761,15,0,0,0,1654,101,269,14,23,104
37001021300,4465,1769,1264,1421,10,0,0,0,2713,150,1410,32,25,135
37001021400,2217,494,664,1048,10,0,0,0,1823,60,220,15,15,84
37001021500,3200,632,872,1678,13,0,0,0,2696,72,250,20,23,139
37001021600,4926,1605,1641,1642,35,3,0,0,3584,229,644,77,38,354
37001021701,2725,733,903,1079,10,0,0,0,2315,83,137,32,27,131
37001021702,3054,999,986,1050,16,1,0,0,2277,103,303,105,66,200
37001021703,4507,1387,1585,1501,31,0,0,0,3062,244,720,146,86,249
37001021801,3260,611,951,1675,17,1,0,0,2785,91,186,29,35,134
37001021802,2575,459,885,1216,14,0,0,0,2258,88,96,20,15,98
37001021803,1986,295,595,1081,13,1,0,0,1735,59,82,12,11,87
37001021901,3091,687,898,1497,9,0,0,0,2599,111,214,23,15,129
37001021902,2826,781,929,1091,20,2,0,0,2244,199,201,19,24,139
37001022001,2493,641,825,1021,6,0,0,0,1984,121,208,38,15,127
37001022002,2990,958,977,1022,31,2,0,0,2177,209,362,35,30,177
37049960101,3277,716,1199,1335,20,5,0,0,2576,107,251,25,54,264
37049960102,2843,571,916,1339,11,2,0,0,2392,73,216,13,24,125
37049960201,2115,701,592,809,7,4,0,0,1448,56,518,4,9,80
37049960202,2501,934,587,967,11,1,0,0,1662,85,666,2,18,68
37049960301,2294,901,532,853,7,0,0,0,1419,43,750,5,8,69
37049960302,2036,780,469,782,4,1,0,0,1313,42,624,5,3,49
37049960401,3404,1001,1204,1171,24,4,0,0,2429,117,598,36,53,171
37049960402,3004,1300,858,831,9,4,0,0,1582,89,1131,45,46,111
37049960403,3275,673,1000,1581,20,0,0,0,2956,53,45,29,31,161
37049960404,2252,504,846,879,20,1,0,0,1832,68,178,15,19,140
37049960501,2475,1079,725,653,14,0,0,0,1319,85,865,56,16,134
37049960502,2195,878,665,627,20,1,0,0,1118,127,774,56,27,93
37049960600,2747,1239,816,675,11,1,0,0,1306,136,946,164,37,158
37049960700,1223,364,460,383,16,0,0,0,942,40,109,21,25,86
37049960800,1448,864,387,192,5,0,0,0,426,50,913,10,15,34
37049960900,1229,516,417,286,9,1,0,0,729,28,366,12,16,78
37049961002,2471,599,787,1064,16,1,0,0,1957,81,255,18,31,129
37049961003,4396,919,1536,1904,33,3,0,0,3327,164,452,54,64,335
37049961004,3850,814,1241,1766,26,3,0,0,2963,155,445,41,40,206
37049961101,3527,597,1231,1663,33,0,0,0,2638,216,364,51,46,212
37049961102,2216,448,832,905,24,3,0,0,1540,208,316,18,33,101
37049961201,639,126,244,251,17,1,0,0,378,94,104,14,11,38
37049961202,166,43,63,57,1,2,0,0,83,29,43,0,2,9
37049961301,1976,427,708,819,19,1,0,0,1380,149,306,29,21,91
37049961302,2695,846,1005,805,35,2,0,0,1431,211,868,30,26,129
37049961303,2651,1010,715,904,19,0,0,0,1408,92,1016,13,17,105
37161960101,1026,150,339,528,7,0,0,0,950,16,7,7,2,44
37161960102,1490,235,435,808,11,0,0,0,1342,34,44,6,3,61
37161960103,1558,256,470,819,10,1,0,0,1423,28,36,4,8,59
37161960201,2988,627,917,1425,15,1,0,0,2599,62,146,14,20,147
37161960202,802,157,249,393,3,0,0,0,682,21,68,2,6,23
37161960203,970,205,294,463,7,1,0,0,854,29,40,2,6,39
37161960301,1200,280,443,469,6,0,0,0,943,33,109,8,5,102
37161960302,1111,244,405,451,9,2,0,0,957,31,30,6,8,79
37161960400,2240,492,667,1061,15,2,0,0,1981,42,108,17,9,83
37161960501,2450,591,809,1036,13,1,0,0,2006,56,215,15,34,124
37161960502,1691,461,532,690,4,3,0,0,1319,61,195,20,21,75
37161960503,1061,297,339,420,5,0,0,0,854,29,113,6,3,56
37161960600,2497,952,793,735,14,1,0,0,1618,77,651,11,21,119
37161960700,3008,974,932,1080,18,1,0,0,2184,110,572,26,20,96
37161960800,2432,953,752,710,13,0,0,0,1485,132,674,18,16,107
37161960900,3141,872,981,1271,14,1,0,0,2461,121,403,23,10,123
37161961001,2513,596,814,1089,10,2,0,0,2173,53,153,6,17,111
37161961002,1902,426,635,833,7,1,0,0,1722,29,42,5,8,96
37161961102,1851,395,565,881,9,1,0,0,1604,58,89,2,11,87
