GEOID20,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
33013035000,2789,1094,671,1024,0,0,2432,69,4,18,23,243
33013036000,4065,1541,904,1620,0,0,3630,54,1,24,37,319
33013037000,1992,952,550,490,0,0,1733,43,0,16,34,166
33013038000,2700,1048,759,893,0,0,2382,59,0,24,19,216
33013038500,3976,1833,1005,1138,0,0,3509,66,1,17,49,334
33013039000,4717,1289,2126,1302,0,0,4123,71,2,27,60,434
33013040000,3653,1463,1226,964,0,0,3035,122,31,31,32,402
33013040501,1366,550,392,424,0,0,1225,15,1,4,7,114
33013040502,3259,1401,925,933,0,0,2864,50,4,25,41,275
33013041001,1682,569,597,516,0,0,1471,14,2,17,25,153
33013041002,2137,755,865,517,0,0,1806,38,23,28,25,217
33013041500,2676,1195,665,816,0,0,2362,49,0,15,20,230
33013042500,3091,1248,916,927,0,0,2742,47,2,19,34,247
33013043001,2564,1018,682,864,0,0,2253,57,2,12,27,213
33013043002,3072,1220,826,1026,0,0,2717,51,2,8,34,260
33013044000,3460,1465,858,1137,0,0,3107,56,1,10,42,244
33013044100,2509,840,978,691,0,0,2094,48,14,81,51,221
33013044200,4987,1782,1412,1793,0,0,4124,137,15,152,110,449
33013044300,3093,1357,1003,733,0,0,2628,67,12,42,53,291
33001965100,2687,959,731,997,0,0,2378,41,3,13,34,218
33001965200,2521,1073,593,855,0,0,2200,48,2,17,21,233
33001965300,3079,1258,699,1122,0,0,2715,31,0,23,35,275
33001965400,2425,833,642,950,0,0,2148,28,2,18,29,200
33001965598,2651,1036,754,861,0,0,2334,47,0,34,28,208
33001965600,2939,1093,683,1163,0,0,2630,30,2,8,30,239
33001965700,3710,1439,891,1380,0,0,3267,73,4,20,33,313
33001965801,2326,757,636,933,0,0,2058,41,1,23,20,183
33001965802,2738,829,733,1176,0,0,2476,43,2,10,21,186
33001965900,2256,894,616,746,0,0,1990,49,1,9,23,184
33001966000,3164,1124,979,1061,0,0,2733,67,2,36,43,283
33001966100,3398,1207,891,1300,0,0,2986,50,4,17,50,291
33001966200,2388,900,544,944,0,0,2111,43,3,14,22,195
33001966401,1244,521,250,473,0,0,1086,16,0,2,28,112
33001966403,3146,1278,729,1139,0,0,2746,79,0,26,35,260
33001966404,1895,669,545,681,0,0,1700,23,1,9,16,146
33001966501,2361,841,494,1026,0,0,2090,18,1,9,42,201
33001966502,2202,820,416,966,0,0,1955,35,4,12,20,176
33019975100,2919,1184,1103,632,0,0,2599,42,1,25,21,231
33019975200,4120,1670,1413,1037,0,0,3569,84,4,52,48,363
33019975300,2857,1302,666,889,0,0,2524,37,1,24,26,245
33019975401,1964,786,528,650,0,0,1749,22,0,8,27,158
33019975402,2197,854,530,813,0,0,1968,27,0,16,18,168
33019975500,2151,990,441,720,0,0,1911,43,0,4,25,168
33019975600,2046,862,542,642,0,0,1809,46,0,8,13,170
33019975700,3167,1256,1012,899,0,0,2781,44,4,6,46,286
33019975800,2616,917,919,780,0,0,2328,44,1,13,36,194
33019975901,2364,894,777,693,0,0,2106,34,1,12,23,188
33019975902,1728,592,625,511,0,0,1501,33,2,15,28,149
33009960101,1748,582,490,676,0,0,1506,47,0,15,27,153
33009960102,1937,638,605,694,0,0,1741,51,0,9,13,123
33009960200,3391,1388,1213,790,0,0,2929,64,0,42,45,311
33009960300,3320,1368,826,1126,0,0,2933,43,0,21,41,282
33009960401,2117,942,621,554,0,0,1849,24,2,16,25,201
33009960402,1421,743,360,318,0,0,1185,36,1,35,22,142
33009960500,1825,923,392,510,0,0,1604,38,8,8,22,145
33009960600,3256,1285,823,1148,0,0,2814,55,5,41,29,312
33009960700,2086,854,585,647,0,0,1845,25,2,11,11,192
33009960801,2682,1064,840,778,0,0,2314,60,2,14,47,245
33009960802,1283,574,266,443,0,0,1125,18,1,7,8,124
33009960900,2692,1143,961,588,0,0,2304,40,2,28,36,282
33009961001,3453,1818,1142,493,0,0,2846,99,9,38,57,404
33009961002,3458,1645,1161,652,0,0,2904,84,1,49,39,381
33009961101,1472,688,390,394,0,0,1293,23,1,15,16,124
33009961102,1624,612,561,451,0,0,1422,20,2,14,17,149
33009961201,2076,788,544,744,0,0,1848,30,3,26,21,148
33009961202,1238,496,281,461,0,0,1088,17,0,11,9,113
33009961300,2370,1062,548,760,0,0,2062,39,0,21,20,228
33009961400,2692,1232,843,617,0,0,2398,34,0,25,29,206
33009961500,3258,1137,1334,787,0,0,2871,57,2,22,39,267
33009961601,2658,1125,1273,260,0,0,2024,58,3,169,74,330
33009961603,3539,1385,1938,216,0,0,2368,157,44,358,112,500
33009961604,4143,1728,2209,206,0,0,2759,187,42,439,135,581
33009961701,2951,1046,1380,525,0,0,2245,99,18,177,84,328
33009961702,2273,825,1054,394,0,0,1798,81,9,93,52,240
33009961801,1527,518,693,316,0,0,1311,33,2,20,27,134
33009961802,2378,767,1262,349,0,0,1936,54,4,78,40,266
