GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
51550021005,3034,1371,1109,554,0,0,2259,136,322,61,44,212
51550021009,3266,1143,1656,467,0,0,2684,116,75,37,48,306
51550021010,4133,1707,1689,737,0,0,3443,143,142,50,60,295
51550021011,2525,952,1210,363,0,0,2083,100,52,38,33,219
51550021012,4437,1423,2279,735,0,0,3806,141,75,48,42,325
51550021013,3174,1286,1466,422,0,0,2502,138,188,41,49,256
51550021014,1624,659,641,324,0,0,1263,104,61,35,29,132
51550021015,1507,560,702,245,0,0,1289,42,14,11,17,134
51550021016,3180,1330,1376,474,0,0,2501,155,152,94,46,232
51550021101,3884,1287,2033,564,0,0,3309,137,61,24,39,314
51550021103,2462,887,1188,387,0,0,1993,112,99,32,49,177
51550021104,2379,784,1195,400,0,0,1857,70,267,18,30,137
51550021200,4442,1478,2163,801,0,0,3689,153,213,32,39,316
51550021301,4910,2319,1502,1089,0,0,3154,285,1062,47,55,307
51550021303,1552,784,473,295,0,0,875,79,467,18,32,81
51550021304,1938,1065,467,406,0,0,806,116,818,29,41,128
51550021305,2493,1261,657,575,0,0,1168,128,968,46,37,146
51550021306,1483,800,430,253,0,0,800,80,468,32,17,86
51550021401,1504,724,446,334,0,0,963,66,368,13,14,80
51550021402,4286,1857,1427,1002,0,0,3077,188,662,58,65,236
51550021403,2529,1088,709,732,0,0,1679,105,549,22,24,150
51550021405,1101,845,162,94,0,0,473,46,500,12,22,48
51550021406,2040,1507,131,402,0,0,148,77,1755,18,15,27
51550021407,2196,1603,182,411,0,0,264,73,1786,15,25,33
51550021503,2305,1054,937,314,0,0,1593,77,370,66,30,169
51550021504,2197,786,1065,346,0,0,1844,57,87,34,22,153
51550021505,4018,2021,1188,809,0,0,2655,164,796,96,59,248
51550021506,1602,1132,105,365,0,0,175,58,1286,21,15,47
51550021507,3519,1791,1069,659,0,0,2012,123,1122,44,36,182
51550021602,4234,2634,755,845,0,0,1422,200,2289,62,73,188
51550021603,1362,606,573,183,0,0,1064,35,99,50,30,84
51550021604,1472,593,663,216,0,0,1181,51,72,30,14,124
51550021605,3408,1587,1191,630,0,0,2508,110,437,85,49,219
51680000100,3364,1460,1294,610,0,0,2807,73,149,34,49,252
51680000201,5224,1888,2521,815,0,0,4365,107,150,84,90,428
51680000203,401,123,24,254,0,0,299,14,35,5,12,36
51680000204,2303,881,719,703,0,0,1121,58,954,33,27,110
51680000205,2217,1174,708,335,0,0,1413,59,576,33,21,115
51680000300,2465,1438,718,309,0,0,1697,46,500,25,32,165
51680000400,2091,1061,340,690,0,0,662,39,1268,22,13,87
51680000500,577,386,109,82,0,0,417,20,78,7,11,44
51680000600,1582,1337,162,83,0,0,273,40,1209,14,7,39
51680000700,2058,1577,314,167,0,0,697,46,1228,20,16,51
51680000801,1275,487,383,405,0,0,861,42,276,16,15,65
51680000802,1883,616,669,598,0,0,1444,52,245,18,13,111
51680000901,2336,856,889,591,0,0,1683,83,404,28,16,122
51680000902,1633,1105,354,174,0,0,1036,54,409,17,18,99
51680001000,2224,860,736,628,0,0,1674,61,309,30,11,139
51680001100,1213,851,117,245,0,0,325,37,795,15,8,33
51680001400,5274,412,568,4294,0,0,4145,267,37,82,59,684
51680001601,1770,599,649,522,0,0,1304,56,236,33,18,123
51680001602,1949,481,729,739,0,0,1528,65,166,37,17,136
51680001603,1660,538,670,452,0,0,1351,54,99,25,23,108
51680001700,4200,1190,1827,1183,0,0,3413,119,234,84,60,290
51680001800,1490,439,672,379,0,0,1238,47,79,18,14,94
51680001900,3026,2225,502,299,0,0,854,58,1996,15,18,85
51610500100,2520,1877,350,293,0,0,1819,109,17,188,124,263
51610500200,4387,3281,534,572,0,0,3030,353,64,290,179,471
51610500300,2802,2024,369,409,0,0,1936,160,37,175,129,365
51167030100,2662,1368,1245,49,0,0,2562,20,6,2,4,68
51167030201,1235,619,577,39,0,0,1154,11,15,1,9,45
51167030202,2119,785,1242,92,0,0,2003,19,12,6,8,71
51167030300,2299,1031,1221,47,0,0,2138,12,8,8,8,125
51167030402,1822,578,1174,70,0,0,1739,7,10,1,3,62
51167030403,2162,760,1309,93,0,0,1990,27,37,6,11,91
51167030404,1621,516,1028,77,0,0,1518,20,23,4,3,53
51167030500,1591,647,876,68,0,0,1527,15,13,3,2,31
51167030600,2563,1131,1373,59,0,0,2403,15,6,6,10,123
51199050203,4272,2021,1693,558,0,0,2791,205,361,472,125,318
51199050205,3620,1405,1788,427,0,0,2827,118,161,177,99,238
51199050206,4601,2053,1997,551,0,0,3328,198,303,259,119,394
51199050207,442,192,32,218,0,0,256,58,70,19,7,32
51199050208,927,414,252,261,0,0,652,65,88,34,26,62
51199050303,3831,1511,1661,659,0,0,3013,184,184,112,77,261
51199050304,4434,1523,2406,505,0,0,3595,144,116,127,78,374
51199050305,2351,1072,909,370,0,0,1666,102,141,200,59,183
51199050306,3543,1409,1558,576,0,0,2847,139,207,91,49,210
51199050401,2880,1047,1472,361,0,0,2346,67,170,70,33,194
51199050402,2865,805,1719,341,0,0,2458,59,99,27,21,201
51199050500,2021,1265,483,273,0,0,854,146,841,34,12,134
51199050900,1145,595,270,280,0,0,497,61,485,28,12,62
51199051000,3356,1491,1391,474,0,0,2709,124,130,88,40,265
51199051100,5045,2606,1661,778,0,0,3183,258,1058,99,92,355
51199990100,0,0,0,0,0,0,0,0,0,0,0,0
51009010100,3655,1326,1633,696,0,0,2904,58,495,16,10,172
51009010201,2976,1237,1142,597,0,0,2304,34,402,31,19,186
