BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_rin,party_lib,party_grn,party_lbl,party_con,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_23,eth2_81,eth2_21,eth2_34,eth2_14,eth2_12,eth2_66,eth2_61,eth2_85,eth2_35,eth2_32,eth2_55,eth2_29,eth2_83,eth2_33,eth2_38,eth2_59,eth2_26,eth2_19,eth2_unk
040070010005,370,146,113,78,26,2,0,0,0,5,0,286,54,3,1,1,25,286,52,3,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25
040070011001,474,166,178,85,35,2,0,0,0,8,0,301,139,1,3,10,20,301,139,1,4,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,2,0,0,20
040070011002,431,168,157,76,16,4,0,0,0,10,0,279,92,1,13,3,43,279,92,1,0,2,7,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,43
040070011003,615,162,260,138,45,2,0,0,0,8,0,308,265,1,6,4,31,308,265,1,2,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,31
040070011004,833,309,274,169,53,9,0,0,0,19,0,570,209,1,6,9,38,570,206,1,1,3,0,0,0,3,3,0,3,3,0,0,0,0,1,0,0,0,1,0,0,38
040070011005,278,92,101,65,15,1,0,0,0,4,0,174,59,1,7,5,32,174,59,1,1,3,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,32
040070012001,525,235,164,76,35,2,0,0,0,13,0,341,127,0,15,9,33,341,126,0,1,9,1,2,0,0,3,2,1,5,0,0,0,0,0,0,0,0,1,0,0,33
040070012002,895,353,305,161,63,1,0,0,0,12,0,590,200,0,15,23,67,590,199,0,4,1,9,3,0,5,3,1,1,8,1,0,0,0,0,0,0,2,0,0,0,67
040070012003,1152,466,367,196,96,5,0,0,0,22,0,795,265,0,10,11,71,795,262,0,5,2,2,1,0,0,1,3,3,4,0,0,0,0,0,0,0,0,1,2,0,71
040070013001,293,74,157,45,11,1,0,0,0,5,0,135,145,0,2,0,11,135,143,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11
040070013002,296,35,218,29,10,0,0,0,0,4,0,65,221,1,1,0,8,65,221,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
040079402001,213,16,145,34,5,2,0,0,0,11,0,126,9,2,2,19,55,126,9,2,1,0,0,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55
040079404001,408,19,248,115,7,1,0,0,0,18,0,276,24,3,5,20,80,276,24,3,0,0,0,19,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80
040079404002,547,49,344,136,7,2,0,0,0,9,0,377,44,5,2,24,95,377,44,5,0,2,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
040079404003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040079404004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179400081,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179400082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179400101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179400102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179400103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179400111,168,11,126,24,3,0,0,0,0,4,0,75,6,1,5,33,48,75,6,1,0,2,0,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
040179400112,4532,279,3042,873,85,15,3,0,0,235,0,1991,139,42,105,631,1624,1991,139,42,5,54,7,600,2,4,40,2,0,0,0,1,0,0,1,2,3,4,0,0,0,1624
040179400113,6,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
040179400121,50,4,25,14,0,0,0,0,0,7,0,12,3,1,0,14,20,12,3,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
040179400131,1094,95,590,264,53,7,2,0,0,83,0,394,52,7,15,273,353,394,51,7,12,7,5,259,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,353
040179400132,1070,90,688,190,32,1,1,0,0,68,0,459,40,5,31,215,320,459,40,5,0,22,1,215,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,320
040179400133,1627,128,820,424,107,22,4,0,0,122,0,532,89,5,24,365,612,532,89,5,10,10,2,353,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,612
040179400141,36,8,23,4,0,0,0,0,0,1,0,15,1,0,0,11,9,15,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
040179400142,32,2,23,5,0,0,0,0,0,2,0,13,1,0,0,5,13,13,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
040179400143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179400151,596,51,449,47,23,5,0,0,0,21,0,332,11,5,13,91,144,332,11,5,0,2,2,91,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,144
040179400152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179400153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179401001,419,55,217,90,23,1,0,0,0,33,0,256,34,3,9,42,75,256,34,3,3,1,3,36,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,75
040179401002,787,26,542,167,6,1,0,0,0,45,0,519,62,5,4,32,165,519,62,5,3,0,3,27,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165
040179403011,1456,103,945,299,33,5,1,0,0,70,0,854,115,10,17,126,334,854,115,10,9,2,9,114,1,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,334
040179403012,207,9,153,34,0,0,0,0,0,11,0,124,22,2,1,20,38,124,22,2,0,0,1,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
040179403013,396,23,264,78,8,1,0,0,0,22,0,232,38,1,6,44,75,232,38,1,4,1,3,39,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
040179403021,1367,104,904,256,41,1,1,0,0,60,0,767,125,23,13,166,273,767,125,23,9,2,9,153,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,273
040179403022,1441,90,885,395,30,1,0,0,0,40,0,919,120,14,9,102,277,919,120,14,7,5,2,86,0,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,277
040179423001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179423002,58,5,33,15,1,1,0,0,0,3,0,30,1,1,1,8,17,30,1,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
040179423003,575,91,344,87,20,4,0,0,0,29,0,321,12,6,9,101,126,321,12,6,1,1,1,100,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
040179424001,250,12,121,79,14,3,0,0,0,21,0,72,11,0,2,58,107,72,11,0,1,1,0,56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
040179424002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179425001,8,2,3,3,0,0,0,0,0,0,0,5,0,0,0,2,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
040179425002,2332,304,1361,445,100,8,2,0,0,112,0,1410,99,27,28,394,374,1410,98,27,4,7,2,383,2,4,16,1,1,0,1,1,0,0,0,0,0,1,0,0,0,374
040179425003,840,103,523,154,19,0,0,0,0,41,0,477,33,12,14,104,200,477,33,12,1,7,1,100,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,200
040179601001,517,172,213,70,41,4,0,0,0,17,0,361,76,2,1,14,63,361,76,2,2,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,63
040179601002,9,1,3,2,1,1,0,0,0,1,0,8,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
040179601003,554,141,223,115,47,6,0,0,0,22,0,347,90,1,15,26,75,347,90,1,2,4,6,23,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,75
040179602001,831,269,299,152,72,4,0,0,0,35,0,559,111,8,13,56,84,559,111,8,3,4,1,51,2,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,84
040179602002,574,138,236,107,56,1,0,0,0,36,0,371,71,6,7,47,72,371,71,6,3,3,0,42,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,72
040179602003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040179602004,706,217,274,118,51,7,1,0,0,38,0,440,140,11,6,36,73,440,140,11,1,1,0,28,1,1,3,1,0,3,0,0,0,0,0,0,3,0,0,0,0,73
040179604001,395,152,151,45,23,1,0,0,0,23,0,283,62,2,2,8,38,283,62,2,0,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38
040179604002,594,169,263,103,27,3,0,0,0,29,0,402,112,12,5,20,43,402,112,12,0,1,1,13,1,0,2,0,0,4,0,0,0,0,0,1,0,2,0,0,0,43
