BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_rin,party_lib,party_grn,party_wfp,party_ind,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_23,eth2_10,eth2_34,eth2_66,eth2_21,eth2_14,eth2_55,eth2_35,eth2_12,eth2_61,eth2_85,eth2_29,eth2_33,eth2_32,eth2_57,eth2_38,eth2_59,eth2_unk
090091407003,878,245,594,29,8,0,2,0,0,0,0,242,128,383,38,19,68,242,127,383,6,7,21,6,1,4,3,0,1,2,1,0,0,1,3,0,1,0,68
090091407004,838,227,579,23,6,0,3,0,0,0,0,362,102,163,71,40,100,362,102,163,19,16,35,6,0,5,15,0,4,0,1,1,1,3,2,0,1,0,100
090091408001,516,177,321,11,5,0,1,0,1,0,0,73,82,324,5,11,21,73,82,323,6,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
090091408002,1265,392,825,38,10,0,0,0,0,0,0,144,225,824,14,24,34,144,225,823,22,6,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34
090091408003,435,142,266,22,4,0,1,0,0,0,0,80,98,231,2,3,21,80,98,231,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21
090091409001,500,152,331,8,7,1,0,1,0,0,0,123,54,262,11,11,39,123,54,262,3,0,5,3,0,2,0,4,0,2,0,0,1,0,0,0,0,0,39
090091409002,581,184,375,18,3,0,1,0,0,0,0,85,99,360,3,14,20,85,96,360,10,2,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,20
090091409003,539,161,348,27,2,0,1,0,0,0,0,145,89,251,12,13,29,145,89,251,6,3,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29
090091409004,535,176,342,11,4,1,1,0,0,0,0,136,64,296,5,8,26,136,63,296,4,0,4,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,26
090091409005,731,166,525,28,8,0,4,0,0,0,0,217,57,393,13,5,46,217,57,391,3,2,8,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,46
090091410001,885,270,552,47,11,2,1,0,2,0,0,485,69,166,26,39,100,485,69,166,18,6,14,14,0,2,0,2,1,3,3,1,0,0,0,0,0,0,100
090091410002,870,177,640,48,3,1,0,0,1,0,0,567,47,73,20,32,131,567,46,73,7,7,10,13,1,1,1,5,0,1,0,3,0,1,1,0,2,0,131
090091410003,1203,230,895,57,11,4,3,1,2,0,0,783,73,86,59,34,168,783,71,86,5,12,37,16,2,5,3,7,3,2,0,1,0,1,0,0,1,0,168
090091411001,1289,291,910,69,17,0,1,0,1,0,0,543,69,427,34,50,166,543,67,426,22,7,21,19,2,1,3,1,5,2,0,1,0,0,2,0,0,0,166
